Cell;pre;leptin;washout
Cell1;0;0,13333333;0
Cell2;0,016666667;0;0
Cell3;0;2,65;0,43333333
Cell4;0;0,71666667;0,13333333
Cell5;0;0,01666667;0
Cell6;0,066666667;0,86666667;0
Cell7;0,066666667;0,51666667;0,15
Cell8;0;1,61666667;0
Cell9;0;1,58333333;0,83333333
Cell10;0;0;0
Cell11;0;0;0
Cell12;0;0;0
Cell13;0,016666667;0;0
Cell14;0;0;0
Cell15;0;0,15;0,01666667
Cell16;0;0,01666667;0
Cell17;0;0,03333333;0
