Cell numbers in source and target:;Waddington OT (only CPU);Moscot;Moscot - low rank (rank=2000)
25.000;8.89;6.57;149.94
50.000;37.80;29.66;130.81
75.000;66.77;82.51;100.70
100.000;;112.10;149.43
125.000;;202.38;143.05
150.000;;345.84;176.61
175.000;;482.83;188.14
200.000;;639.01;233.40
225.000;;955.72;196.45
250.000;;979.10;271.00
275.000;;1310.85;302.83
