moscot driver genes epsilon cells;Epsilon_pull_corr;Epsilon_pull_pval;Epsilon_pull_qval;Epsilon_pull_ci_low;Epsilon_pull_ci_high
Il11ra1;0.114275257557433;0.000000000000000143;0.0000000000000154;0.0873266471418108;0.141056735110991
Mfhas1;0.113967629321886;0.000000000000000172;0.0000000000000185;0.0870173280796106;0.140751235773001
Emb;0.113901254423872;0.000000000000000179;0.0000000000000192;0.0869505890447316;0.140685319544076
Sin3b;0.113614848827607;0.000000000000000214;0.0000000000000227;0.0866626149833049;0.140400890367628
Hcar1;0.113481509587865;0.000000000000000232;0.0000000000000245;0.0865285470641169;0.140268469763322
Gm39158;0.113022146131232;0.000000000000000306;0.0000000000000322;0.0860666807280116;0.139812263735599
Amdhd1;0.112802357537696;0.000000000000000349;0.0000000000000366;0.0858456986961799;0.139593981833298
Tmed10;0.111988623852586;0.00000000000000057;0.0000000000000594;0.0850275695753678;0.138785803775749
9130016M20Rik;0.111914975433929;0.000000000000000596;0.0000000000000617;0.0849535251339966;0.138712656417625
Nrp1;0.111604434686636;0.000000000000000717;0.0000000000000739;0.0846413178201152;0.138404225191286
Bambi;0.111410142504599;0.000000000000000805;0.0000000000000826;0.0844459856304018;0.138211250203343
Tmx1;0.111143229411873;0.000000000000000944;0.0000000000000958;0.0841776471836263;0.137946143316424
Nek1;0.110969949231648;0.00000000000000105;0.000000000000106;0.0840034437561667;0.137774033670354
Gm30934;0.110944368266725;0.00000000000000106;0.000000000000107;0.0839777266339525;0.137748625371645
4930428N03Rik;0.11071601615763;0.00000000000000122;0.000000000000122;0.0837481606890964;0.13752181302895
Ccnd2;0.110333883743908;0.00000000000000152;0.000000000000151;0.0833640034032024;0.13714225102583
Neto2;0.109471902476969;0.00000000000000253;0.000000000000248;0.082497484038106;0.136286038960369
Abr;0.108788720711054;0.00000000000000377;0.000000000000368;0.0818107344765373;0.135607401241145
Heg1;0.108088683632889;0.00000000000000566;0.000000000000549;0.0811070681521584;0.134911994214033
Ctsl;0.108044164335538;0.0000000000000058;0.000000000000561;0.0810623189602426;0.134867768474008
Plet1;0.107713500704518;0.00000000000000702;0.000000000000675;0.0807299512095047;0.134539281872423
Tshz2;0.106990706648708;0.0000000000000106;0.00000000000102;0.0800034530308886;0.133821226031571
Nid1;0.106885831813654;0.0000000000000113;0.00000000000108;0.0798980431226501;0.133717036354114
Hacd1;0.106776832518379;0.000000000000012;0.00000000000114;0.0797884883507833;0.133608748533351
Cd63;0.106731092500742;0.0000000000000123;0.00000000000116;0.0797425154294307;0.133563306885116
Klhdc8b;0.106564528873418;0.0000000000000136;0.00000000000127;0.0795751046466155;0.133397828825276
Mamld1;0.106081621523587;0.0000000000000178;0.00000000000166;0.0790897497981267;0.132918060335189
Gpr179;0.105723626971323;0.0000000000000219;0.00000000000203;0.0787299490970311;0.132562384601609
Sez6;0.105545767004447;0.0000000000000242;0.00000000000223;0.0785511944085574;0.132385674107348
Gpr119;0.105371514709142;0.0000000000000267;0.00000000000245;0.0783760672233535;0.132212546314419
Ffar4;0.105327982327533;0.0000000000000273;0.0000000000025;0.0783323165334772;0.132169294604669
Gabrb3;0.105235876897626;0.0000000000000288;0.00000000000262;0.0782397495516098;0.132077782680908
Hepacam2;0.105119193639104;0.0000000000000307;0.00000000000278;0.0781224822468987;0.1319618506454
Adk;0.105094418874377;0.0000000000000312;0.00000000000281;0.0780975835707534;0.131937235289536
Pygl;0.104721592697932;0.0000000000000384;0.00000000000345;0.0777228967644772;0.131566803999835
Gm48893;0.104579815034102;0.0000000000000416;0.0000000000037;0.0775804135452815;0.13142593509159
Zdbf2;0.104533449622081;0.0000000000000427;0.00000000000378;0.0775338176354873;0.131379866633768
Casr;0.104339046681272;0.0000000000000476;0.0000000000042;0.0773384495375185;0.131186707513269
Gprc5b;0.104277205137428;0.0000000000000492;0.00000000000432;0.077276301402132;0.131125261213885
Dock11;0.104103633401302;0.0000000000000542;0.00000000000474;0.0771018702711344;0.130952797715239
Akr1c19;0.103040992767927;0.0000000000000977;0.0000000000085;0.076034004287698;0.129896906501589
E030025P04Rik;0.103019870534344;0.0000000000000989;0.00000000000857;0.0760127788171502;0.129875917809597
Gm10848;0.102812424170041;0.000000000000111;0.00000000000956;0.0758043198392474;0.129669781709366
Pou3f4;0.102409437672123;0.000000000000138;0.0000000000119;0.075399372979911;0.129269333902666
Itfg1;0.102210072896959;0.000000000000154;0.0000000000132;0.0751990416720567;0.12907122182517
Kcnj5;0.102189875730538;0.000000000000156;0.0000000000133;0.0751787467101626;0.129051151446921
Tox;0.102042644707791;0.000000000000169;0.0000000000143;0.0750308034651493;0.128904844005345
