moscot driver genes Beta;Beta_pull_corr;Beta_pull_pval;Beta_pull_qval;Beta_pull_ci_low;Beta_pull_ci_high
Ctxn1;-0.084878213052151;9.08E-10;6.32E-09;-0.111840065850861;-0.0577914860864561
Rnf38;-0.0848928512896328;9.02E-10;6.28E-09;-0.111854625879565;-0.0578061813091163
Hk2;-0.0849390651784791;8.83E-10;6.15E-09;-0.111900592782136;-0.0578525751809843
Siah1a;-0.0849457252866217;8.81E-10;6.14E-09;-0.111907217286374;-0.0578592612370001
Prss8;-0.0849568646002179;8.76E-10;6.11E-09;-0.111918297045572;-0.0578704439549464
Cnot2;-0.085038337605793;8.44E-10;5.89E-09;-0.11199933426611;-0.0579522346268613
Dlgap4;-0.0850460980191583;8.41E-10;5.88E-09;-0.112007053151659;-0.0579600253173399
Prkd3;-0.0850483832528067;8.40E-10;5.87E-09;-0.112009326155859;-0.057962319467415
Rap2b;-0.0850571652644874;8.37E-10;5.85E-09;-0.112018061167899;-0.0579711357470349
Ehmt1;-0.0851116121855655;8.16E-10;5.71E-09;-0.112072216606517;-0.0580257952175755
Anxa2;-0.0851928940611379;7.87E-10;5.51E-09;-0.11215306304027;-0.0581073947028696
Arl6ip6;-0.0852079344748828;7.81E-10;5.47E-09;-0.112168022840645;-0.0581224939268588
Wnt9a;-0.0852497780342855;7.66E-10;5.37E-09;-0.112209642063311;-0.0581645011659681
Gpbp1;-0.0852840005747796;7.55E-10;5.29E-09;-0.112243681055478;-0.0581988576462845
Flrt2;-0.085292476606077;7.52E-10;5.27E-09;-0.112252111616862;-0.0582073668608978
Dyrk2;-0.0853154516160181;7.44E-10;5.23E-09;-0.112274963357187;-0.0582304318368553
Sf3b6;-0.0853441578611145;7.34E-10;5.16E-09;-0.112303515542349;-0.0582592505310924
Bcap31;-0.08534825088276;7.33E-10;5.15E-09;-0.112307586594046;-0.0582633595897472
Mbtps2;-0.0854819555306367;6.89E-10;4.85E-09;-0.112440573063158;-0.0583975886150713
Wasf2;-0.0854872851862099;6.87E-10;4.84E-09;-0.112445874071099;-0.0584029391933647
Adam23;-0.085525894083863;6.75E-10;4.76E-09;-0.112484275394789;-0.0584416997050957
Gsta3;-0.0855433687031859;6.70E-10;4.73E-09;-0.112501656038417;-0.0584592429727063
Ppp1r16b;-0.0855469668445129;6.69E-10;4.72E-09;-0.112505234827469;-0.0584628552512531
Nckap5;-0.08554929220593;6.68E-10;4.72E-09;-0.112507547681771;-0.0584651897494716
Dvl3;-0.0857510867954776;6.09E-10;4.31E-09;-0.112708255792699;-0.0586677783578216
Ctbp2;-0.0859357304670733;5.59E-10;3.96E-09;-0.112891903400333;-0.0588531505174753
Kcnh2;-0.0859464268386715;5.57E-10;3.95E-09;-0.112902542013706;-0.0588638891474765
Lrp1b;-0.0859976755016611;5.44E-10;3.85E-09;-0.11295351385862;-0.0589153403667047
Dennd1c;-0.0860324861481321;5.35E-10;3.80E-09;-0.112988136395539;-0.0589502886815299
Slc35f3;-0.0860660861732244;5.27E-10;3.74E-09;-0.113021554790944;-0.0589840216502021
Mtf2;-0.0861068704873581;5.17E-10;3.67E-09;-0.113062118557759;-0.0590249674167414
Twistnb;-0.0861097987191131;5.16E-10;3.67E-09;-0.113065030951202;-0.0590279072439606
Sdcbp;-0.0862076096161186;4.93E-10;3.51E-09;-0.113162312539439;-0.0591261057308881
Espn;-0.0862448613542792;4.85E-10;3.45E-09;-0.113199362551982;-0.0591635052223055
Ypel1;-0.0863527989209968;4.61E-10;3.29E-09;-0.113306715191902;-0.059271871335964
Stag2;-0.0864485322533453;4.41E-10;3.14E-09;-0.113401929207055;-0.0593679852946152
Fbln1;-0.0865406857376904;4.23E-10;3.02E-09;-0.113493582325884;-0.0594605056464339
Pfdn1;-0.0865466681177102;4.22E-10;3.01E-09;-0.113499532207535;-0.0594665118586797
Pa2g4;-0.0865929503250941;4.13E-10;2.95E-09;-0.113545562928542;-0.0595129785084476
Actl6a;-0.0866083326684427;4.10E-10;2.93E-09;-0.11356086166232;-0.0595284221790065
Gabarapl2;-0.0867981258854024;3.75E-10;2.69E-09;-0.113749622220783;-0.0597189731411968
Mex3c;-0.0868021138493366;3.74E-10;2.68E-09;-0.113753588465468;-0.0597229770481586
Rabgap1l;-0.0868372584532382;3.68E-10;2.64E-09;-0.113788541627684;-0.0597582621903512
Gng5;-0.0869117009085913;3.56E-10;2.55E-09;-0.113862578355528;-0.0598330025540121
Tnrc6b;-0.0869711787967039;3.46E-10;2.48E-09;-0.113921731861139;-0.0598927186825265
Esf1;-0.0869784994454775;3.45E-10;2.47E-09;-0.113929012571106;-0.0599000686677666
Snx18;-0.0870141621018116;3.39E-10;2.43E-09;-0.11396448062351;-0.0599358742791537
Atp5g2;-0.0870611352242756;3.32E-10;2.38E-09;-0.114011197318274;-0.0599830358014203
Rbms1;-0.0870637953567092;3.31E-10;2.38E-09;-0.114013842925398;-0.0599857066067301
Ctnna3;-0.0871540252028048;3.18E-10;2.28E-09;-0.114103579856715;-0.0600762986989863
Elavl1;-0.0871728103039739;3.15E-10;2.26E-09;-0.114122262281832;-0.0600951592728838
Adcy2;-0.087195423691649;3.12E-10;2.24E-09;-0.114144752043432;-0.0601178635398047
Cyba;-0.0873770320646187;2.86E-10;2.06E-09;-0.114325366572341;-0.060300202781057
Tsr3;-0.0873914163667531;2.84E-10;2.05E-09;-0.114339672080858;-0.0603146450488902
Mrps5;-0.0874944458858099;2.71E-10;1.96E-09;-0.114442136903217;-0.0604180900865449
Snrpf;-0.0875645405541353;2.62E-10;1.89E-09;-0.114511847060444;-0.0604884677794846
Polb;-0.0875742599013404;2.61E-10;1.89E-09;-0.114521513070278;-0.0604982263922173
Wwtr1;-0.0876308853465362;2.54E-10;1.84E-09;-0.114577827667591;-0.0605550807034309
Btf3l4;-0.0876396639199914;2.53E-10;1.83E-09;-0.114586558035174;-0.060563894773434
Zfyve9;-0.0876511558560339;2.52E-10;1.82E-09;-0.114597986859136;-0.0605754331840071
Capza2;-0.0877751721836878;2.38E-10;1.72E-09;-0.114721321652891;-0.0606999515063988
Tmem131;-0.0878163853403487;2.33E-10;1.69E-09;-0.114762308138027;-0.060741331672712
Tns1;-0.0879014970976252;2.24E-10;1.63E-09;-0.114846951492005;-0.0608267886261761
Rnf165;-0.0880074634161732;2.13E-10;1.55E-09;-0.114952334089637;-0.0609331852775379
G2e3;-0.0880873365028415;2.05E-10;1.49E-09;-0.11503176679044;-0.0610133831381818
Nsmce4a;-0.0881882797237924;1.95E-10;1.42E-09;-0.115132152960957;-0.061114737306963
Dact2;-0.0882138807941228;1.93E-10;1.41E-09;-0.115157612665493;-0.0611404426900307
Cdc26;-0.0882212174916135;1.92E-10;1.40E-09;-0.115164908844164;-0.0611478092878531
Lsr;-0.0882507918357523;1.90E-10;1.39E-09;-0.11519431982682;-0.0611775041906108
Akap1;-0.0883168921856542;1.84E-10;1.34E-09;-0.115260054883684;-0.0612438741691809
Arvcf;-0.0883492994053844;1.81E-10;1.32E-09;-0.115292282923876;-0.0612764136680405
Mrpl18;-0.0883734830674204;1.79E-10;1.31E-09;-0.115316332837471;-0.0613006960799506
Pik3c2a;-0.0883757333983541;1.79E-10;1.31E-09;-0.115318570721278;-0.0613029556013581
Snrk;-0.0883845896021793;1.78E-10;1.30E-09;-0.115327377936634;-0.0613118479770953
D030056L22Rik;-0.0884187296493057;1.75E-10;1.28E-09;-0.115361329096994;-0.0613461275046323
Ube2g1;-0.0884296009744239;1.74E-10;1.28E-09;-0.115372140261077;-0.0613570432583532
Pgf;-0.0884571504570502;1.72E-10;1.26E-09;-0.115399537258507;-0.0613847053583713
Pde1a;-0.0884758994738317;1.71E-10;1.25E-09;-0.11541818247685;-0.0614035310415857
Jun;-0.08849048300059;1.69E-10;1.24E-09;-0.115432685253057;-0.0614181742150279
Vps37a;-0.0885692998898671;1.63E-10;1.20E-09;-0.115511065525977;-0.0614973136673921
Adss;-0.0886025731239991;1.61E-10;1.18E-09;-0.115544154338007;-0.0615307231765146
Ube2a;-0.0886296834040285;1.59E-10;1.17E-09;-0.115571114310865;-0.0615579445351804
Nae1;-0.0886500479419377;1.57E-10;1.15E-09;-0.115591365915825;-0.0615783925389633
Safb;-0.0886526980443425;1.57E-10;1.15E-09;-0.115594001320257;-0.06158105350472
Gm8773;-0.0886870550664073;1.54E-10;1.14E-09;-0.115628167757399;-0.0616155513986013
Mrpl52;-0.0887666386167558;1.49E-10;1.09E-09;-0.115707309597823;-0.0616954615085372
Thsd7a;-0.0887925458729148;1.47E-10;1.08E-09;-0.115733072988001;-0.0617214751462531
Acot2;-0.0888601064355152;1.42E-10;1.05E-09;-0.115800258208485;-0.06178931330213
Nkd1;-0.0888709823688046;1.41E-10;1.04E-09;-0.115811073695976;-0.0618002339458972
Ramac;-0.0888783173556422;1.41E-10;1.04E-09;-0.11581836791313;-0.0618075990901991
Fuca1;-0.088959753317408;1.36E-10;1.00E-09;-0.115899351038319;-0.0618893700702801
Rfc4;-0.0889636978443594;1.35E-10;1.00E-09;-0.115903273622057;-0.0618933308337958
Rsu1;-0.0890295004513234;1.31E-10;9.70E-10;-0.115968710048355;-0.0619594044249053
Srsf11;-0.0891345648576529;1.25E-10;9.24E-10;-0.11607318930381;-0.0620649019927109
Prxl2b;-0.0891595420441979;1.23E-10;9.13E-10;-0.116098027293476;-0.0620899822446561
Grhl2;-0.0891834215206053;1.22E-10;9.03E-10;-0.116121773658995;-0.0621139602888586
Adrm1;-0.0892085007224203;1.20E-10;8.92E-10;-0.116146713029161;-0.0621391430442413
Ndst1;-0.0893370840914391;1.13E-10;8.41E-10;-0.116274578934952;-0.0622682578832709
Tmem51;-0.0893438071536192;1.13E-10;8.38E-10;-0.116281264459553;-0.0622750087586188
Fads2;-0.0893974049080421;1.10E-10;8.18E-10;-0.116334562868705;-0.0623288283344157
Klc3;-0.0894306108543685;1.08E-10;8.06E-10;-0.116367583280866;-0.0623621717869061
Tpbg;-0.0894958765432205;1.05E-10;7.82E-10;-0.116432484132122;-0.0624277079177373
Cldn3;-0.0896232310949686;9.87E-11;7.37E-10;-0.116559126104859;-0.062555590861752
Clvs1;-0.0896314614771125;9.83E-11;7.34E-10;-0.116567310405925;-0.0625638554222133
Sncaip;-0.0896320813893818;9.82E-11;7.34E-10;-0.11656792684722;-0.0625644779089434
Sem1;-0.0896498559272044;9.74E-11;7.28E-10;-0.116585601854126;-0.0625823262723784
Fign;-0.0896762954450151;9.62E-11;7.19E-10;-0.116611893288732;-0.0626088756373731
Ccndbp1;-0.0896891667196304;9.56E-11;7.16E-10;-0.116624692459884;-0.062621800401611
Zfand3;-0.0897188394023698;9.42E-11;7.06E-10;-0.116654198885434;-0.0626515964307837
Bmi1;-0.0897451526559776;9.30E-11;6.97E-10;-0.116680364665085;-0.0626780191063727
Rbm22;-0.0898428568924461;8.88E-11;6.66E-10;-0.116777520986054;-0.0627761299716681
Adat2;-0.0898792458869668;8.72E-11;6.55E-10;-0.11681370578301;-0.06281267054485
Ilf2;-0.0899802108586089;8.31E-11;6.25E-10;-0.11691410381326;-0.0629140564669185
Mpc1;-0.0900021453236175;8.22E-11;6.18E-10;-0.116935915038445;-0.0629360824565427
Slc49a4;-0.0901165366369134;7.78E-11;5.86E-10;-0.117049663217703;-0.0630509515108586
Lpin2;-0.0901308889955436;7.73E-11;5.82E-10;-0.11706393483421;-0.0630653638609517
Slu7;-0.0901944007076268;7.49E-11;5.65E-10;-0.117127089114664;-0.0631291411813198
Homer3;-0.0902385763681099;7.33E-11;5.53E-10;-0.117171016034629;-0.0631735017163712
Polr2e;-0.090257617848804;7.27E-11;5.48E-10;-0.117189950265685;-0.0631926229184004
Eny2;-0.0903036190172934;7.11E-11;5.37E-10;-0.117235692255437;-0.0632388167628573
Wwc1;-0.090394288753244;6.80E-11;5.14E-10;-0.117325850807434;-0.0633298666087005
Numa1;-0.0904239781695153;6.71E-11;5.07E-10;-0.117355372742229;-0.0633596805882438
Fyn;-0.090429119520796;6.69E-11;5.06E-10;-0.11736048508571;-0.0633648435152004
Wdr26;-0.090434851837543;6.67E-11;5.05E-10;-0.117366185058712;-0.0633705998893175
Trim59;-0.0905283878999522;6.37E-11;4.83E-10;-0.117459193107105;-0.06346452875803
Cacng4;-0.0905313523507069;6.37E-11;4.83E-10;-0.117462140815718;-0.0634675056658856
Dyrk1b;-0.090621872168851;6.09E-11;4.62E-10;-0.11755214918231;-0.0635584060948089
Cox6b1;-0.0906844831314215;5.91E-11;4.48E-10;-0.117614406123993;-0.0636212805818707
Fbxo30;-0.0906919422681509;5.89E-11;4.47E-10;-0.117621823070446;-0.0636287711278271
Antxr2;-0.0907879886529241;5.62E-11;4.27E-10;-0.117717325930453;-0.0637252222209229
Strbp;-0.0907959393276637;5.60E-11;4.25E-10;-0.117725231590143;-0.0637332064198858
Sema3e;-0.0908275890447134;5.51E-11;4.19E-10;-0.117756702079305;-0.063764989623121
Fubp1;-0.0908309023621369;5.50E-11;4.19E-10;-0.117759996630751;-0.063768316918002
Tjp2;-0.0908622277201187;5.42E-11;4.13E-10;-0.117791144538778;-0.0637997744538955
Ythdc1;-0.0908652371315668;5.41E-11;4.12E-10;-0.117794136899908;-0.0638027965664407
Pxdn;-0.0910022220381264;5.06E-11;3.87E-10;-0.11793034517807;-0.0639403601376743
Brd1;-0.0910504374213053;4.95E-11;3.78E-10;-0.117978286965696;-0.0639887794415581
Adam11;-0.0911142279574158;4.79E-11;3.67E-10;-0.118041715332997;-0.0640528399672558
Alyref;-0.0911245931134365;4.77E-11;3.65E-10;-0.118052021620411;-0.0640632490142359
Kank2;-0.0911422040116088;4.73E-11;3.63E-10;-0.118069532484689;-0.0640809344987587
Wrn;-0.0911642398581494;4.68E-11;3.59E-10;-0.118091443139038;-0.0641030636963016
Sorcs1;-0.0912124492442453;4.57E-11;3.51E-10;-0.118139378541857;-0.0641514774058153
Ctsz;-0.091226514505076;4.54E-11;3.48E-10;-0.118153363843439;-0.0641656023027372
Ssna1;-0.0913267604265431;4.32E-11;3.32E-10;-0.118253039569996;-0.0642662735765556
Glg1;-0.091343226792424;4.29E-11;3.29E-10;-0.118269412223941;-0.0642828098633554
Tgif2;-0.091385632912496;4.20E-11;3.23E-10;-0.118311576938623;-0.0643253961204086
Klb;-0.0913904771758757;4.19E-11;3.22E-10;-0.118316393618877;-0.06433026096801
Plcg1;-0.0913956636169826;4.18E-11;3.22E-10;-0.118321550527101;-0.0643354694487443
Pole3;-0.0915099214463588;3.95E-11;3.05E-10;-0.118435157375591;-0.0644502131873692
Slc25a33;-0.0915174942739377;3.94E-11;3.04E-10;-0.118442687032281;-0.064457818245525
2610008E11Rik;-0.0915969812397354;3.79E-11;2.92E-10;-0.118521720674971;-0.0645376437040286
Fam135a;-0.0916142338203848;3.75E-11;2.90E-10;-0.118538874817153;-0.0645549697999801
Zfand6;-0.0917176121821401;3.57E-11;2.76E-10;-0.118641662993808;-0.0646587890110077
Apoc1;-0.0917557265738266;3.50E-11;2.71E-10;-0.118679559645563;-0.0646970660864512
Set;-0.0917991503843231;3.43E-11;2.66E-10;-0.118722735288886;-0.0647406753399433
Tanc1;-0.0918049766308827;3.42E-11;2.65E-10;-0.118728528230687;-0.0647465264755689
Tiam1;-0.0918427164018971;3.35E-11;2.60E-10;-0.118766052224259;-0.064784427511673
Asxl3;-0.0919190538379406;3.23E-11;2.51E-10;-0.118841952965301;-0.0648610913824002
Eif3g;-0.0919512980799598;3.18E-11;2.47E-10;-0.118874012656784;-0.0648934736034245
H1f10;-0.0919846241807547;3.13E-11;2.43E-10;-0.11890714795601;-0.0649269423725822
Eif5b;-0.0920110242402224;3.09E-11;2.40E-10;-0.118933396824932;-0.0649534554933821
Trmt9b;-0.0920931697733088;2.97E-11;2.31E-10;-0.119015071677906;-0.0650359530686524
Lima1;-0.0922153046856835;2.79E-11;2.17E-10;-0.119136506104182;-0.0651586120851139
Lrrc8a;-0.0922513028765281;2.74E-11;2.14E-10;-0.119172297679235;-0.0651947649070349
Cyp7b1;-0.0922775594973006;2.71E-11;2.11E-10;-0.119198403552959;-0.065221134358538
Zfp207;-0.0923192913648343;2.65E-11;2.07E-10;-0.119239895748867;-0.0652630456352514
Bach2;-0.092342769724873;2.62E-11;2.05E-10;-0.119263239228252;-0.0652866249729031
Apool;-0.0923469349618306;2.62E-11;2.04E-10;-0.119267380533263;-0.0652908081272014
