moscot driver genes Beta;Beta_pull_corr;Beta_pull_pval;Beta_pull_qval;Beta_pull_ci_low;Beta_pull_ci_high
Sytl4;0.751570590725563;0;0;0.73947854858771;0.763177795136333
Phactr1;0.747110562701449;0;0;0.734834297621835;0.758897466300061
Nnat;0.743701736148793;0;0;0.731285444366243;0.755625298108047
Sntg1;0.739035073634114;0;0;0.726428176032887;0.751144754777192
Ins2;0.730049250831995;0;0;0.717078881234521;0.742514167315781
Ero1lb;0.712262230159516;0;0;0.698586138065837;0.725418105277866
Ins1;0.696359246080443;0;0;0.682067638447801;0.710119135568018
Ppp1r1a;0.694398731448227;0;0;0.680032252534783;0.708232183550388
Mafa;0.668960582110106;0;0;0.653642691865101;0.683730593525938
Slc2a2;0.663180845410988;0;0;0.647651976174659;0.678159003390911
Iapp;0.638425132266388;0;0;0.622014304639064;0.654275324949619
Mapt;0.630006228899887;0;0;0.613303476231744;0.646145771468321
Papss2;0.626615008253383;0;0;0.609795812750839;0.642870068856641
Sdf2l1;0.614912465463181;0;0;0.597696502766009;0.631561591918109
Gng12;0.605075518921484;0;0;0.5875321037759;0.622050407044546
Glp1r;0.597317462361482;0;0;0.579519699682399;0.614545732226917
Scg2;0.590713394426524;0;0;0.572701827696628;0.608154898274872
Atp2a2;0.588145670223291;0;0;0.570051647027636;0.605669470884645
Gm31218;0.580421521924986;0;0;0.562081724987127;0.598190823338409
Mcc;0.579919075969279;0;0;0.561563409718913;0.597704239648507
Gm43948;0.564430375469044;0;0;0.545592575698661;0.582698088543352
P2ry1;0.554850848424248;0;0;0.535721699915842;0.573410772161269
Hspa5;0.553790913337498;0;0;0.534629849438569;0.572382875793601
Itpkb;0.546434890911999;0;0;0.527054094108181;0.565247594020717
Slc24a2;0.546420393572231;0;0;0.527039166756765;0.565233528939417
Rora;0.543927203234405;0;0;0.524472202725441;0.562814513857896
Arhgap36;0.539572810811295;0;0;0.519989811596544;0.558588893493588
Acvr1c;0.539196023172903;0;0;0.519601998864138;0.558223202154377
Grip1;0.537465042717046;0;0;0.517820472335236;0.556543103629734
Hyou1;0.537433799335569;0;0;0.517788318186311;0.556512777209475
Hadh;0.537372208100474;0;0;0.517724931684169;0.556452993465098
Hsp90b1;0.537158388609624;0;0;0.517504881437071;0.556245447306729
G6pc2;0.532073675484308;0;0;0.512272764249262;0.551309214864082
Npy;0.532036418865264;0;0;0.512234432997301;0.551273041219343
Prkag2;0.527879882805114;0;0;0.507958500773788;0.547236873051714
Plppr1;0.521701997347255;0;0;0.501604969601523;0.541236227225183
Col6a6;0.520698291589154;0;0;0.500572931807757;0.540261129234699
Creld2;0.520131671442027;0;0;0.499990342690472;0.539710635776302
Robo2;0.517661136562273;0;0;0.497450394100686;0.537310219607161
Prkcb;0.513862394225528;0;0;0.493545595826128;0.533618671986796
Sdk2;0.511037435338625;0;0;0.490642298709294;0.530872940958942
Dlk1;0.510901797971746;0;0;0.490502911408759;0.53074109715414
Slc30a8;0.506122425290844;0;0;0.485592070839816;0.526094782856949
Syndig1l;0.495790562717892;0;0;0.474980432543496;0.516046484248126
Kcnk9;0.494655521879642;0;0;0.473815024862881;0.514942255283064
Pdia6;0.494469534202731;0;0;0.473624068238746;0.514761310016656
Rims3;0.492899593260074;0;0;0.472012261996633;0.513233860537871
Klhl32;0.492037844671656;0;0;0.471127592688105;0.512395380967754
Sec24d;0.489924757696158;0;0;0.468958480028258;0.510339187472604
Manf;0.481826561518859;0;0;0.460647912285328;0.502456867950286
Dnajc3;0.480370652265945;0;0;0.459154216173424;0.501039405635594
Dnah9;0.474835630910744;2.41E-302;9.32E-300;0.453476632924127;0.495649538026169
Pcsk2;0.47448882801518;7.99E-302;3.03E-299;0.453120955355269;0.495311776520136
Pdia3;0.474306498817224;1.50E-301;5.58E-299;0.452933963088406;0.495134198244478
Gm281;0.474080503346704;3.27E-301;1.19E-298;0.452702190393927;0.494914089085976
Maob;0.47388334855392;6.44E-301;2.31E-298;0.452499998003778;0.494722067233014
Mlxipl;0.470295443897184;1.38E-295;4.88E-293;0.448820801085977;0.491227218455453
Adra2a;0.470030365115217;3.40E-295;1.18E-292;0.448549006398271;0.490968988017501
Pcsk1;0.46929828810418;4.07E-294;1.39E-291;0.447798402481592;0.490255805195943
Tenm3;0.468754152833122;2.57E-293;8.60E-291;0.44724051623773;0.489725695339676
Ffar1;0.468333307182789;1.06E-292;3.50E-290;0.446809046776206;0.489315686605936
Pdia4;0.462639686828496;1.92E-284;6.21E-282;0.440972680835281;0.483767767137525
Galnt18;0.461033866266959;3.79E-282;1.21E-279;0.439326931732763;0.482202732799505
Derl3;0.459509571119384;5.58E-280;1.75E-277;0.437764869953149;0.480717028200615
Ociad2;0.454250962341318;1.35E-272;4.19E-270;0.432376978906233;0.475590616741647
Cntfr;0.452242423609243;8.22E-270;2.50E-267;0.43031947264718;0.473632188487258
Scg3;0.444010062383037;1.28E-258;3.84E-256;0.421888788666383;0.465603003288636
Tmem65;0.442748599520461;6.19E-257;1.83E-254;0.420597274289297;0.464372359375891
Tmem215;0.442343013518033;2.15E-256;6.25E-254;0.420182045185462;0.463976664552307
Nucb2;0.438937785721424;6.82E-252;1.96E-249;0.416696221627883;0.460654140785007
Wipi1;0.4384401750121;3.07E-251;8.69E-249;0.416186888116209;0.46016856475934
Lyve1;0.436914598554874;3.04E-249;8.48E-247;0.41462545888549;0.458679803252095
Calr;0.436770603197408;4.68E-249;1.29E-246;0.414478086252557;0.458539276454868
Dnajb11;0.4356239666399;1.45E-247;3.94E-245;0.413304598137104;0.457420221227475
Prss53;0.435477952282247;2.24E-247;6.01E-245;0.413155169784316;0.457277714160912
Slc7a2;0.434239989182659;8.97E-246;2.37E-243;0.411888309884114;0.456069442172414
Chrm3;0.432833922025722;5.80E-244;1.51E-241;0.410449526798632;0.454697000288602
Pcbp3;0.432065857006675;5.60E-243;1.43E-240;0.409663637749762;0.453947259243299
Mafb;0.431095897716765;9.74E-242;2.45E-239;0.408671216699969;0.453000396309633
Ppp2r2b;0.427175073316206;9.03E-237;2.24E-234;0.404660136444339;0.449172429621894
Pkp4;0.425062524801291;4.00E-234;9.81E-232;0.402499316967893;0.447109578187308
Magt1;0.420349141770283;2.71E-228;6.55E-226;0.397679140999424;0.442506230613849
Trpm3;0.418778996275692;2.25E-226;5.38E-224;0.396073697920738;0.440972481345014
Cytip;0.41770496244374;4.55E-225;1.08E-222;0.394975599270957;0.439923269127494
Col6a3;0.416209933145703;2.94E-223;6.80E-221;0.393447180440077;0.438462689932683
Il1r1;0.411776028551415;5.99E-218;1.37E-215;0.388914990208565;0.434130264889597
Tram1;0.410397505630648;2.57E-216;5.81E-214;0.387506135253192;0.432783081706599
Igsf1;0.409922842221343;9.35E-216;2.09E-213;0.387021052435949;0.432319186290731
Tshz1;0.407319893572865;1.06E-212;2.34E-210;0.384361191412772;0.429775076151118
Pdx1;0.4068514442253;3.73E-212;8.16E-210;0.383882540086567;0.429317178035163
Slc16a9;0.402786948738169;1.88E-207;4.02E-205;0.379730045358725;0.425343745293002
Tubb2a;0.400959847126214;2.32E-205;4.91E-203;0.377863688348113;0.423557295513136
Derl2;0.395329983387252;5.22E-199;1.09E-196;0.372114046617721;0.418051587178928
Ptprt;0.39461885485213;3.24E-198;6.72E-196;0.371387915205244;0.417356022403227
Robo1;0.392139691513784;1.81E-195;3.68E-193;0.368856670471216;0.414930909678772
Frzb;0.391471327035028;9.88E-195;1.95E-192;0.368174324321232;0.414277061429939
Pak3;0.390769740678482;5.83E-194;1.14E-191;0.367458088314205;0.413590687525526
Ece1;0.388578733264244;1.45E-191;2.77E-189;0.365221509016819;0.411447020578476
Ostc;0.387276807442604;3.75E-190;7.11E-188;0.363892631480621;0.410173105246527
Surf4;0.38698716808509;7.72E-190;1.45E-187;0.363597009120926;0.409889685230897
Scgn;0.386741921923764;1.42E-189;2.62E-187;0.363346700658962;0.409649701711592
Nfasc;0.383882876156311;1.68E-186;3.05E-184;0.360428888470886;0.406851773136288
Entpd3;0.381204691988687;1.19E-183;2.11E-181;0.357696071698315;0.404230448939652
Canx;0.379878338277376;2.99E-182;5.18E-180;0.356342810605397;0.40293211470735
Meg3;0.379448772521249;8.46E-182;1.45E-179;0.355904551531033;0.402511603718444
Lrp8;0.376612221582053;7.83E-179;1.32E-176;0.353010855966605;0.399734599749222
Slc2a5;0.373063492090637;3.63E-175;6.08E-173;0.349391270115986;0.396259770023254
Gfpt1;0.372258884034461;2.42E-174;4.02E-172;0.348570694949702;0.395471824933901
Ptprn;0.372024033280701;4.21E-174;6.93E-172;0.348331190527167;0.395241831361133
Gm37035;0.371744073893477;8.13E-174;1.33E-171;0.348045687665962;0.394967658287701
Rab27a;0.37138995892941;1.87E-173;3.03E-171;0.347684567170405;0.394620856389188
Fmn2;0.37130773973389;2.26E-173;3.64E-171;0.347600722421104;0.39454033421061
Dpf3;0.370191708401128;3.09E-172;4.93E-170;0.346462663557904;0.393447302643328
Rpn2;0.369515246549699;1.50E-171;2.37E-169;0.345772884123753;0.392784749672534
Sec11c;0.369042158428726;4.51E-171;7.08E-169;0.345290497510243;0.392321374465436
Gm26911;0.368772032736871;8.45E-171;1.32E-168;0.345015068157701;0.392056789391476
Ank;0.368449127479762;1.79E-170;2.77E-168;0.344685828332077;0.391740502272696
Gip;0.36822111292319;3.04E-170;4.62E-168;0.344453344239577;0.391517157696189
Gmds;0.368121557988192;3.82E-170;5.78E-168;0.34435183874535;0.391419640891021
Arfgef3;0.367526638617796;1.52E-169;2.28E-167;0.343745274825341;0.390836890049319
Kcnmb2;0.366176311099556;3.42E-168;5.09E-166;0.342368590542438;0.389514112892526
Ntrk2;0.365767956682833;8.74E-168;1.29E-165;0.341952285670613;0.389114071057784
Fam151a;0.364009979866282;4.89E-166;7.18E-164;0.340160188670094;0.387391779573736
Rpn1;0.361328497631993;2.15E-163;3.09E-161;0.337426995748279;0.384764414623873
Eml6;0.360779343236287;7.44E-163;1.06E-160;0.336867300969076;0.384226296325146
Adgrl3;0.359319948558744;1.98E-161;2.80E-159;0.335379977023069;0.3827961529854
Pag1;0.355247236933307;1.69E-157;2.35E-155;0.331229954722367;0.378804477403287
Slc7a14;0.354204384041194;1.68E-156;2.31E-154;0.330167455177102;0.377782233522496
Rrbp1;0.353857228937025;3.60E-156;4.89E-154;0.329813773414938;0.377441926195575
Abcc8;0.353149331215548;1.70E-155;2.28E-153;0.329092587839886;0.376747972308676
Gm50353;0.353104013569912;1.87E-155;2.50E-153;0.329046420498539;0.376703546406433
C2cd4b;0.350876784933515;2.40E-153;3.17E-151;0.326777573535239;0.374520010542064
Car10;0.350468850196821;5.80E-153;7.58E-151;0.326362046164093;0.374120050070031
Scnn1b;0.350146151643031;1.17E-152;1.51E-150;0.326033348023876;0.373803653360128
Rps6ka2;0.349224303839734;8.53E-152;1.10E-149;0.325094393413092;0.372899777602471
P4hb;0.349060562812297;1.21E-151;1.55E-149;0.324927618805202;0.372739224117409
Larp1b;0.34894329292951;1.56E-151;1.99E-149;0.324808177221192;0.372624236253136
Zfp568;0.348283292626877;6.46E-151;8.11E-149;0.3241359688427;0.3719770656922
Gm27033;0.347851778086228;1.63E-150;2.03E-148;0.323696485727563;0.371553926906252
Rbp4;0.347802135525501;1.81E-150;2.25E-148;0.323645927109712;0.37150524728266
Pex5l;0.347383399334953;4.44E-150;5.48E-148;0.323219469444397;0.37109462830391
Pdia5;0.346970509523436;1.07E-149;1.32E-147;0.322798975574782;0.370689733292308
Ap1s2;0.345891683400069;1.07E-148;1.30E-146;0.32170032609606;0.369631753960327
Bace2;0.345705136175575;1.59E-148;1.91E-146;0.321510357684843;0.369448805255029
Fkbp2;0.344727152637872;1.27E-147;1.52E-145;0.320514470266114;0.368489657021313
C2cd4a;0.344278272913729;3.27E-147;3.89E-145;0.320057390851465;0.368049405478433
Thsd4;0.344250079060849;3.47E-147;4.11E-145;0.320028682357527;0.36802175320043
Pcx;0.343519940360702;1.62E-146;1.91E-144;0.319285231443931;0.367305625067679
Ssr2;0.342876815809403;6.27E-146;7.25E-144;0.318630405869128;0.366674818015896
Sobp;0.340668813117924;6.37E-144;7.32E-142;0.316382406834095;0.364508937756821
C330002G04Rik;0.33892206275593;2.39E-142;2.70E-140;0.314604208600305;0.362795327677015
Sec61a1;0.338846004626729;2.80E-142;3.15E-140;0.314526785025122;0.362720708894958
Selenos;0.338388027795669;7.22E-142;8.02E-140;0.314060593130165;0.362271392484777
Dnajb9;0.337917264253417;1.91E-141;2.11E-139;0.313581397386573;0.361809519592634
Kctd8;0.337690716500758;3.04E-141;3.34E-139;0.31335079618375;0.361587246148862
Lman1;0.337463383941662;4.85E-141;5.30E-139;0.313119399017925;0.361364199975148
Sec61b;0.336162351578524;7.01E-140;7.61E-138;0.311795160367863;0.360087646124719
Noct;0.335783747174697;1.52E-139;1.64E-137;0.311409820644557;0.359716148212756
Uso1;0.335775929618546;1.54E-139;1.66E-137;0.311401864099638;0.35970847731398
Ddost;0.335758227083313;1.60E-139;1.71E-137;0.311383846842672;0.359691106866399
Acyp2;0.335734604762684;1.68E-139;1.79E-137;0.311359804583631;0.359667927658777
Wls;0.333717291227654;1.02E-137;1.08E-135;0.309306743997965;0.3576883463829
Sez6l2;0.333606718440377;1.28E-137;1.34E-135;0.309194218424704;0.357579835544227
Slitrk6;0.33309684566668;3.58E-137;3.75E-135;0.3086753498158;0.35707946244473
Pip5k1b;0.332232405943289;2.05E-136;2.12E-134;0.307795691737098;0.356231097044479
Slc35b1;0.330076895933066;1.55E-134;1.59E-132;0.305602416182752;0.354115496560987
Scg5;0.330056413572241;1.61E-134;1.64E-132;0.305581576207019;0.354095392253406
Uggt1;0.328845771326591;1.80E-133;1.83E-131;0.304349838219738;0.35290705597274
Tmtc2;0.327936403462424;1.09E-132;1.10E-130;0.303424678267212;0.352014392068088
Slc16a12;0.327472260894224;2.74E-132;2.75E-130;0.302952493209268;0.351558758339275
Stt3a;0.325122606507404;2.79E-130;2.76E-128;0.300562309603829;0.349252003600531
Gnas;0.324055913270277;2.24E-129;2.21E-127;0.299477318766322;0.348204689360116
Wfs1;0.323989414003116;2.55E-129;2.50E-127;0.299409680904093;0.348139396212522
Rasgrf1;0.322373192534616;5.89E-128;5.69E-126;0.297765862586159;0.346552416641669
Mia3;0.322023508265102;1.16E-127;1.11E-125;0.297410226686607;0.346209040909425
Gpr45;0.321655173953363;2.36E-127;2.25E-125;0.29703563070707;0.345847344586414
Tmem163;0.321565494576993;2.81E-127;2.66E-125;0.296944427932178;0.345759280291189
Tmed3;0.32032964366446;3.03E-126;2.86E-124;0.295687629161531;0.344545643031916
Gjd2;0.318944970816436;4.30E-125;4.00E-123;0.294279587225666;0.343185762658745
Dgkg;0.315295752754347;4.34E-122;4.00E-120;0.290569294274981;0.339601396704477
Gm47889;0.314764966949355;1.18E-121;1.08E-119;0.290029686944279;0.339079984947649
Hopx;0.313642167932873;9.65E-121;8.74E-119;0.288888279113026;0.337976966120777
Prkar2b;0.310457329014906;3.57E-118;3.17E-116;0.285651038831543;0.334847870269148
Serp1;0.309285524864567;3.08E-117;2.72E-115;0.284460096991399;0.333696440385728
Nav2;0.30748886518155;8.24E-116;7.20E-114;0.282634243383575;0.331930877924389
Epb41l3;0.307113524242097;1.63E-115;1.42E-113;0.282252826270612;0.331562011892582
Dennd4c;0.306870368232264;2.54E-115;2.20E-113;0.282005738146278;0.331323046513263
Fam174b;0.305283367666263;4.50E-114;3.83E-112;0.280393154953564;0.329763319778882
Nbas;0.305187251476346;5.35E-114;4.54E-112;0.280295493871928;0.329668851127781
Spcs3;0.304466782545667;1.96E-113;1.64E-111;0.279563461130417;0.328960716228575
Aqp4;0.304376376324483;2.31E-113;1.92E-111;0.279471605898118;0.32887185576694
Ghr;0.304075731327168;3.96E-113;3.28E-111;0.279166145507268;0.328576348058086
Tuba1a;0.303110778203006;2.23E-112;1.83E-110;0.278185770904883;0.327627851218104
Erp44;0.301878587046707;2.01E-111;1.63E-109;0.276933962875124;0.326416601969787
Ntm;0.301311938130651;5.52E-111;4.46E-109;0.276358321149577;0.325859556576369
Ripply3;0.300842642300797;1.27E-110;1.02E-108;0.275881591073912;0.325398201432896
Srgap1;0.300357334415337;3.00E-110;2.40E-108;0.275388608207086;0.324921092868057
Sesn3;0.300227630452072;3.77E-110;3.01E-108;0.275256855243022;0.324793578147627
1110008P14Rik;0.300137551130266;4.42E-110;3.51E-108;0.275165353443362;0.324705018728092
Crhr2;0.298467062750273;8.37E-109;6.57E-107;0.27346856771227;0.32306263831501
7630403G23Rik;0.297969998536083;2.00E-108;1.57E-106;0.27296370859031;0.322573909199322
Glis3;0.297778241175803;2.80E-108;2.18E-106;0.272768947793299;0.322385363845414
Gm37459;0.297485012656835;4.67E-108;3.61E-106;0.272471130489723;0.322097043236456
Tmem229b;0.295711563269422;1.02E-106;7.80E-105;0.270670030231044;0.320353179630981
Nktr;0.29501663990679;3.41E-106;2.58E-104;0.269964319721436;0.319669803863622
Fkbp9;0.294764862867963;5.28E-106;3.97E-104;0.269708641043551;0.319422204293776
Ush1c;0.294348128971431;1.08E-105;8.12E-104;0.26928545703266;0.319012377421936
Spcs2;0.29335179228989;6.02E-105;4.46E-103;0.268273738503686;0.318032516819372
Blcap;0.29188576974745;7.40E-104;5.47E-102;0.266785183491892;0.316590641515364
Stk32a;0.291832734931589;8.10E-104;5.97E-102;0.266731335786137;0.316538478109918
Rab3a;0.291627764399975;1.15E-103;8.43E-102;0.266523225046779;0.316336874026464
Cpe;0.291589730905421;1.23E-103;8.96E-102;0.266484609125578;0.316299464950782
Crot;0.291226815883678;2.27E-103;1.66E-101;0.266116140651323;0.315942504259179
Pxk;0.291210650016145;2.34E-103;1.70E-101;0.266099727578751;0.315926603461511
Pitpnm3;0.290398737383488;9.29E-103;6.69E-101;0.26527541807805;0.315127985806966
Slc33a1;0.290218681923895;1.26E-102;9.02E-101;0.265092618377077;0.314950873990592
Tspan7;0.289269643186357;6.27E-102;4.47E-100;0.264129145102718;0.314017322180351
Ush2a;0.289067217222123;8.82E-102;6.27E-100;0.263923646804849;0.313818193320052
Fam219a;0.288742408640194;1.53E-101;1.08E-99;0.263593913188618;0.313498670654196
Unc5c;0.288624178840765;1.86E-101;1.31E-99;0.263473892143541;0.313382363528015
1700112D23Rik;0.288568096583386;2.05E-101;1.44E-99;0.263416960481785;0.313327193030177
Pappa2;0.287829017341506;7.08E-101;4.96E-99;0.262666703743776;0.312600113784044
Gm15810;0.287449754442291;1.34E-100;9.33E-99;0.26228171685847;0.312226997484146
Ssr1;0.286082397948498;1.31E-99;9.05E-98;0.260893790186022;0.310881737863243
Tmem108;0.28530647470204;4.76E-99;3.28E-97;0.260106240447359;0.310118309565781
Spock1;0.285027024906857;7.56E-99;5.15E-97;0.259822611567358;0.309843352005381
Rap1b;0.284941325848957;8.72E-99;5.92E-97;0.259735631777984;0.309759029752506
Creb3l2;0.283335127214403;1.24E-97;8.28E-96;0.258105504932941;0.308178563403522
Uba5;0.282780563678994;3.07E-97;2.05E-95;0.257542713193593;0.307632852465733
Gmpr;0.282654632918061;3.78E-97;2.52E-95;0.257414916350695;0.307508929682341
Kdelr2;0.280704450210487;9.13E-96;6.02E-94;0.25543594792073;0.305589735187358
Zfp516;0.280611003473074;1.06E-95;6.98E-94;0.255341127175923;0.305497768232582
Myt1l;0.279832043499894;3.76E-95;2.46E-93;0.254550732568117;0.304731125469451
Vegfa;0.279691973879413;4.72E-95;3.07E-93;0.254408610397842;0.304593267260299
Guk1;0.279675842746348;4.85E-95;3.14E-93;0.254392242952782;0.304577390737665
Chic1;0.278644690957003;2.56E-94;1.65E-92;0.253346015425665;0.303562485719003
Smap2;0.277582622130903;1.41E-93;9.03E-92;0.252268480712502;0.302517091676293
Golgb1;0.277368672085207;1.99E-93;1.27E-91;0.252051422714833;0.302306493447555
Aff1;0.277275015729816;2.32E-93;1.46E-91;0.25195640665913;0.302214303579569
Cdh23;0.277234187959006;2.47E-93;1.56E-91;0.251914986304681;0.302174114951036
Mafg;0.277121574554959;2.96E-93;1.86E-91;0.251800738884641;0.302063264004866
Skap1;0.276878045428432;4.37E-93;2.74E-91;0.251553678573506;0.30182354392831
Muc4;0.276427710097872;8.98E-93;5.61E-91;0.251096822052263;0.301380244002823
Cdk2ap2;0.27546333600852;4.17E-92;2.60E-90;0.25011852106773;0.300430899651687
Cyb5b;0.275118596144953;7.21E-92;4.46E-90;0.249768815239938;0.300091520544211
Sec31a;0.274999467254621;8.71E-92;5.36E-90;0.24964797183998;0.299974242656017
Scfd1;0.274798358122069;1.20E-91;7.35E-90;0.249443970125282;0.299776256606075
Sgpp2;0.274080691078296;3.73E-91;2.28E-89;0.248715999114541;0.299069716885192
Sorbs2;0.273088604572804;1.78E-90;1.08E-88;0.247709715826094;0.298092967416002
Galnt14;0.272513238409453;4.40E-90;2.66E-88;0.247126141244625;0.297526472061983
Ssr4;0.272457442217558;4.80E-90;2.90E-88;0.247069550020093;0.297471535180847
Galnt10;0.271897262364217;1.16E-89;6.95E-88;0.246501397834744;0.296919973413301
Zfp9;0.27103160471777;4.46E-89;2.68E-87;0.245623454705882;0.29606760063667
Dlc1;0.270949105725713;5.08E-89;3.02E-87;0.245539787057029;0.295986365639416
Edem2;0.270754137817736;6.88E-89;4.08E-87;0.245342058794696;0.295794383460961
Tmod1;0.269935821835383;2.45E-88;1.45E-86;0.244512180159707;0.294988577068794
Trpm5;0.269892413961645;2.62E-88;1.54E-86;0.244468159981005;0.294945831775579
Prnp;0.269762506892142;3.21E-88;1.88E-86;0.244336421087942;0.294817907016672
Vcp;0.269496906112305;4.84E-88;2.83E-86;0.244067077984548;0.29455635636372
Tafa1;0.269250431649803;7.09E-88;4.13E-86;0.243817134198608;0.294313637013729
Ffar3;0.26889737811635;1.22E-87;7.11E-86;0.243459117042575;0.293965956724383
Astn2;0.268753944864594;1.53E-87;8.84E-86;0.24331366922545;0.293824704537943
Dad1;0.268518220957189;2.20E-87;1.27E-85;0.243074636986419;0.293592562701505
Golga4;0.267834240452743;6.29E-87;3.61E-85;0.242381074461589;0.292918959254273
Edem1;0.267528203452075;1.01E-86;5.75E-85;0.242070758551185;0.292617557251583
Nebl;0.266409324092527;5.58E-86;3.18E-84;0.240936279710311;0.291515581134569
Gem;0.266388520367108;5.76E-86;3.27E-84;0.240915186597298;0.291495091066147
Ddx50;0.266189560490147;7.80E-86;4.42E-84;0.240713460329656;0.291299129736071
Pax6os1;0.265693531155431;1.66E-85;9.37E-84;0.240210543655611;0.290810566939765
Sec61g;0.265642008026947;1.80E-85;1.01E-83;0.240158305915655;0.29075981861814
Fhit;0.265582057237937;1.97E-85;1.10E-83;0.240097523811642;0.290700769193593
Adam22;0.264676330216744;7.78E-85;4.34E-83;0.239179261728336;0.289808636561651
Tubb4b;0.264605291099947;8.66E-85;4.82E-83;0.239107241374647;0.289738661849907
Usp9x;0.264211817858209;1.57E-84;8.72E-83;0.238708338313786;0.289351079295976
Gm12962;0.264159208434446;1.70E-84;9.42E-83;0.238655003547213;0.28929925686313
Gpd2;0.264054055635538;1.99E-84;1.10E-82;0.238548401434419;0.289195676616396
Ica1;0.263507297752884;4.55E-84;2.50E-82;0.237994117532101;0.288657085967473
Grin2b;0.263119497062323;8.16E-84;4.47E-82;0.237600988910966;0.288275068427819
Sphkap;0.263086062898785;8.58E-84;4.68E-82;0.237567095792327;0.288242132482589
Slc30a5;0.262548427950938;1.92E-83;1.05E-81;0.237022089192836;0.287712500913395
Sec23b;0.26196203452614;4.63E-83;2.52E-81;0.23642767389443;0.287134819149802
Naga;0.261586436397187;8.12E-83;4.40E-81;0.236046947616997;0.286764791414407
Mdm1;0.260816420431213;2.56E-82;1.38E-80;0.235266442917199;0.286006171856292
Ppm1b;0.260201793658479;6.38E-82;3.42E-80;0.234643467685259;0.285400619034622
Nrxn1;0.258866957020243;4.60E-81;2.45E-79;0.233290572300808;0.284085419759914
Npnt;0.258814580116986;4.97E-81;2.64E-79;0.233237488819323;0.284033811461068
Ssr3;0.258637230802432;6.45E-81;3.42E-79;0.233057748147709;0.2838590635724
Anxa4;0.258341310861873;9.98E-81;5.25E-79;0.232757841948829;0.283567480565845
Slco1a5;0.258263359213572;1.12E-80;5.87E-79;0.232678841044419;0.283490670582598
Cdhr1;0.258195878707337;1.24E-80;6.47E-79;0.232610452499912;0.283424178121672
Pcp4;0.257690957213203;2.60E-80;1.35E-78;0.232098744657481;0.282926641958191
Gcnt2;0.257301215347399;4.60E-80;2.39E-78;0.231703774190767;0.282542591438719
Spock2;0.257297194506886;4.62E-80;2.39E-78;0.231699699452456;0.282538629271809
Adgrv1;0.256436301948962;1.63E-79;8.37E-78;0.230827287649914;0.281690279345072
Gorasp2;0.25641966903217;1.67E-79;8.55E-78;0.23081043258044;0.28167388837
Vps35;0.256395747806195;1.73E-79;8.83E-78;0.230786191884564;0.281650315075348
Cope;0.256353436023538;1.84E-79;9.37E-78;0.230743315102483;0.281608618637771
Tssc4;0.25585328933155;3.80E-79;1.93E-77;0.230236497367461;0.2811157384088
Pcsk1n;0.255468657375057;6.65E-79;3.36E-77;0.229846744576171;0.280736685574787
Mnx1;0.254363504092707;3.30E-78;1.66E-76;0.228726923458413;0.279647518781331
Prrc1;0.253233209143919;1.68E-77;8.39E-76;0.227581697162921;0.278533506686902
Fbxl2;0.252692740881403;3.66E-77;1.82E-75;0.22703411431965;0.278000800266503
Syt16;0.251829741560925;1.26E-76;6.22E-75;0.226159788338662;0.27715016248831
Mlec;0.251601072078337;1.74E-76;8.54E-75;0.225928124555269;0.276924761799361
Gm34759;0.251264079440058;2.82E-76;1.38E-74;0.225586724477158;0.27659258133697
Txndc11;0.251241479219855;2.91E-76;1.42E-74;0.225563828900154;0.276570303626039
Ppp2r3a;0.251139321723248;3.36E-76;1.64E-74;0.225460336685853;0.276469603595927
Tbc1d30;0.251011598036577;4.03E-76;1.96E-74;0.22533094506694;0.27634370134248
Fam163a;0.250795618266904;5.48E-76;2.66E-74;0.2251121468978;0.276130799624031
Atp1b1;0.250644895988165;6.79E-76;3.28E-74;0.224959459323171;0.275982223901713
C030029H02Rik;0.250519376858417;8.12E-76;3.91E-74;0.224832304488784;0.275858491466119
Oaf;0.25048899666345;8.48E-76;4.08E-74;0.224801528525297;0.2758285435899
Slc6a6;0.250163841137842;1.34E-75;6.45E-74;0.224472140347065;0.275508012038158
Plcxd2;0.24985167833613;2.09E-75;9.99E-74;0.224155919546584;0.275200283140981
Krtcap2;0.24950983894946;3.39E-75;1.62E-73;0.22380964258345;0.27486329322119
Emilin1;0.249371129082946;4.12E-75;1.96E-73;0.223669133910017;0.27472654937033
Gga2;0.249079167988881;6.23E-75;2.95E-73;0.223373390118627;0.274438723059327
Plpp5;0.248610968003661;1.20E-74;5.67E-73;0.222899133935462;0.273977144283994
2410021H03Rik;0.248231249300451;2.05E-74;9.60E-73;0.22251451248345;0.273602786920233
Pax6;0.247894606296554;3.29E-74;1.54E-72;0.222173529598178;0.273270890631331
Mthfd1l;0.247744898589409;4.06E-74;1.89E-72;0.222021893933838;0.273123291883602
Foxo1;0.247428297226535;6.33E-74;2.94E-72;0.221701219431468;0.272811146605594
Slc16a6;0.247325857317239;7.30E-74;3.38E-72;0.221597462803892;0.272710147368035
Dbpht2;0.24709158171781;1.01E-73;4.68E-72;0.221360178116828;0.272479164419056
Mboat2;0.246416934233096;2.60E-73;1.19E-71;0.220676882330629;0.27181398248935
Sptbn4;0.246246303965799;3.29E-73;1.50E-71;0.220504068758239;0.271645742383015
Fkbp11;0.245723077770758;6.81E-73;3.09E-71;0.21997415768152;0.271129835776221
Frmd5;0.245467693590196;9.70E-73;4.39E-71;0.219715516161103;0.270878018949893
