moscot driver TFs Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Rfx7;-0.0138841409321356;0.317538244866149;0.650507154330741;-0.041088860994528;0.0133411498517412
Ckmt1;-0.0139249997955555;0.316115991153243;0.650507154330741;-0.0411296586953518;0.0133002903387239
Clock;-0.0139290855785688;0.315973999635627;0.650507154330741;-0.041133738357271;0.0132962044857519
Irf5;-0.0139440218632129;0.31545528140018;0.650507154330741;-0.0411486522574803;0.0132812679376251
Rbpjl;-0.0139613655218002;0.314853660104551;0.650507154330741;-0.0411659699085835;0.0132639239578425
Gtf2a1l;-0.0139829577693962;0.314105716799166;0.650507154330741;-0.041187529754931;0.0132423312874761
Zfp457;-0.0140416174894645;0.312079679569393;0.649986642965218;-0.0412461013225363;0.0131836702906738
Zfp438;-0.0140599411965301;0.311448569043715;0.649568148143661;-0.041264397454836;0.0131653461463781
Prdm15;-0.0140659699664014;0.311241108439382;0.649568148143661;-0.0412704171482138;0.0131593172286537
Hlf;-0.0140823993945638;0.310676205422982;0.649568148143661;-0.0412868218313557;0.0131428873875186
Egr3;-0.0140894632759648;0.310433531746789;0.649568148143661;-0.0412938750690531;0.0131358233240395
Nanos1;-0.0141191628910841;0.309414595358666;0.648911165266091;-0.0413235299037698;0.0131061229136525
Barx2;-0.0141569997305746;0.308119689839886;0.647094202584462;-0.0413613096243104;0.0130682849914171
Zdhhc15;-0.0141990413515765;0.306685091725354;0.644978396246916;-0.0414032876875351;0.0130262420758961
R3hdm2;-0.0142147766711477;0.306149290422379;0.644749551656615;-0.0414189991940292;0.0130105062470555
Gm15446;-0.0142339215067508;0.305498229013421;0.644512877687331;-0.0414381150386148;0.0129913607736503
Cd59b;-0.0142674342350966;0.304360767842294;0.644101427515522;-0.0414715769707043;0.0129578468807864
Dpf1;-0.014273039941639;0.304170778386502;0.644101427515522;-0.04147717417455;0.0129522409734824
Zfp414;-0.0142868429973058;0.30370329880116;0.644101427515522;-0.0414909562865597;0.0129384374161803
Zfp454;-0.0143103106139468;0.302909597325919;0.644101427515522;-0.0415143882715455;0.012914968922853
Zfp354a;-0.0143393125763982;0.301930624362378;0.64303983467869;-0.0415433461580197;0.0128859658355278
Ascl2;-0.0143944364836883;0.30007570323369;0.640201918313232;-0.0415983861642979;0.0128308396639107
Rfxap;-0.0144592606230922;0.297904106100222;0.638064113774945;-0.0416631114272634;0.0127660126499791
Gm10130;-0.0145538796040527;0.294753271896698;0.63221227352843;-0.0417575856757662;0.012671389062449
Polr3g;-0.0146033360724387;0.293115275635222;0.631389538101549;-0.0418069663002487;0.0126219299922081
Hnrnpul1;-0.0146060968172825;0.293024020194712;0.631389538101549;-0.0418097228074393;0.0126191690981985
Esr1;-0.0146183817660684;0.292618176738834;0.631389538101549;-0.0418219888942086;0.012606883480611
Adnp2;-0.0147800081262952;0.287313854299061;0.625135331399975;-0.0419833663335433;0.0124452475558532
Hic2;-0.014811646605145;0.28628316879674;0.62379160877789;-0.0420149559198277;0.0124136070382213
Gm14322;-0.0149548824454348;0.281648243823673;0.616360649527169;-0.0421579697299315;0.0122703612856792
Duxbl1;-0.0149646405873146;0.281334345329262;0.616360649527169;-0.0421677127051359;0.0122606024278559
Kat2a;-0.0149768944157461;0.280940502215403;0.616360649527169;-0.042179947480622;0.0122483476930296
Zfp455;-0.0150210632213781;0.27952400463187;0.614383183397561;-0.0422240475423945;0.0122041755524372
Sox13;-0.0150295595691637;0.279252083560078;0.614383183397561;-0.0422325306543986;0.01219567855095
Hsf1;-0.0150502112382689;0.278591887796694;0.614122263610231;-0.0422531501355653;0.01217502527653
Mta3;-0.0150758068407174;0.277775117900442;0.613217000043374;-0.0422787058122436;0.0121494276522231
Gm14391;-0.0151351082469824;0.275889044823431;0.609945033211393;-0.0423379145793512;0.012090121424489
Gm13212;-0.0151377851453549;0.275804112916607;0.609945033211393;-0.0423405872914335;0.0120874443039544
Zfp493;-0.0151428776186704;0.27564258952843;0.609945033211393;-0.0423456717997668;0.0120823514069249
Thap11;-0.0151460950057175;0.275540573507169;0.609945033211393;-0.0423488841538705;0.0120791337514504
Zfp971;-0.0152122869549268;0.273447491589285;0.608108560088102;-0.0424149724345153;0.0120129361547083
Hey1;-0.0153279156059869;0.269817279070876;0.60180811136931;-0.0425304194190592;0.0118972970655921
Plagl2;-0.0153688062295596;0.268541445670571;0.59984849550675;-0.042571245624677;0.0118564025764288
Zfp324;-0.0153730183022891;0.268410259944659;0.59984849550675;-0.042575451056663;0.0118521901003376
Zfp629;-0.0155278738889464;0.263617784095671;0.591475265950168;-0.0427300618292201;0.0116973190133585
Pax1;-0.0156019199419821;0.261347184954701;0.587253347145237;-0.0428039903610241;0.011623265087053
Pde6h;-0.0157025120302105;0.258284266673617;0.582103347279347;-0.0429044223186047;0.0115226618244923
Zfp738;-0.0157123480373728;0.257986111802891;0.582103347279347;-0.0429142426385066;0.0115128246951095
Ppara;-0.0157570163227236;0.256635102730927;0.580614106766471;-0.0429588396171232;0.0114681512471089
Zbtb5;-0.0157790332069734;0.255971003589502;0.58035467780803;-0.0429808213145813;0.0114461317782155
Zfp536;-0.0158987673590863;0.252380338718469;0.573074152578781;-0.0431003636497393;0.0113263831078191
Ascc1;-0.0158995619329219;0.25235662833677;0.573074152578781;-0.0431011569480472;0.0113255884350297
Zfp719;-0.0159162516656234;0.251858959097168;0.573074152578781;-0.0431178198808291;0.011308896615892
Gm12166;-0.0159337246559544;0.251338667482676;0.573074152578781;-0.0431352647972912;0.0112914214249499
Dusp22;-0.0159643807902103;0.250427634861982;0.573074152578781;-0.0431658716362292;0.0112607613895654
Las1l;-0.0160591134241083;0.247626966063083;0.569994998102525;-0.0432604516165945;0.0111660163770057
9030624G23Rik;-0.0161567852160864;0.244762428997278;0.56426147753571;-0.0433579655083509;0.0110683313104797
Sin3a;-0.0162302586205501;0.24262296442022;0.560184520297451;-0.0434313197911177;0.0109948475777825
Zfp872;-0.0162964677813589;0.240706316631393;0.556610318703529;-0.0434974213564549;0.0109286288579953
Spdef;-0.0163517709181449;0.239113572045654;0.553775297222297;-0.0435526344384365;0.010873317553765
Aco1;-0.0164424557593951;0.236517936473689;0.550295969299339;-0.0436431712502233;0.0107826189591424
Elf1;-0.0164905380839061;0.235149802833682;0.549653563899164;-0.0436911749062761;0.0107345291606787
Zfp777;-0.0165052628732884;0.234731946258012;0.549653563899164;-0.043705875579013;0.0107198020572749
Zbtb8b;-0.0165181179217657;0.234367578734139;0.549653563899164;-0.043718709563525;0.010706944978952
Zkscan8;-0.0165202967291494;0.234305861651345;0.549653563899164;-0.0437208847998789;0.0107047658266368
Brca1;-0.0166971113790742;0.229335706867244;0.542785136942851;-0.0438974087937913;0.0105279223228058
Zfhx3;-0.0167777214996362;0.227094867828313;0.540872634733049;-0.0439778858400859;0.0104472984824967
Cptp;-0.0168528531886965;0.225020411970695;0.537627883031249;-0.0440528931810464;0.0103721536874033
Zfp932;-0.0168982152643204;0.223774492946158;0.536348387855078;-0.0440981800308559;0.0103267835499058
Irx2;-0.0169538792647703;0.222252368763923;0.534396619161663;-0.0441537515686324;0.0102711095035242
Zfp747;-0.0170021506895614;0.220938405714976;0.532084517750582;-0.0442019426741744;0.0102228292303179
Zfp639;-0.0170158963017833;0.220565266296826;0.532084517750582;-0.0442156653917961;0.0102090810752311
Zfp963;-0.0170449958295059;0.21977681937576;0.532084517750582;-0.0442447164176739;0.0101799761302918
Pou2f1;-0.0170459752758885;0.219750316654418;0.532084517750582;-0.044245694230757;0.0101789965007714
Zfp456;-0.0170772303214016;0.218905793780291;0.532084517750582;-0.0442768971287992;0.0101477355837177
Zfp280d;-0.0171820059711953;0.216091721121735;0.52970535534711;-0.0443814975785588;0.0100429398626622
Zbtb34;-0.0171827869230935;0.216070844466516;0.52970535534711;-0.0443822772223534;0.0100421587589162
Gtf3c5;-0.0171928512991487;0.215801930245396;0.52970535534711;-0.0443923247374962;0.0100320924229771
Prdx5;-0.0172114348162734;0.215306022910108;0.52970535534711;-0.0444108771070775;0.0100135052724944
Tceal3;-0.0172700814907676;0.213746400224074;0.527380824082276;-0.0444694253617705;0.00995484700832012
