moscot driver TFs Fev+ delta;Fev_delta_pull_corr;Fev_delta_pull_pval;Fev_delta_pull_qval;Fev_delta_pull_ci_low;Fev_delta_pull_ci_high
Srbd1;-0.0251821651092713;0.0698087768955539;0.269469271023542;-0.0523665184704078;0.00203948164978808
Smad1;-0.0251973174632429;0.0696406485746748;0.269469271023542;-0.0523816388550368;0.0020243197377919
Parp1;-0.025283556018764;0.0686900751725156;0.26767706385495;-0.0524676952219529;0.00193802654512438
Zfp960;-0.025391711533737;0.0675130129780445;0.264791297654148;-0.0525756216755935;0.0018298019342762
Mterf1b;-0.0254055053288052;0.0673640942796637;0.264791297654148;-0.0525893862112805;0.00181599928110037
Stat2;-0.0254482003948515;0.0669048672982487;0.263847980262232;-0.05263199064714;0.00177327673137321
Creb1;-0.0254551590626732;0.0668302648003087;0.263847980262232;-0.0526389345341954;0.00176631357469793
Htatip2;-0.0255153407341909;0.066187921447095;0.263340294752903;-0.052698988265359;0.00170609297143284
Npas4;-0.0255833918712827;0.0654677186350298;0.261524484494431;-0.0527668944955172;0.00163799757395323
Hif3a;-0.0256812266070508;0.0644436374120807;0.258116425708864;-0.0528645204631436;0.00154009876421137
Eif5a2;-0.0256948056198701;0.0643025498165276;0.258116425708864;-0.0528780704588373;0.00152651081698125
Tfcp2;-0.0256960612649295;0.0642895163960774;0.258116425708864;-0.0528793234201908;0.00152525434525324
Cers4;-0.0260114495350887;0.0610841933238779;0.24728453597602;-0.0531940348964278;0.00120965571345781
Zfp820;-0.0260661774345384;0.0605416914608498;0.245747188456675;-0.0532486448050991;0.00115489075878112
Mrps25;-0.0261757364968107;0.0594676547224102;0.242038163425443;-0.0533579671746475;0.00104525702551502
Zfp991;-0.0262072401109954;0.0591617581695504;0.241443931989246;-0.0533894026074239;0.00101373181861504
Gpam;-0.0262210380589008;0.0590281933469379;0.241443931989246;-0.0534031706762814;0.000999924396497306
Pml;-0.0262774172109775;0.0584850376924348;0.239979366618414;-0.0534594276335849;0.000943506424434331
Hdac1;-0.0265797037299176;0.0556431274442135;0.230194856002088;-0.0537610560415477;0.00064100881007793
Cd59a;-0.0267851251668751;0.0537782688183061;0.223705746324083;-0.0539660274227913;0.00043544107842498
Klf2;-0.0268313342372062;0.0533660383715557;0.223220825321465;-0.0540121349385629;0.000389198782481948
Etfb;-0.0268568950628539;0.0531391461436621;0.222889196324804;-0.0540376395389047;0.000363619527878939
Rfc2;-0.0269188635683945;0.0525924211262705;0.221210462118853;-0.0540994715871542;0.000301606196156313
Stub1;-0.0270196172387891;0.0517135466593798;0.218121383954367;-0.054200002948709;0.000200779196616325
Rfx1;-0.0273070761741923;0.049273318491111;0.208996378993195;-0.0544868245890709;-8.69E-05
Zfp236;-0.0274248624992622;0.0483017106770262;0.205452346823407;-0.0546043484870004;-0.000204766593714737
Prox2;-0.0274461277509706;0.0481280213914442;0.205452346823407;-0.054625566279621;-0.000226047862983888
Eef1akmt3;-0.0277104305889236;0.0460126872430498;0.198511879248586;-0.0548892772068532;-0.000490551838545219
Taf1a;-0.0277197126687341;0.0459398444349095;0.198511879248586;-0.0548985384303701;-0.000499841051357925
Cebpb;-0.0277252719704518;0.045896263313484;0.198511879248586;-0.0549040852384209;-0.00050540462748292
Hnf1a;-0.027812305512856;0.0452185059487692;0.196772172860638;-0.0549909229677604;-0.000592505307484161
Klf6;-0.0281208558032636;0.0428832967786872;0.18714964779138;-0.0552987757515698;-0.000901296940856334
Zfp78;-0.0282108622157147;0.0422216093326585;0.185355000215634;-0.0553885777226556;-0.000991374732821072
Zhx2;-0.0282282925109234;0.0420944725306203;0.185355000215634;-0.0554059683757175;-0.00100881890216519
Zfp54;-0.0282660720992948;0.0418200189524917;0.185185421167925;-0.0554436619844435;-0.00104662861913145
Srp9;-0.0284444142783852;0.0405447921430137;0.180597746713718;-0.0556215972423818;-0.00122511407396787
Poli;-0.0288841752088241;0.0375404002494299;0.170652891729232;-0.0560603473994643;-0.00166523570829892
Rest;-0.0289685534394078;0.0369861345736016;0.168728287631838;-0.0561445304898465;-0.00174968435398455
Gli2;-0.0289931636735909;0.036825792385743;0.168712890005615;-0.0561690837355449;-0.00177431519896605
Trmt1;-0.0290158633031581;0.0366784233581115;0.168712890005615;-0.0561917307717616;-0.00179703386850137
Larp4;-0.029126716297693;0.0359659452210261;0.166590727864262;-0.0563023265264314;-0.00190798024782415
Irf1;-0.029208458556722;0.0354481553579767;0.164697583355522;-0.0563838786713001;-0.00198979179740832
Hmg20a;-0.029338754054976;0.0346359563278587;0.161420660663786;-0.056513870381768;-0.00212019849666612
Zfp930;-0.0294325426539476;0.0340612058701747;0.159233501126823;-0.0566074397395782;-0.00221406771276382
Sp4;-0.0294586635803241;0.0339025912795654;0.158984201342061;-0.0566334995204271;-0.00224021117709853
Pbx4;-0.0295321386851729;0.0334598082341019;0.157888470104668;-0.0567068024315052;-0.00231374987810807
Ccnt2;-0.0297431520069194;0.0322155761037917;0.153455898790932;-0.0569173196006612;-0.00252494747860825
Prnp;-0.0297564652227882;0.0321384221191052;0.153455898790932;-0.0569306014323201;-0.00253827240239056
Smarcc2;-0.0299571544880085;0.0309944101981086;0.149049552226573;-0.0571308164328237;-0.00273913932888223
Etv6;-0.0300739867706216;0.0303446462346685;0.147332526734242;-0.0572473716132324;-0.00285607604941862
Ezr;-0.0300744016642571;0.030342359805938;0.147332526734242;-0.0572477855215054;-0.00285649131525945
Nfatc3;-0.0304561955759377;0.0283000815375685;0.139650729155975;-0.0576286687223498;-0.00323863171712885
Hltf;-0.0305035531399956;0.0280552060494111;0.138896266015117;-0.0576759127707649;-0.00328603281386598
Pbx2;-0.0305347319649154;0.0278949857306665;0.138896266015117;-0.0577070167938914;-0.00331724036618947
Asap3;-0.0305775651466006;0.0276761626842743;0.138380813421371;-0.0577497471275496;-0.00336011309976068
Cux2;-0.030592679826748;0.0275992999208675;0.138380813421371;-0.0577648254916246;-0.00337524176059018
Dido1;-0.03088822156253;0.026132943047646;0.132864457919008;-0.058059654637639;-0.00367105936827508
Foxk2;-0.0309512290102354;0.0258291816514484;0.131763730721915;-0.0581225095532087;-0.00373412624598923
Cpeb1;-0.0309788989493372;0.0256967512566956;0.13153252338173;-0.0581501124392205;-0.00376182235240419
Grhl2;-0.0309879306292314;0.0256536522351567;0.13153252338173;-0.0581591222234795;-0.00377086258254876
Pold2;-0.0310567195538634;0.0253274388056117;0.130974084234499;-0.0582277442368641;-0.00383971677531982
Xrcc1;-0.0310982019157741;0.0251324590968613;0.130452095023403;-0.0582691258207793;-0.00388123862116139
D130040H23Rik;-0.0311804685858802;0.0247496202312195;0.129314624737514;-0.0583511923545527;-0.00396358387231737
Pura;-0.0312233815885133;0.0245519303340468;0.128727134737537;-0.0583940008137447;-0.00400653801189918
E2f3;-0.0313134639217088;0.0241413871470807;0.127015660599623;-0.0584838633658713;-0.00409670702586618
Lsm6;-0.0313617750990776;0.0239236736348123;0.126310304855128;-0.0585320564932044;-0.00414506487247804
Elk3;-0.0316563420955579;0.0226326937202132;0.121137627153486;-0.0588259009648416;-0.00443991917890465
Zfp984;-0.0322374962914439;0.0202622264613189;0.108882426891785;-0.0594056158771035;-0.00502165409034504
Rcor1;-0.0323990537267201;0.0196429805445473;0.105931787936665;-0.059566769944816;-0.00518337623343997
Arntl2;-0.032425764974358;0.0195422047343912;0.105766054297242;-0.0595934143648801;-0.00521011485034535
Atf6b;-0.0325122801179937;0.019218894349005;0.1043903973633;-0.0596797127947358;-0.00529671890754091
Nfyb;-0.0325415229474866;0.0191106745553252;0.104177323388235;-0.0597088822813593;-0.00532599188286713
Tbx15;-0.0326671025233594;0.018651969651818;0.102045196283497;-0.0598341463682643;-0.00545170144639764
Foxo1;-0.0330124157195504;0.0174399335055656;0.0961105824576794;-0.0601785876356846;-0.00579737651166272
Zc3h7a;-0.0330656663623478;0.0172593040697485;0.0958145189166188;-0.0602317032428723;-0.00585068353702284
Hsf2;-0.0332444384460277;0.0166648397614873;0.0935461265421778;-0.0604100208622815;-0.00602964603850355
Gm14326;-0.0332900696276148;0.0165160135855651;0.093056643709714;-0.0604555357650928;-0.00607532610309544
Irx1;-0.0333077889395337;0.0164585373285302;0.093056643709714;-0.0604732098936677;-0.00609306442767671
Hhat;-0.0333470524715579;0.0163318033271948;0.0927106128724218;-0.0605123732449922;-0.00613237015013986
Atoh8;-0.0334130698673032;0.0161206452298588;0.0918572614984409;-0.0605782220091555;-0.00619845867412572
1810024B03Rik;-0.0336791353889975;0.0152937512566726;0.0874756227180898;-0.0608436055094678;-0.00646481326910768
Arfgap1;-0.0337247464925948;0.0151558097720086;0.0870162462195171;-0.0608890993098289;-0.00651047431572301
B230307C23Rik;-0.0338962241796865;0.0146469604146765;0.0847391196404658;-0.0610601349785894;-0.00668214078193885
Hivep2;-0.0339578118716906;0.0144679117145616;0.0840251795730309;-0.0611215635265418;-0.0067437966671058
Zfp92;-0.034073924123589;0.0141355896761901;0.0827315519808028;-0.0612373751819684;-0.00686003804743814
Foxj1;-0.0341889255560862;0.0138131023189929;0.0814757207096847;-0.0613520781728045;-0.00697516809797701
Carf;-0.0342499823784786;0.0136445399239975;0.080797079549946;-0.0614129762542962;-0.00703629349975911
Zfp652;-0.0345050973319698;0.0129597222063563;0.0776554782999926;-0.0616674257496518;-0.00729169720002082
Cbx7;-0.0347989440760142;0.0122087484787831;0.0737408408118503;-0.0619605016297678;-0.0075858809286926
Zkscan5;-0.0348099246797079;0.0121814485765675;0.0737408408118503;-0.0619714533366685;-0.0075968742162891
Ncoa3;-0.0349275784418012;0.0118923148042154;0.0724088522353442;-0.0620887970681035;-0.00771466429529375
Rxra;-0.0350204646931935;0.0116683610653712;0.0713328955818239;-0.0621814380235456;-0.00780765870072456
Nmi;-0.0355226659234755;0.0105211043608356;0.0651101130527126;-0.0626823049247927;-0.00831045283167914
Lrrfip1;-0.0355491117820011;0.010463570399031;0.0651101130527126;-0.0627086801385307;-0.00833693029365705
2010315B03Rik;-0.0355698153606836;0.0104187244264394;0.0651101130527126;-0.0627293283852957;-0.00835765864025502
Ugp2;-0.0357767527249785;0.00997978559164805;0.0636702776157229;-0.0629357114158517;-0.00856484485102107
Mbnl2;-0.0358210729238299;0.00988794633682176;0.0635353147600036;-0.0629799125898993;-0.00860921864961007
Crebl2;-0.0360435772507778;0.00943815850791663;0.0614689568954026;-0.0632018177567332;-0.00883199368731293
Plag1;-0.0361328478785777;0.00926288943541029;0.060812882815085;-0.0632908472415802;-0.00892137368584132
Hes1;-0.0361496764721398;0.00923017625061429;0.060812882815085;-0.0633076303283548;-0.00893822294581835
Mlxip;-0.0363396837300845;0.0088679085693532;0.0587304471040497;-0.0634971227152218;-0.00912846461499991
Egr1;-0.0369137021384989;0.00784936006004604;0.0524448393392456;-0.064069573787002;-0.00970320315235054
Zfp523;-0.0371519823662526;0.00745826695220774;0.0502767102581861;-0.0643071981502441;-0.0099417875926892
Nelfb;-0.0373553827321742;0.00713834198083756;0.0483358582558956;-0.0645100362220038;-0.0101454500910711
Phf20;-0.0376259965045825;0.00673180304944033;0.0457883901110581;-0.0647798984123644;-0.0104164161170512
Lhx1;-0.0379165104451074;0.00631863164485681;0.0431725510576189;-0.0650696010811988;-0.0107073126625619
Zfp398;-0.0381489770904789;0.00600460450966406;0.0413987791163381;-0.0653014152575998;-0.0109400887821252
Mga;-0.0381594277427641;0.0059908232728613;0.0413987791163381;-0.0653118365089846;-0.0109505534162412
Ctnnb1;-0.0386482662518279;0.00537717521961379;0.037941750381387;-0.0657992931468775;-0.0114400525974053
Slc18a1;-0.0388310876192732;0.00516266195924944;0.0367717903701257;-0.0659815943769672;-0.0116231244010285
Stat3;-0.0388617108420798;0.00512749579937887;0.0366944012183038;-0.0660121302977075;-0.0116537897511305
Zkscan2;-0.0396184392467991;0.00432444886048161;0.0316986299967341;-0.0667666852324459;-0.0124115754185981
Sod1;-0.0396830245865608;0.0042614916892332;0.0313895241499616;-0.066831083632458;-0.0124762524412122
Fev;-0.0397803994723939;0.00416814137330219;0.0308524189886584;-0.0669281762428968;-0.0125737659870323
Cat;-0.040041672743701;0.00392675908751357;0.0293534961492351;-0.0671886895811122;-0.0128354138636104
Zfp462;-0.0402972536824047;0.00370298515392877;0.0278184456837435;-0.0674435235619487;-0.0130913648509527
Nfil3;-0.0403520563208879;0.00365653815638277;0.0276068630806899;-0.0674981655737282;-0.013146247300867
Etv5;-0.0403768684763462;0.00363568373282753;0.0275873489274853;-0.067522904951127;-0.0131710956452395
Mafg;-0.0407110828433855;0.00336512311514331;0.0256633126457898;-0.0678561357604243;-0.0135058007437248
Bbx;-0.0407525934289864;0.00333283013600022;0.0255975920060143;-0.0678975237619123;-0.0135473727055141
Ecsit;-0.0407917097167098;0.00330265823238982;0.0255744304149161;-0.0679365244505786;-0.0135865469153662
Zfp169;-0.0415192643569175;0.00278494209906405;0.0222500665057498;-0.0686619138515278;-0.0143151941178651
Zbtb25;-0.041663941895311;0.00269127847390201;0.0217317138801713;-0.0688061574013929;-0.0144600923612759
Stat5b;-0.0417452573188424;0.00263990717916417;0.0214315045190209;-0.0688872284052804;-0.0145415323327187
Ski;-0.0417474543093494;0.00263853173770272;0.0214315045190209;-0.0688894187870526;-0.0145437326932847
Thra;-0.0423347897585443;0.00229345215904913;0.0190280920888142;-0.0694749780952011;-0.0151319785322384
Zfp9;-0.0424840830711108;0.00221258805236652;0.018458607508693;-0.0696238169539536;-0.0152815062560994
Xbp1;-0.0428825410966295;0.00200938535052485;0.0169506808899024;-0.0700210561439864;-0.0156805958734783
Zfp148;-0.0436187835571645;0.00167832327460037;0.0144815322551232;-0.0707550238830621;-0.0164180281479432
Anxa11;-0.04381799537574;0.00159779978832281;0.0138659636802726;-0.0709536151586709;-0.0166175669921498
Zbtb38;-0.044529020355869;0.00133851189918456;0.0118196079986473;-0.0716624077617464;-0.0173297768564455
Gtf2a1;-0.0446857349985151;0.00128685202364618;0.0114302738570926;-0.0718186266881082;-0.0174867563677536
Tet1;-0.0450430943799916;0.00117585701123417;0.0106320005207401;-0.0721748506996223;-0.0178447247494902
Ppard;-0.0454037822366711;0.00107285293054819;0.00981822984925921;-0.0725343855926836;-0.0182060343492589
Pou6f2;-0.045740112293288;0.00098438534389511;0.0092901366830101;-0.0728696341941878;-0.0185429505618665
Apex2;-0.0457588552683701;0.000979659646544926;0.0092901366830101;-0.0728883167216769;-0.0185617263839
Atf6;-0.0465965212182339;0.000788692016489571;0.00783503253223192;-0.0737232616921369;-0.0194008799247667
Cers5;-0.0468985104552261;0.000728771945870395;0.00728771945870395;-0.0740242606555377;-0.0197034148541016
Id1;-0.0477131328878619;0.000587560093841249;0.0060919953304093;-0.0748361871571621;-0.0205195341405126
Klf8;-0.0480955043438283;0.000530465096468314;0.00556251594213301;-0.0752172807827227;-0.0209026206948758
Hdac6;-0.0518270010633568;0.000188335284078537;0.0020758122551722;-0.078935891505125;-0.0246415151634371
Id4;-0.0525215221098828;0.000154140379018289;0.00171141156115894;-0.0796279308924602;-0.025337497068449
Smad3;-0.0527592192445325;0.000143845535869115;0.00162346221389763;-0.0798647726874323;-0.0255757002292446
Tcf4;-0.0529327367759738;0.00013674290251848;0.00156425593032504;-0.0800376638933919;-0.0257495891060297
Nr1h4;-0.0533881666699274;0.000119639281405931;0.00143377234065838;-0.0804914421189332;-0.0262060014918113
Nr4a1;-0.0549565689910397;7.49E-05;0.000919731221525688;-0.0820540704901719;-0.0277778740210342
Junb;-0.05697052643331;4.03E-05;0.000516196359552899;-0.0840604183458702;-0.0297964846223259
Smarca1;-0.0572949504832784;3.64E-05;0.000473825952031074;-0.0843835960440279;-0.0301216789696825
Acaa1a;-0.0583738718433389;2.59E-05;0.000358671211586126;-0.0854583314815036;-0.0312032034482476
Esrrg;-0.0586422202949928;2.38E-05;0.000332189223985866;-0.0857256290265198;-0.0314722092261031
A1cf;-0.0587469086737744;2.30E-05;0.000324209683217877;-0.0858299063673357;-0.0315771551090031
Bmyc;-0.058941683739728;2.16E-05;0.000308872157428807;-0.0860239151090414;-0.031772410861284
Ikzf4;-0.0593596287052242;1.88E-05;0.000281812149723265;-0.0864402087772057;-0.0321913942743436
Dnmt3a;-0.0595036637744939;1.80E-05;0.000271620288302241;-0.0865836725739445;-0.0323357894329531
Jazf1;-0.0610213379162714;1.09E-05;0.000173532266414854;-0.0880952590478147;-0.033857326711412
Zfp174;-0.0610563939535896;1.08E-05;0.000173343364531552;-0.0881301729956944;-0.03389247346941
Xrcc4;-0.062026401691823;7.79E-06;0.000130758135818237;-0.0890962227045961;-0.0348650181186762
Mafa;-0.0642246486458456;3.66E-06;6.49E-05;-0.0912853114343747;-0.0370692046678035
Sox6;-0.064337759081225;3.52E-06;6.33E-05;-0.0913979435604448;-0.0371826278722436
Nfkb1;-0.0650187968588782;2.77E-06;5.04E-05;-0.0920760868046173;-0.037865563620802
Mbd2;-0.0655306380525256;2.31E-06;4.26E-05;-0.0925857360611891;-0.0383788479505118
Zfp950;-0.0657924791878996;2.11E-06;3.93E-05;-0.092846450392685;-0.0386414328866707
Smap2;-0.0676243045842973;1.09E-06;2.13E-05;-0.0946702889787948;-0.0404785667557975
Zfp568;-0.0677287675440754;1.04E-06;2.08E-05;-0.0947742910053703;-0.0405833379722696
Snd1;-0.0677416746909787;1.04E-06;2.08E-05;-0.0947871411596962;-0.0405962832479298
Srrm3;-0.0679233795045594;9.73E-07;1.98E-05;-0.0949680426840636;-0.0407785257994321
Ikzf2;-0.0686304510913605;7.49E-07;1.57E-05;-0.0956719714168291;-0.0414877070853124
Zmiz1;-0.0702848565114358;4.02E-07;9.20E-06;-0.0973189175197401;-0.0431471556441926
Nfia;-0.0705890562470238;3.58E-07;8.32E-06;-0.0976217295777606;-0.0434522989733233
Fos;-0.0709934624419765;3.07E-07;7.24E-06;-0.0980242832303656;-0.0438579674307498
Sox5;-0.0715109942736707;2.51E-07;6.12E-06;-0.0985394313999919;-0.0443771276746143
Hivep3;-0.071641569441224;2.39E-07;5.92E-06;-0.0986694028724302;-0.0445081160118162
Pdx1;-0.0740889084559177;9.13E-08;2.38E-06;-0.101105256379191;-0.0469633715909384
Ncald;-0.075039201652729;6.23E-08;1.68E-06;-0.102051002496844;-0.0479168271141356
Foxn3;-0.0752843955597788;5.64E-08;1.55E-06;-0.102295015245539;-0.0481628449841229
Larp1;-0.0760329473284991;4.16E-08;1.19E-06;-0.103039940950169;-0.0489139325854157
Arid5b;-0.0761046252052418;4.04E-08;1.17E-06;-0.103111270022384;-0.0489858548909262
Zbtb7c;-0.0776994665159733;2.09E-08;6.43E-07;-0.104698278547871;-0.0505862075183731
Glis3;-0.0778487546632645;1.96E-08;6.17E-07;-0.104846826454608;-0.0507360186900692
Rufy3;-0.0782315615864038;1.67E-08;5.37E-07;-0.105227729736467;-0.0511201723360729
Vdr;-0.07829329403196;1.63E-08;5.34E-07;-0.105289154454155;-0.051182122708901
P4hb;-0.0793604195846843;1.04E-08;3.72E-07;-0.10635092797411;-0.0522530483951599
Nucb1;-0.0814700762764163;4.16E-09;1.53E-07;-0.10844982283912;-0.0543704012554341
Mnx1;-0.0845851649448392;1.04E-09;4.61E-08;-0.111548580997374;-0.0574972996420997
Mthfd1;-0.0847985449050733;9.42E-10;4.31E-08;-0.111760823149645;-0.0577115080051201
Fosb;-0.0854507759511584;6.99E-10;3.30E-08;-0.112409561047464;-0.0583662866645635
Creb3l2;-0.094846530172705;7.48E-12;4.18E-10;-0.121752445033166;-0.0678013272217666
Pax6;-0.096908513895785;2.60E-12;1.63E-10;-0.123802188106667;-0.0698725801821041
Tagln2;-0.0994730614669842;6.75E-13;4.43E-11;-0.126351191452262;-0.0724489814660672
Mlxipl;-0.104148378032295;5.29E-14;4.70E-12;-0.130997256811882;-0.0771468362852871
Hmgn3;-0.120105804839598;3.69E-18;4.29E-16;-0.146845968628821;-0.093190223793343
Canx;-0.120164207983491;3.56E-18;4.29E-16;-0.146903948677694;-0.0932489672301037
Hspa5;-0.124525872691874;2.04E-19;2.81E-17;-0.151233496582041;-0.0976365753250301
Zbtb20;-0.125204275214487;1.30E-19;2.18E-17;-0.15190681166432;-0.0983191069627972
Zfp516;-0.127872351625198;2.13E-20;4.02E-18;-0.15455463939636;-0.101003668065894
Rora;-0.138186029646869;1.36E-23;3.41E-21;-0.164786441118839;-0.111384749950942
Mafb;-0.161402266590465;9.92E-32;4.99E-29;-0.187797444215795;-0.134774135839941
Twist2;;;;;
Tal1;;;;;
Irx5;;;;;
Nr5a1;;;;;
Nr2e3;;;;;
