moscot driver TFs Eps. progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Klf15;-0.0164064112133853;0.237547230249933;0.500273804292049;-0.0436071855950517;0.0108186690253534
Zfp964;-0.0164129597249152;0.237359995172554;0.500273804292049;-0.0436137234126414;0.0108121195161837
Zfp287;-0.016420640661089;0.23714051465451;0.500273804292049;-0.0436213918026188;0.0108044374068727
Zfp949;-0.0164584993779492;0.23606080759397;0.49993242561977;-0.043659188633453;0.0107665728607562
Sp1;-0.0164645717529593;0.235887951223162;0.49993242561977;-0.0436652510749649;0.0107604995434927
Celf5;-0.0164698157263986;0.23573874819399;0.49993242561977;-0.0436704864684353;0.0107552547547272
Nfyb;-0.0165390571493083;0.23377492857135;0.497884544630097;-0.0437396144613442;0.0106860024257776
Deaf1;-0.0165719595905192;0.232845825900794;0.496606210607626;-0.0437724629111025;0.01065309471065
Zfp39;-0.0165745670918757;0.232772307132236;0.496606210607626;-0.0437750661311494;0.0106504867888164
Crem;-0.0165810611550392;0.232589277910066;0.496606210607626;-0.0437815495299726;0.0106439916768319
Gm3854;-0.016619283708711;0.231514078598118;0.495867033593133;-0.0438197092693773;0.0106057629034887
Sirt6;-0.0167494441757881;0.227879150766459;0.491327287375827;-0.0439496552377211;0.0104755806594184
Trps1;-0.0167660068602683;0.227419544328194;0.491278271724711;-0.0439661905616151;0.0104590151376651
Meox1;-0.0168090718150413;0.226227605225448;0.489403558582273;-0.0440091843058507;0.010415942735702
Zfp61;-0.0169172320348062;0.223253646243099;0.484357766992931;-0.0441171652317866;0.0103077633663605
Zfp507;-0.0170001070501713;0.220993921109039;0.480836917686814;-0.04419990243778;0.0102248732468915
Egr2;-0.0170175585562393;0.220520173250749;0.480498501599758;-0.0442173248769165;0.0102074185125693
Arnt;-0.0170495316947917;0.219654103222108;0.479303028707202;-0.0442492447186299;0.0101754394164462
Mkx;-0.0171013732565954;0.218255039704838;0.477630594136675;-0.0443009997463916;0.010123588076627
Tbl1xr1;-0.0171982362654015;0.215658146091712;0.472632511753969;-0.0443977006800214;0.0100267064058181
Phtf1;-0.0172856060800855;0.213334913712111;0.468220522827453;-0.0444849238667238;0.00993931931968848
Zfp512;-0.0173272170042322;0.21223481625654;0.467164099923289;-0.0445264648117549;0.00989770002361911
Zfp511;-0.017350000409566;0.211634213718117;0.467164099923289;-0.0445492098612781;0.00987491199440871
Zscan18;-0.0173809438890571;0.210820468149979;0.46608917555852;-0.0445801012023363;0.00984396218967545
Ppard;-0.0174632475601751;0.208667079382473;0.463363661569903;-0.0446622659421435;0.00976164144075325
Zfp93;-0.0174697679951194;0.208497162766659;0.463363661569903;-0.0446687753546476;0.00975511963705912
Zbtb40;-0.0174880694629266;0.208020778751256;0.463291114917989;-0.044687045872481;0.00973681431508972
Arid5a;-0.0174961308476133;0.207811192798529;0.463291114917989;-0.0446950936186284;0.00972875122694243
Hinfp;-0.0175372402519558;0.206744780210191;0.462495730544281;-0.0447361334177056;0.00968763308066344
Nr2f2;-0.0175573590872089;0.206224330341812;0.462015932961627;-0.044756218154865;0.00966750993357533
Bclaf1;-0.0175810753503312;0.205612041645745;0.461328652132356;-0.0447798941946126;0.00964378855930529
Zfp719;-0.0175883636368675;0.205424143649519;0.461328652132356;-0.0447871701138952;0.00963649869589798
Zfp607a;-0.0176208294897068;0.204588662820578;0.461087881879213;-0.0448195808414415;0.00960402578369121
Hsf2;-0.0176214161952316;0.204573587217148;0.461087881879213;-0.0448201665502448;0.00960343895006512
Ctnnb1;-0.0177266287666293;0.201883156742075;0.457036831604998;-0.0449252000794939;0.00949820310333271
Six4;-0.0177275973711826;0.201858508550953;0.457036831604998;-0.0449261670329617;0.00949723428170132
Phf2;-0.0177369133194181;0.201621556522951;0.457036831604998;-0.0449354670986093;0.00948791624301874
Rab2a;-0.0177914196569479;0.200239245157298;0.455363343655905;-0.0449898804148075;0.00943339757981044
Parp1;-0.0178201294691409;0.199513935156536;0.454398253523937;-0.0450185411655152;0.0094046812103045
Zbtb1;-0.017879737736618;0.19801415303722;0.452347006181849;-0.0450780474269177;0.00934505918491276
Zfp316;-0.0179367201857257;0.196588161210588;0.449769883981801;-0.0451349321830019;0.00928806340297238
Zfp710;-0.0179526917868048;0.196189822502247;0.449539653988457;-0.0451508763700728;0.00927208803309614
Zfp454;-0.0180031853553694;0.19493437986875;0.447341813984518;-0.0452012831792119;0.00922158245821293
Taf6;-0.0180240062284362;0.194418420578249;0.446836857036768;-0.045222068236959;0.00920075659392942
Cenpb;-0.0181171255888368;0.192123098173766;0.442234570491443;-0.0453150271286039;0.00910761462177066
Nr3c2;-0.0181444862641079;0.191452479013942;0.441363730245883;-0.0453423405648206;0.00908024721283362
Ppargc1a;-0.018185741121189;0.190444566085841;0.44038305636896;-0.0453835241172297;0.0090389821255148
Mnt;-0.0182094109077417;0.189868046787867;0.439725077683558;-0.0454071529513134;0.00901530642754794
Msx1;-0.0182315240873246;0.189330603605683;0.439153934630695;-0.0454292278441065;0.00899318769772734
Lmo2;-0.0182854787309111;0.188023984379551;0.437467205567216;-0.0454830889590798;0.00893921940013953
Zfp738;-0.0182860143089304;0.188011047714559;0.437467205567216;-0.0454836236078994;0.00893868368578948
Fosl1;-0.0182962007331315;0.187765123842167;0.437467205567216;-0.0454937923562252;0.00892849466567131
Dusp26;-0.0183032964242386;0.187593957717063;0.437467205567216;-0.0455008757312854;0.00892139716295172
Ascl1;-0.0183124919680096;0.187372309126875;0.437467205567216;-0.0455100553102102;0.0089121992673705
Gm10778;-0.0184097789868417;0.185039140509282;0.434539816748081;-0.045607173142799;0.0088148870846575
Foxj2;-0.0184388898128968;0.184345189218775;0.433584479315188;-0.0456362332439616;0.0087857686286753
Dazap1;-0.0185101153777356;0.182655419563998;0.430280317537655;-0.045707334505927;0.00871452420098692
Exo5;-0.0185292331304436;0.182203826181166;0.429887152396189;-0.0457264188474203;0.00869540133822525
Stat2;-0.0186721487872985;0.17885411226045;0.424637908039748;-0.045869084108251;0.00855244685009373
Prdm4;-0.0188475171583161;0.174806590981518;0.416337464325066;-0.0460441437084079;0.00837702930960473
Atoh8;-0.0189621376928537;0.172198316893485;0.411423193843611;-0.0461585615280145;0.00826237573247959
Id2;-0.0189944846380862;0.171467530701939;0.410326420538715;-0.0461908511361632;0.00823001933282384
Zfp692;-0.0190761744253457;0.169632319347891;0.407225440723871;-0.046272395869919;0.00814830541534693
Zbtb26;-0.0191010560199138;0.169076274407185;0.406536901838932;-0.0462972332111557;0.00812341639880601
Sall2;-0.0191847107876748;0.167216809218583;0.403350450351535;-0.046380738947573;0.00803973643017163
Srebf2;-0.0192432765559758;0.165924187740724;0.400872837581589;-0.0464392001544934;0.00798115279210916
Arid3a;-0.0192970961346893;0.164742958712847;0.39993869398135;-0.0464929234812534;0.0079273166270264
Zbtb25;-0.0193026110416567;0.164622276289161;0.39993869398135;-0.0464984285163702;0.00792180001153466
Zkscan16;-0.0193970280985108;0.162566462524491;0.39720931781874;-0.0465926763075963;0.00782735344712462
Taf7;-0.0194166228029957;0.162142248620897;0.396814903432017;-0.0466122358231194;0.00780775255797067
Bcl11a;-0.0194576356370943;0.161257048707719;0.395289194072494;-0.04665317493721;0.00776672671128888
Cd59a;-0.0196353303534154;0.157463887602236;0.387880049395396;-0.0468305491943108;0.00758897455708618
Cux1;-0.0196783285404338;0.156556264010237;0.386274442247482;-0.0468734695795934;0.00754596221284645
Zfp13;-0.0196828104673772;0.156461886340412;0.386274442247482;-0.0468779433910741;0.00754147880442399
Nr1d2;-0.0197532900818904;0.154983436506662;0.383647523155835;-0.0469482952440849;0.0074709757492812
Ahr;-0.0198020880369866;0.153966032182499;0.382382744400616;-0.046997004582915;0.00742216140602777
Hhex;-0.0198069165630607;0.153865637229258;0.382382744400616;-0.0470018243334351;0.00741733125130171
Aco1;-0.0198445353365283;0.153085168537967;0.381449842396584;-0.0470393746936953;0.00737969974559424
Nuak2;-0.0198498387856813;0.152975381536351;0.381449842396584;-0.0470446684918554;0.00737439449526375
Setdb1;-0.0198946308376254;0.152050525762643;0.380126314406609;-0.0470893789721795;0.00732958716974033
Pck2;-0.0199523154688357;0.150865743597463;0.379020084662992;-0.0471469583923317;0.00727188270767783
Zfp866;-0.0199669758246475;0.150565758984344;0.378923826777265;-0.0471615919803039;0.00725721728302588
Hltf;-0.01996781683873;0.150548563696895;0.378923826777265;-0.0471624314584537;0.00725637597780629
Zfp992;-0.0200925356481527;0.148015105660693;0.373750517638207;-0.0472869220703408;0.00713161356735372
B230307C23Rik;-0.0202437709212606;0.144986843123466;0.367332438114821;-0.0474378794955331;0.00698032428616839
Zfp354c;-0.0203003855761068;0.143865503080992;0.365718703118347;-0.0474943898189622;0.00692368909289294
Ncbp2;-0.0204235225345297;0.141449552488168;0.360183514767512;-0.0476172992553475;0.0068005068603073
Mybl2;-0.0204725331334179;0.140496679663128;0.358534681944692;-0.0476662190674974;0.00675147801166274
Scx;-0.0205183499378957;0.139610371236602;0.357307899266559;-0.0477119508834107;0.00670564402830739
Mxd3;-0.0205226702008385;0.139527019849721;0.357307899266559;-0.0477162631265355;0.00670132213959304
Npas4;-0.0205471174895919;0.139056076357403;0.357099787924623;-0.0477406650140451;0.00667686563184268
Zfp566;-0.0206047028623202;0.137951609155977;0.355472576494072;-0.0477981433162697;0.0066192584151428
Cdx2;-0.020606354567301;0.137920030038541;0.355472576494072;-0.0477997919475207;0.00661760608095175
Zfp971;-0.0206085382585048;0.137878288371918;0.355472576494072;-0.0478019715747709;0.00661542155765149
Atf7;-0.0206239491635065;0.137583982739388;0.355472576494072;-0.0478173537919792;0.00660000477293038
Rab14;-0.0207911415908552;0.134422113442693;0.349358676933677;-0.0479842341573384;0.00643274772487035
Bdp1;-0.0208574592886427;0.133183611760653;0.347335498719494;-0.0480504276537012;0.00636640397302895
Ecsit;-0.0209162535482065;0.132093012255972;0.345087281153144;-0.0481091116021817;0.00630758641470274
Kif22;-0.020932169089915;0.131798980937966;0.345020835747503;-0.0481249972505136;0.00629166453364737
Sp2;-0.0209918928491034;0.130700135023312;0.343827881333105;-0.0481846087108473;0.00623191686269937
Pir;-0.0210303088167572;0.129997090019263;0.343174136239663;-0.0482229523424108;0.00619348541161911
Zfp407;-0.0211135087647418;0.12848452180736;0.340387700981022;-0.0483059953526921;0.00611025165447965
Zfp672;-0.021306966733387;0.125020349171149;0.333534853795821;-0.0484990869537728;0.00591671361388726
Rel;-0.0213395638400651;0.12444387928939;0.332584526950406;-0.0485316221284959;0.00588410281453961
Nanos1;-0.0213796690712482;0.123737476576566;0.33128296033797;-0.0485716510837038;0.00584398065739381
Zfp526;-0.0213862159147112;0.123622459865925;0.33128296033797;-0.0485781854674589;0.00583743104258694
Gm45871;-0.0215851345680217;0.12016742139702;0.323445287539216;-0.0487767244364729;0.0056384270713924
Fank1;-0.0216429083323796;0.119178236890202;0.321355603043224;-0.048834387522976;0.00558062812329094
Eef1akmt3;-0.0216532218742631;0.119002324522683;0.321355603043224;-0.0488446812880237;0.00557031006657182
Wrnip1;-0.0217606708914465;0.117181704625954;0.3176739209788;-0.0489519239216986;0.00546281366793405
Zfp868;-0.0217921489849065;0.116652499364624;0.317140319796768;-0.0489833414346342;0.00543132157451672
Kdm2a;-0.0218352029354735;0.115931723049474;0.315987187373116;-0.0490263124394694;0.00538824838816445
Atf1;-0.0218885794068441;0.115042998227324;0.314700955295761;-0.0490795859384688;0.00533484792882681
Zfp2;-0.0218951107527814;0.114934619356957;0.314700955295761;-0.0490861046736953;0.00532831363696981
Htatip2;-0.0219120787377744;0.114653433770519;0.314700955295761;-0.0491030398861078;0.00531133798781592
Ybx1;-0.0221153981956654;0.111326048958069;0.306756083807819;-0.0493059654293632;0.00510792547341078
Ppp1r10;-0.0221806580810021;0.11027435328736;0.304450184117409;-0.0493710984031789;0.00504263524191532
Poli;-0.0222117131819785;0.109776647593913;0.30415181259965;-0.0494020930297942;0.00501156561866362
Snrnp70;-0.0222993884163044;0.108381091320877;0.300837220394346;-0.0494895972493505;0.00492384910116924
Klf9;-0.0224523900416188;0.105979364909305;0.296349705579724;-0.0496422994378308;0.00477077442935583
Zfp41;-0.0224790866998264;0.105564653418069;0.296287410151088;-0.0496689437182208;0.00474406489482165
Gli2;-0.0224942782535799;0.10532923980726;0.296177192009243;-0.0496841054494527;0.00472886599654061
Egr3;-0.0224997736061191;0.10524418454586;0.296177192009243;-0.0496895900109852;0.00472336798411356
Zfp595;-0.0225079229870513;0.105118151427616;0.296177192009243;-0.0496977233862808;0.00471521465564749
Zfp58;-0.0225797081323743;0.104013134608411;0.295198876216616;-0.0497693673875658;0.00464339458146611
Bcl6b;-0.0226505566879283;0.102931600474059;0.294262161187293;-0.0498400763662443;0.00457251127740001
Zfp707;-0.0226601935796779;0.102785182350668;0.294262161187293;-0.0498496942515488;0.00456286963798662
Zfp791;-0.0227381709474814;0.1016065157598;0.291684104177373;-0.0499275176423123;0.00448485366806238
Plagl2;-0.0228078568638843;0.100562304727717;0.289236343121625;-0.0499970656749154;0.00441513297375006
Gtpbp1;-0.0228382101233602;0.100110156516102;0.288485374693348;-0.0500273587935786;0.00438476448323047
Prdx5;-0.0228410997326785;0.100067196923362;0.288485374693348;-0.0500302426749252;0.00438187342130961
Polr3g;-0.0231032936743885;0.0962299462354226;0.278900611929919;-0.0502919149917711;0.0041195457810369
Zbtb14;-0.0232509882967572;0.0941207912692467;0.274367557560931;-0.0504393141377622;0.00397177419611955
Msrb3;-0.0232587785034703;0.0940105800224062;0.274367557560931;-0.050447088726582;0.00396397989697991
Zfp938;-0.0234261560559555;0.0916675114327082;0.268772703424057;-0.0506141299227167;0.00379651361710088
Hes1;-0.0234546185743909;0.0912737801581423;0.268690517427811;-0.0506425350924968;0.00376803585868459
Smug1;-0.02387135670597;0.0856630690546066;0.254628413922157;-0.051058428508561;0.0033510695324737
Nr1h2;-0.0239071267803158;0.085194759729187;0.25423732646457;-0.0510941256386396;0.0033152794302717
Arg1;-0.02393001830712;0.084896146455187;0.253847883460064;-0.0511169704473516;0.00329237504978189
Zfp764;-0.0241818800012465;0.0816662444829757;0.248120783036807;-0.0513683162518676;0.00304037004835302
Satb1;-0.0241969180515986;0.0814765916656448;0.248043656078878;-0.0513833233907463;0.00302532333208302
Zfp991;-0.0244481346728737;0.0783608731636598;0.240987614006367;-0.0516340218077998;0.00277396012023711
Clk1;-0.0244490199911948;0.0783500668748423;0.240987614006367;-0.0516349052938466;0.00277307427922992
Zfp146;-0.0244530147952076;0.0783013209537987;0.240987614006367;-0.0516388918295961;0.00276907711617972
Prkaa1;-0.0244869233000768;0.0778885510975326;0.240987614006367;-0.0516727301172974;0.00273514855241325
Cebpb;-0.024566165650898;0.0769308340889702;0.238532976333357;-0.0517518081309789;0.00265585908065489
Pold2;-0.0245662495037613;0.0769298257547268;0.238532976333357;-0.0517518918097629;0.00265577517774778
2610021A01Rik;-0.0246771026681852;0.0756061983093257;0.235637966174748;-0.0518625145082709;0.00254485552038909
Six5;-0.0247653134689838;0.0745662545910091;0.233599677245692;-0.0519505414404128;0.00245659132961468
Nrf1;-0.0247661293119681;0.0745566911703711;0.233599677245692;-0.0519513555808633;0.00245577499085823
Tbp;-0.0248168000104608;0.0739646827171203;0.233166327563364;-0.0520019204668959;0.0024050734296481
Mthfd1;-0.0248550499912016;0.0735203399572964;0.232250446308614;-0.0520400904802607;0.00236680005875078
Dis3;-0.0249193244924065;0.0727785913981465;0.230873262628574;-0.0521042304270123;0.00230248607359045
Ubxn1;-0.0250569515441681;0.0712109136651164;0.22637574659858;-0.052241568611292;0.00216477371990051
Mzf1;-0.0250652945990161;0.0711167763333569;0.22637574659858;-0.0522498941217194;0.0021564254607928
Pdcd11;-0.025107861256229;0.0706380694658912;0.225981959520118;-0.052292371207652;0.00211383219213766
Elk3;-0.0251602968716619;0.0700520107648941;0.224582879522272;-0.0523446963497386;0.00206136365970001
Hivep2;-0.0253463721102424;0.0680044090783091;0.218482250443078;-0.0525303783532541;0.00187517040079281
Tcf24;-0.0253529619743192;0.0679328049603786;0.218482250443078;-0.052536954256428;0.00186857632241443
Smarcc2;-0.0253549820255096;0.0679108679128976;0.218482250443078;-0.0525389700275833;0.00186655497890173
Ewsr1;-0.0253928530357798;0.0675006789809393;0.218482250443078;-0.0525767607566756;0.00182865969957662
Nfatc3;-0.0254342189048701;0.0670549672783464;0.217748388366243;-0.0526180388470131;0.00178726723246597
Arntl2;-0.0254489109094251;0.0668972468720191;0.217704402536096;-0.0526326996526444;0.00177256575858633
Atf6b;-0.0255361449707495;0.065967055567132;0.215606610186946;-0.0527197482284105;0.00168527523061249
Ctbp2;-0.025554602908027;0.0657716075430228;0.215434115813371;-0.0527381668656707;0.00166680529232928
Las1l;-0.0255645374877788;0.0656666095987801;0.215434115813371;-0.0527480802853943;0.0016568642456111
Morn1;-0.0256303506929718;0.064974517286796;0.213750590638479;-0.0528137531772962;0.00159100806308852
Zfp850;-0.0256697805638475;0.0645627614889805;0.212859759494237;-0.0528530988713274;0.00155155233061506
Rfx3;-0.0257378219393027;0.0638572867972021;0.21145724356091;-0.0529209947901947;0.00148346612828811
Zfp354b;-0.0260001908725339;0.0611962949171524;0.20443894983385;-0.0531828004868556;0.00122092197878991
Shox2;-0.0260335352538013;0.0608647815024872;0.203782306139148;-0.0532160730189367;0.00118755506057326
Zfp467;-0.0260591992594641;0.060610641285894;0.203382374092666;-0.0532416816836862;0.0011618736677285
D130040H23Rik;-0.0260975947092243;0.060232068609717;0.202562190647377;-0.0532799942721586;0.00112345213827948
Acaa1a;-0.0261587138050791;0.0596334883252983;0.200996802167858;-0.0533409813016998;0.00106229136215747
Hnf4a;-0.0261906215088536;0.0593229598385161;0.200397470595434;-0.0533728199786535;0.0010303618179625
Zfp592;-0.0261957152559946;0.0592735114358876;0.200397470595434;-0.0533779027012343;0.00102526457907832
Zhx2;-0.0262129762597139;0.0591062015429547;0.200397470595434;-0.0533951263359372;0.00100799173249232
Zfp384;-0.0262860015239664;0.0584027017401295;0.199520542143881;-0.053467993326011;0.000934916185497155
Zfp654;-0.0263122033077038;0.0581519838464486;0.199114502512783;-0.0534941382497152;0.000908696289221951
Ubp1;-0.0265128490169046;0.0562615443051844;0.193079390683701;-0.0536943473057913;0.000707910638718134
Hcfc1;-0.0265805189676239;0.0556356214429509;0.19136626054409;-0.0537618694976853;0.000640192996331846
2010315B03Rik;-0.0265983304389271;0.0554718392330587;0.191238532515795;-0.0537796420359254;0.000622368930556818
Zfp974;-0.0267068276848648;0.0544828244709455;0.189560057491077;-0.0538879017520756;0.000513794592769316
Arid3b;-0.0267132378650625;0.0544248549783658;0.189560057491077;-0.0538942978786654;0.000507379837790749
Foxj1;-0.026834511520961;0.0533377910706966;0.186867899110793;-0.0540153052352815;0.000386019209893993
Zfp747;-0.0269996931958561;0.0518863629451916;0.183485733131708;-0.0541801229110673;0.000220717784292283
Tfdp2;-0.027030348324441;0.0516206674995058;0.182974666488858;-0.0542107103241915;0.000190040268201033
Klf8;-0.027110245313674;0.0509335251202562;0.181390620121667;-0.0542904305857311;0.000110084689241379
Ncoa1;-0.0271288879503616;0.0507742984041722;0.181251041584633;-0.0543090319360867;9.14E-05
Gpd1;-0.0271589832072675;0.0505181344958148;0.181193308999241;-0.0543390605036653;6.13E-05
Rbbp5;-0.0272996545640923;0.0493350837249384;0.177371372439659;-0.0544794194890491;-7.95E-05
Zkscan8;-0.0274288044921819;0.0482694737770617;0.173954428170317;-0.0546082816841636;-0.000208711553988178
Git2;-0.0274444493195414;0.0481417113084751;0.173909052812912;-0.054623891594952;-0.000224368166418721
Map4k2;-0.0275861551195036;0.0469973644702074;0.170591395072147;-0.0547652805267404;-0.000366181319609919
Arfgap1;-0.0276394869668786;0.0465726483526052;0.169852433978656;-0.054818492836542;-0.000419553853596573
Kat2a;-0.0276415333024794;0.0465564165948514;0.169852433978656;-0.0548205345824271;-0.000421601753426334
Rbms1;-0.0277212688868417;0.0459276412395503;0.168327034640099;-0.0549000911512883;-0.000501398465832681
Socs4;-0.0277808338953861;0.0454626053234488;0.167828196153039;-0.0549595222043988;-0.000561009365165856
Stau2;-0.0277881737892945;0.0454055767847982;0.167828196153039;-0.0549668455783315;-0.000568354927351073
Phf8;-0.0278240384900916;0.0451277859935588;0.167427412408535;-0.0550026295160209;-0.000604247367119745
Tfdp1;-0.027866710748129;0.0447991344021103;0.166617470313267;-0.0550452055901784;-0.000646952720687876
Zfp709;-0.0280036406494048;0.0437581289806094;0.163147592001778;-0.0551818261820914;-0.000783989491808884
Gm14326;-0.0280596428417269;0.0433382964146271;0.162384187558528;-0.0552377015784957;-0.00084003568678844
Clock;-0.028104812806479;0.0430021532544821;0.161525501030517;-0.0552827691488201;-0.00088524126756933
Topors;-0.0281479268499508;0.0426833671193244;0.16072789114758;-0.055325785355076;-0.00092838940976728
Tcf7l2;-0.0282614364562283;0.041853613340539;0.158586248278028;-0.0554390368954483;-0.00104198927502778
Gtf2i;-0.0282691838442427;0.0417974810158929;0.158586248278028;-0.0554467666441584;-0.00104974284911328
Zfp322a;-0.0285041416737734;0.040125147885201;0.153779120067648;-0.0556811879726383;-0.00128488984054905
Hhat;-0.0285954145510288;0.0394909819381664;0.152120874302631;-0.0557722516300187;-0.00137623701236596
Klf4;-0.0286030639788561;0.0394382219520162;0.152120874302631;-0.0557798835029424;-0.00138389268732708
Zfp1;-0.0286933984976403;0.0388196734946407;0.150595947114615;-0.0558700104701084;-0.00147430122181625
Kmt2a;-0.0289446261346196;0.0371425966831395;0.14454979636995;-0.0561206585606084;-0.00172573704200802
Klf2;-0.0289520964892705;0.0370936872081535;0.14454979636995;-0.0561281116297699;-0.00173321363976042
Trmo;-0.0289947045774944;0.0368157727071093;0.144020250745427;-0.0561706210701736;-0.00177585739445819
Creb1;-0.0290297015746107;0.0365888300795116;0.143504242649513;-0.0562055369672499;-0.00181088376098832
Zfp809;-0.029062826146927;0.0363751280337144;0.143037612840908;-0.0562385847173446;-0.00184403619290575
Srp9;-0.0290997488523222;0.0361381765340734;0.142476883985511;-0.056275421721739;-0.00188099002285816
Zfp704;-0.0291138613967058;0.03604795735948;0.142476883985511;-0.0562895014900629;-0.00189511448326334
Tgif1;-0.0293492747912688;0.0345710740480861;0.137736996867045;-0.0565243665484543;-0.00213072825229964
Esrp1;-0.0294669026331863;0.0338526922663272;0.135950971601473;-0.0566417192791082;-0.00224845734659388
Thrb;-0.029521365719258;0.0335244183491835;0.135352598147773;-0.056696054731078;-0.0023029675692666
Zfp248;-0.0299824028171622;0.030852989053838;0.12694281599808;-0.0571560049408627;-0.00276441016480111
Hivep3;-0.0299838017747304;0.0308451694193765;0.12694281599808;-0.0571574005828555;-0.00276581037043901
Zfp688;-0.0300363182599558;0.0305528503321779;0.126743967037331;-0.0572097925254572;-0.00281837378506336
Creb3;-0.0301457363105522;0.0299514364320764;0.124591374689904;-0.0573189506108417;-0.00292789009615222
Zfp943;-0.0301762477708571;0.029785555601148;0.124243615905341;-0.05734938946344;-0.0029584290730237
Tfap4;-0.0302287434049841;0.0295020017236404;0.12340172466121;-0.0574017600561886;-0.00301097216882215
Zfp354a;-0.0304247152683139;0.0284638759146378;0.120057130254477;-0.0575972638053936;-0.00320712253941305
Mafa;-0.0304848229129914;0.0281518368108607;0.119073595474509;-0.0576572274544899;-0.00326728535478088
Zfp711;-0.0305594338677402;0.0277686091640152;0.118114365739895;-0.0577316593963943;-0.00334196506638063
Phf21a;-0.0305939203079295;0.027592999875319;0.118114365739895;-0.0577660629917489;-0.00337648338973741
Apex2;-0.0306938941866113;0.0270893213407822;0.116538106052937;-0.057865796344083;-0.0034765500621383
Pik3c3;-0.0308023487207996;0.02655190642816;0.114552510590062;-0.0579739893350636;-0.0035851058780192
Prox2;-0.0309619865342874;0.025777625405121;0.111851190694634;-0.0581332410132841;-0.0037448939384129
Tfe3;-0.0311618675596576;0.0248357379628517;0.108387180126896;-0.0583326366125792;-0.00394496504611748
Hmga2;-0.0312798301336159;0.0242939692070534;0.106330126094639;-0.0584503116883295;-0.00406304082224315
Ilf3;-0.0315301122874644;0.0231783104265269;0.101742002162952;-0.0586999813543926;-0.00431356567137322
Smad2;-0.0318310678071978;0.0218958869582113;0.0972434979614681;-0.0590001958781919;-0.00461481754776251
Rest;-0.0319169326861314;0.0215415088808399;0.0959518537170155;-0.0590858484443063;-0.00470076788526286
Sod1;-0.0319398231375635;0.0214478831734947;0.0958174662484527;-0.0591086822283858;-0.00472368118671901
Ube2k;-0.032057525415403;0.0209720339702812;0.093969647760014;-0.0592260926748104;-0.00484150141024611
Zfp574;-0.032183804509964;0.0204717616762913;0.0920010718190472;-0.0593520578367316;-0.0049679078852738
Zfp169;-0.0323594045960913;0.0197934047343818;0.0892180332803478;-0.0595272199390444;-0.00514368654869823
Sox12;-0.0324220940436169;0.0195560275554604;0.0884119808645066;-0.0595897526205568;-0.00520644015593502
Cpeb1;-0.0325009261817261;0.0192610562711768;0.0873399248332645;-0.0596683873223556;-0.00528535327930391
R3hdm2;-0.0326025116780241;0.0188866839257322;0.0861597967608933;-0.0597697178990083;-0.00538704363552007
Zmiz1;-0.0326670392227253;0.018652198423138;0.0858267462351911;-0.0598340832268736;-0.00545163808002422
Zbtb48;-0.0327550948396179;0.0183363244449395;0.0846723238894761;-0.0599219171148483;-0.00553978535619795
Zfp871;-0.0327893516815188;0.0182147085708771;0.0843687421534493;-0.0599560875824597;-0.00557407797117204
Maff;-0.0328796520559865;0.017897508706908;0.0836694679487032;-0.0600461599708499;-0.00566447294952623
Nr5a2;-0.0329988250698076;0.0174862983830693;0.0820009644671886;-0.0601650314251402;-0.00578377149671617
Tbx15;-0.0330747684084954;0.0172285940703635;0.0810441652531122;-0.0602407821922064;-0.0058597952360294
Hcfc2;-0.0330981024198406;0.0171500846515516;0.0809269619495092;-0.0602640569720141;-0.00588315401409233
Pknox1;-0.0334427414735824;0.0160265238862572;0.076100789522794;-0.0606078177467286;-0.00622816232652598
Zfp612;-0.0337519115160962;0.0150741761142769;0.0718044351184798;-0.0609161944163399;-0.00653766913816798
Creb3l1;-0.0339224054235845;0.0145706086693813;0.0696253768695121;-0.0610862485946788;-0.00670835098981623
Zxdb;-0.0341966509682194;0.0137916733349638;0.066112465827922;-0.0613597835109066;-0.00698290217610147
Tfcp2;-0.0342981815002939;0.0135127598772748;0.065189352762572;-0.0614610499209556;-0.00708454690275572
Zbtb37;-0.034488528819602;0.0130032569997535;0.0629324297103455;-0.0616509005628526;-0.00727510982710565
Hsf1;-0.0346473145363979;0.0125913078002528;0.0615303390886143;-0.0618092704529525;-0.00743407691149633
Sema4a;-0.0346550856178868;0.0125714465283082;0.0615303390886143;-0.0618170211484922;-0.00744185690454475
Ezr;-0.0350337383553687;0.0116366648718512;0.0576110293655587;-0.0621946765941378;-0.00782094785680266
Nfil3;-0.0350923468218085;0.0114976247473659;0.0571099123964557;-0.0622531300031004;-0.00787962484986896
Nelfb;-0.0351087802497907;0.0114589043078217;0.0571054307089468;-0.06226951992054;-0.00789607752590516
Zhx1;-0.0352106289126492;0.0112214987195114;0.056107493597557;-0.0623710985934734;-0.00799804581011634
Zfp598;-0.0352910770707983;0.0110370740970242;0.0553687105864007;-0.0624513330943926;-0.00807858885475493
Zbtb38;-0.0353535771649027;0.0108956579659257;0.0548414784284927;-0.0625136669560932;-0.0081411629097934
Nfe2l1;-0.0356597446986424;0.0102259065048824;0.0516425378674664;-0.0628190171103008;-0.0084476958330604
Hif1a;-0.0356768627021462;0.0101895655631357;0.0516316912762919;-0.0628360892635542;-0.00846483441666686
