moscot driver TFs Eps. progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Rxrb;-0.00870132834026405;0.531058782763394;0.78890500550656;-0.0359130710121848;0.0185233077143603
Gm14305;-0.00870909531596431;0.5306921793241;0.78890500550656;-0.0359208285561467;0.0185155428140631
Lmx1a;-0.00871446820583243;0.530438652565321;0.78890500550656;-0.0359261949195883;0.018510171357956
Zfp235;-0.00872424222932189;0.529977610308074;0.78890500550656;-0.0359359570665891;0.0185003999386446
Hic2;-0.00878725914628286;0.527009986745181;0.78790601978735;-0.0359988972865455;0.0184373996869714
Rnf138;-0.00879065957675799;0.526850093413384;0.78790601978735;-0.0360022935722658;0.0184340001496177
Zfp867;-0.0088165886074986;0.525631686163396;0.787404609232865;-0.0360281909776681;0.0184080779084243
Homez;-0.00887600765609729;0.522845023303681;0.784625537714885;-0.0360875374157015;0.0183486742807341
Bnc2;-0.00889482691348232;0.521964012812189;0.784244437160603;-0.0361063336357794;0.0183298598673957
Zbtb32;-0.00892478751407929;0.520563004114442;0.783699039095522;-0.0361362575208404;0.0182999069388283
Nfe2;-0.00893168176293364;0.520240891642862;0.783699039095522;-0.0361431433141582;0.0182930144484723
Arg2;-0.00893374307122451;0.520144603332236;0.783699039095522;-0.0361452020938303;0.0182909536654515
Pou4f1;-0.00894069535391921;0.519819914434176;0.783699039095522;-0.0361521458464166;0.0182840031526572
Zfp781;-0.00895645702093006;0.519084192599272;0.783699039095522;-0.0361678881649076;0.01826824548848
Gm10479;-0.00897484847911646;0.518226397578061;0.783699039095522;-0.0361862570292538;0.0182498586838915
Mef2b;-0.00911845570580793;0.511553702489503;0.776327729406181;-0.036329687202662;0.0181062871609393
Rfx4;-0.00912096002802113;0.511437738453257;0.776327729406181;-0.036332188427352;0.0181037834513924
Etfb;-0.00917750126920074;0.50882322100109;0.776327729406181;-0.0363886596435792;0.0180472559517889
Prdm10;-0.00921122745383312;0.507267032618557;0.775276537706499;-0.0364223439764066;0.0180135378809755
Sall1;-0.0092226806893915;0.50673912816256;0.775254390603308;-0.0364337829852472;0.0180020873867423
Zfp276;-0.00922994456100105;0.506404470225666;0.775254390603308;-0.0364410378302918;0.0179948252500352
Zscan20;-0.00931600805892837;0.502448249874861;0.770250616559431;-0.0365269941617443;0.0179087820888681
E2f8;-0.0093581807510252;0.500515610795167;0.768849005392373;-0.0365691141933152;0.0178666192149451
Zbtb34;-0.00935856905938155;0.500497834195244;0.768849005392373;-0.0365695020163464;0.0178662309965405
Rfx8;-0.00937905323343958;0.499560551637527;0.768849005392373;-0.03658996057675;0.0178457515560081
Rlf;-0.00939838050422644;0.498677059734762;0.768369755305602;-0.036609263659575;0.0178264287304622
Cers3;-0.0094070161823121;0.498282572512499;0.768369755305602;-0.0366178885235988;0.0178177950319952
Smad7;-0.00942328889234791;0.497539668461961;0.768184968688714;-0.0366341408450531;0.0178015260412366
Dmrta2;-0.00943181243734794;0.497150775303584;0.768184968688714;-0.0366426537048956;0.0177930044386177
Zgpat;-0.00948612084317739;0.494676719593956;0.766114714448076;-0.0366968939367001;0.0177387083159289
Npas2;-0.00959608216452606;0.489687572074041;0.761512084275801;-0.0368067167312765;0.0176287713732493
Rorb;-0.00959850098801101;0.489578130733799;0.761512084275801;-0.0368091325001946;0.0176263530786233
Nelfa;-0.00961342468993885;0.48890318872868;0.761512084275801;-0.0368240373489654;0.0176114326326144
Bhlha15;-0.00961435363706924;0.488861192574668;0.761512084275801;-0.0368249651221539;0.0176105038877525
Agmat;-0.00964110120318313;0.487652813452623;0.761484744894996;-0.0368516788663438;0.0175837621254878
Npdc1;-0.00976045139090977;0.482280602766622;0.75622399810758;-0.0369708776635162;0.0174644373604321
Thap12;-0.00976903708646397;0.48189538587371;0.75622399810758;-0.0369794524386333;0.017455853463808
Adnp2;-0.00977639578984573;0.481565353975593;0.75622399810758;-0.0369868017790421;0.0174484962990751
Dus3l;-0.00978191860016131;0.48131774118058;0.75622399810758;-0.0369923175603814;0.0174429746416005
Foxd3;-0.00979618838979385;0.480678282238779;0.75622399810758;-0.0370065691809293;0.0174287078229802
Stat5a;-0.00982783612960003;0.479261733562917;0.756201899352148;-0.0370381765855894;0.0173970666327681
Ppp2r3d;-0.00989556437300209;0.476237894038494;0.754400470554324;-0.0371058183262029;0.017329352222709
Hlf;-0.00990019996449151;0.476031313211414;0.754400470554324;-0.037110447987979;0.0173247175688972
Nfatc2;-0.00991718792227257;0.47527468050572;0.754400470554324;-0.0371274142052771;0.0173077330374045
Gm14412;-0.0099411643705518;0.474207908348559;0.754400470554324;-0.0371513599427995;0.01728376139818
Rcor1;-0.00998404950377248;0.472303125706729;0.752297172802912;-0.0371941900677326;0.0172408847885506
