Differentiable motif activity alpha cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
5581;M09013_2.00;-22.116627;-1.0339649;0;0;M09013_2.00;Zic3;['Zic1', 'Zic4', 'Zic2', 'Zic3']
5582;M08902_2.00;-22.116627;-1.0339649;0;0;M08902_2.00;;['Zic1', 'Zic4', 'Zic2', 'Zic3']
5583;M08893_2.00;-22.118158;-0.6580901;0;0;M08893_2.00;;['Vezf1', 'ENSMUSG00000098546']
5584;M05741_2.00;-22.126556;-2.2949662;0;0;M05741_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5585;M07912_2.00;-22.14637;-1.9896811;0;0;M07912_2.00;;['Ctcf']
5586;M02794_2.00;-22.156717;-1.3229113;0;0;M02794_2.00;;['Mesp2', 'Mesp1']
5587;M04149_2.00;-22.159262;-1.2781556;0;0;M04149_2.00;;['Neurod1', 'Neurod6', 'Neurod2', 'Neurod4']
5588;M07884_2.00;-22.19752;-1.9942918;0;0;M07884_2.00;;['Ctcf']
5589;M08894_2.00;-22.215576;-1.0438012;0;0;M08894_2.00;;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5590;M09294_2.00;-22.215921;-0.97242814;0;0;M09294_2.00;;['Pparg', 'Rarg', 'Ppard', 'Nr2f6', 'Nr2c2', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Hnf4g', 'Thrb', 'Ppara', 'Nr4a1', 'Nr5a2', 'Nr5a1', 'Nr4a2', 'Rorc', 'Nr4a3', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Nr1h4', 'Thra', 'Nr6a1', 'Nr2f1']
5591;M02891_2.00;-22.22157;-1.1547294;0;0;M02891_2.00;;['Zfp740']
5592;M09011_2.00;-22.230938;-1.030667;0;0;M09011_2.00;Zic2;['Zic1', 'Zic4', 'Zic2', 'Zic3']
5593;M07881_2.00;-22.236403;-2.0107553;0;0;M07881_2.00;;['Ctcf']
5594;M08358_2.00;-22.248487;-0.7776396;0;0;M08358_2.00;;['Zfp467']
5595;M03942_2.00;-22.266586;-1.3210088;0;0;M03942_2.00;;['Nr5a2', 'Nr5a1']
5596;M05746_2.00;-22.276602;-2.5524206;0;0;M05746_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5597;M05156_2.00;-22.294119;-1.4056767;0;0;M05156_2.00;;['Lhx2', 'Sebox', 'Phox2a', 'Phox2b', 'Alx3', 'Lhx9', 'Vsx2', 'Otp', 'Rax', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Uncx', 'Nobox', 'Isx', 'Vsx1', 'Arx', 'Alx1', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Prop1', 'En1', 'Lhx8']
5598;M01660_2.00;-22.324238;-1.1583387;0;0;M01660_2.00;Arid3a;['Arid3b', 'Arid3a', 'Arid3c']
5599;M01658_2.00;-22.32495;-1.1604846;0;0;M01658_2.00;;['Arid3b', 'Arid3a', 'Arid3c']
5600;M08741_2.00;-22.341032;-1.0424769;0;0;M08741_2.00;;['Srebf1', 'Srebf2']
5601;M08752_2.00;-22.341032;-1.0424769;0;0;M08752_2.00;Srebf2;['Srebf1', 'Srebf2']
5602;M07893_2.00;-22.35234;-2.1009653;0;0;M07893_2.00;;['Ctcf']
5603;M00468_2.00;-22.360577;-1.4108152;0;0;M00468_2.00;Pknox2;['Pknox1', 'Meis1', 'Meis2', 'Pknox2', 'Meis3', 'Tgif1', 'Tgif2']
5604;M07921_2.00;-22.364252;-1.9718139;0;0;M07921_2.00;;['Ctcf']
5605;M04888_2.00;-22.398489;-1.5071715;0;0;M04888_2.00;;['Grhl1']
5606;M08038_2.00;-22.42172;-0.7564527;0;0;M08038_2.00;Rela;['Rela']
5607;M05158_2.00;-22.464645;-1.4067336;0;0;M05158_2.00;;['Lhx2', 'Sebox', 'Phox2a', 'Phox2b', 'Alx3', 'Lhx9', 'Vsx2', 'Otp', 'Rax', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Uncx', 'Nobox', 'Isx', 'Vsx1', 'Arx', 'Alx1', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Prop1', 'En1', 'Lhx8']
5608;M04472_2.00;-22.48973;-1.0546844;0;0;M04472_2.00;;['Zic1', 'Zic4', 'Zic3']
5609;M05748_2.00;-22.492468;-2.634636;0;0;M05748_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5610;M07867_2.00;-22.499033;-2.2338595;0;0;M07867_2.00;;['Ctcf']
5611;M09199_2.00;-22.509232;-1.126262;0;0;M09199_2.00;Pbx2;['Pbx4', 'Pbx2', 'Pbx3', 'Pbx1']
5612;M09165_2.00;-22.509232;-1.126262;0;0;M09165_2.00;;['Pbx4', 'Pbx2', 'Pbx3', 'Pbx1']
5613;M05745_2.00;-22.544546;-2.3064919;0;0;M05745_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5614;M09214_2.00;-22.5504;-1.2656481;0;0;M09214_2.00;Hoxb8;['Hoxb6', 'Hoxa10', 'Hoxa4', 'Mnx1', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8', 'Hoxc4', 'Hoxd4']
5615;M09141_2.00;-22.5504;-1.2656481;0;0;M09141_2.00;;['Hoxb6', 'Hoxa10', 'Hoxa4', 'Mnx1', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8', 'Hoxc4', 'Hoxd4']
5616;M02685_2.00;-22.598057;-1.170424;0;0;M02685_2.00;;['Pbx4', 'Pbx2', 'Pbx3', 'Pbx1']
5617;M08975_2.00;-22.641619;-0.71910477;0;0;M08975_2.00;Sp4;['Sp1', 'Sp4', 'Sp3', 'Sp8', 'Sp9', 'Sp5']
5618;M08873_2.00;-22.641619;-0.71910477;0;0;M08873_2.00;;['Sp1', 'Sp4', 'Sp3', 'Sp8', 'Sp9']
5619;M09403_2.00;-22.650879;-1.3014444;0;0;M09403_2.00;Sox10;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
5620;M09387_2.00;-22.650879;-1.3014444;0;0;M09387_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
5621;M03072_2.00;-22.669214;-1.5760587;0;0;M03072_2.00;;['Grhl1']
5622;M05747_2.00;-22.6711;-2.5475368;0;0;M05747_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5623;M07923_2.00;-22.724495;-2.040827;0;0;M07923_2.00;;['Ctcf']
5624;M07880_2.00;-22.744642;-2.0973442;0;0;M07880_2.00;;['Ctcf']
5625;M08296_2.00;-22.750656;-0.85205615;0;0;M08296_2.00;;['Sp1', 'Sp4', 'Sp3', 'Sp8', 'Sp9']
5626;M07889_2.00;-22.758364;-2.1671083;0;0;M07889_2.00;;['Ctcf']
5627;M06172_2.00;-22.758947;-1.1646665;0;0;M06172_2.00;;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf12']
5628;M09125_2.00;-22.774092;-1.4345661;0;0;M09125_2.00;;['Grhl1', 'Grhl2']
5629;M06087_2.00;-22.774157;-1.2821373;0;0;M06087_2.00;;['Scrt1', 'Scrt2']
5630;M08096_2.00;-22.786932;-0.8403083;0;0;M08096_2.00;;['Sp1', 'Sp4', 'Sp3', 'Sp8', 'Sp9', 'Sp5']
5631;M06086_2.00;-22.84526;-1.272172;0;0;M06086_2.00;;['Scrt1', 'Scrt2']
5632;M01723_2.00;-22.848764;-1.3311251;0;0;M01723_2.00;Tcf3;['Tcf3', 'Tcf12', 'Tcf4']
5633;M09795_2.00;-22.856796;-1.4974756;0;0;M09795_2.00;;['Tcf3', 'Tcf12', 'Tcf4']
5634;M04164_2.00;-22.873644;-1.3050008;0;0;M04164_2.00;;['Nhlh2', 'Nhlh1']
5635;M09803_2.00;-22.884855;-1.5794373;0;0;M09803_2.00;;['Tfap4']
5636;M03968_2.00;-22.890547;-2.775967;0;0;M03968_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5637;M02101_2.00;-22.913229;-1.3974088;0;0;M02101_2.00;Noto;['Lhx2', 'Hoxa4', 'Sebox', 'Mnx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Vsx2', 'Otp', 'Hoxc5', 'Rax', 'Lhx4', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Hoxa1', 'Isx', 'Isl2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Alx4', 'Prrxl1', 'Isl1', 'Emx2', 'Prop1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'En1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
5638;M02147_2.00;-22.97198;-1.387947;0;0;M02147_2.00;;['Pax6']
5639;M03479_2.00;-22.97213;-2.6153893;0;0;M03479_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5640;M08922_2.00;-22.97809;-1.1153892;0;0;M08922_2.00;;['Zfp449']
5641;M07914_2.00;-22.992579;-2.0529556;0;0;M07914_2.00;;['Ctcf']
5642;M04101_2.00;-23.016932;-1.7899717;0;0;M04101_2.00;;['Myf5', 'Myod1', 'Myog', 'Myf6']
5643;M08344_2.00;-23.03931;-1.1367848;0;0;M08344_2.00;;['Zfp449']
5644;M04638_2.00;-23.068071;-1.1300938;0;0;M04638_2.00;;['Zfp580']
5645;M04178_2.00;-23.070389;-1.4030815;0;0;M04178_2.00;;['Nhlh2', 'Nhlh1']
5646;M08988_2.00;-23.07635;-0.6520313;0;0;M08988_2.00;Maz;['Maz']
5647;M09166_2.00;-23.092854;-1.3105118;0;0;M09166_2.00;;['Hoxb6', 'Hoxa4', 'Hoxc8', 'Hoxc6', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxb3', 'Hoxb8', 'Hoxc4', 'Hoxd3', 'Hoxa3', 'Hoxd4']
5648;M09206_2.00;-23.092854;-1.3105118;0;0;M09206_2.00;Hoxb7;['Hoxb6', 'Hoxa4', 'Hoxc8', 'Hoxc6', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxb3', 'Hoxb8', 'Hoxc4', 'Hoxd3', 'Hoxa3', 'Hoxd4']
5649;M03478_2.00;-23.119415;-2.6858687;0;0;M03478_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5650;M08978_2.00;-23.1217;-0.7361965;0;0;M08978_2.00;Sp3;['Sp1', 'Sp4', 'Sp3', 'Sp5']
5651;M08920_2.00;-23.1217;-0.7361965;0;0;M08920_2.00;;['Sp1', 'Sp4', 'Sp3', 'Sp6', 'Sp8', 'Sp9', 'Sp5']
5652;M03480_2.00;-23.125225;-2.648526;0;0;M03480_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5653;M08864_2.00;-23.131811;-0.62891257;0;0;M08864_2.00;;['Patz1']
5654;M08964_2.00;-23.205114;-0.98263997;0;0;M08964_2.00;Klf4;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5655;M07550_2.00;-23.322454;-2.1607394;0;0;M07550_2.00;;['Ctcf']
5656;M08021_2.00;-23.335745;-1.036541;0;0;M08021_2.00;Klf4;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5657;M03898_2.00;-23.368689;-1.2460197;0;0;M03898_2.00;;['Pax6']
5658;M07871_2.00;-23.439081;-2.0518749;0;0;M07871_2.00;;['Ctcf']
5659;M04887_2.00;-23.453667;-1.6247174;0;0;M04887_2.00;;['Grhl1']
5660;M03293_2.00;-23.461256;-1.2414876;0;0;M03293_2.00;;['Pax3', 'Pax7']
5661;M05766_2.00;-23.46768;-1.3258868;0;0;M05766_2.00;;['Sox9', 'Sox8', 'Sox17', 'Sox10', 'Sox30', 'Sox15', 'Sox5', 'Sox3', 'Sox18', 'Sox12', 'Sox6', 'Sox14', 'Sox21', 'Sox7', 'Sox11', 'Sry', 'Sox13', 'Sox2', 'Sox4', 'Sox1']
5662;M08967_2.00;-23.521042;-0.6962288;0;0;M08967_2.00;Zbtb17;['Zbtb17']
5663;M04510_2.00;-23.56389;-1.0567741;0;0;M04510_2.00;;['Zfp281']
5664;M09126_2.00;-23.56692;-1.4376824;0;0;M09126_2.00;Grhl2;['Grhl1', 'Grhl2']
5665;M08287_2.00;-23.587898;-0.96715176;0;0;M08287_2.00;;['Patz1']
5666;M03475_2.00;-23.589245;-2.852383;0;0;M03475_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5667;M09213_2.00;-23.610966;-1.3599489;0;0;M09213_2.00;Pbx1;['Pbx1']
5668;M02801_2.00;-23.6157;-1.8219967;0;0;M02801_2.00;;['Msc', 'Tcf21']
5669;M08129_2.00;-23.657795;-1.5203377;0;0;M08129_2.00;;['Grhl1', 'Grhl2']
5670;M09383_2.00;-23.680141;-2.3514018;0;0;M09383_2.00;Nfia;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5671;M09379_2.00;-23.680141;-2.3514018;0;0;M09379_2.00;;['Nfix', 'Nfib', 'Nfia', 'Nfic']
5672;M09008_2.00;-23.690739;-0.90509695;0;0;M09008_2.00;Klf1;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5673;M08099_2.00;-23.707415;-1.2384156;0;0;M08099_2.00;Klf1;['Klf6', 'Klf4', 'Klf5', 'Klf7', 'Klf3', 'Klf1', 'Klf2', 'Klf12']
5674;M04162_2.00;-23.875322;-1.4053165;0;0;M04162_2.00;;['Nhlh2', 'Nhlh1']
5675;M04105_2.00;-23.888474;-1.914248;0;0;M04105_2.00;;['Myf5', 'Myod1', 'Myog', 'Myf6']
5676;M02935_2.00;-23.926214;-1.2634706;0;0;M02935_2.00;Zfp740;['Zfp740']
5677;M08158_2.00;-23.936777;-1.4484111;0;0;M08158_2.00;Nr5a2;['Rarg', 'Ppard', 'Nr2f6', 'Nr2c2', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Nr5a2', 'Nr5a1', 'Rorc', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Nr2f1']
5678;M09561_2.00;-23.958477;-1.3686029;0;0;M09561_2.00;;['Pbx4', 'Pbx2', 'Pbx3', 'Pbx1']
5679;M03147_2.00;-23.967318;-1.4997694;0;0;M03147_2.00;;['Pknox1', 'Meis1', 'Meis2', 'Pknox2', 'Meis3', 'Tgif1', 'Tgif2']
5680;M09164_2.00;-23.988478;-1.4392107;0;0;M09164_2.00;;['Pbx4', 'Pbx2', 'Pbx3', 'Pbx1']
5681;M08990_2.00;-24.013573;-1.1656493;0;0;M08990_2.00;Zic1;['Zic1', 'Zic4', 'Zic2', 'Zic3']
