moscot driver genes Alpha;Alpha_pull_corr;Alpha_pull_pval;Alpha_pull_qval;Alpha_pull_ci_low;Alpha_pull_ci_high
Atp11c;-0.0922418272668452;0.0000000000276;0.000000000295;-0.119162876462697;-0.0651852485877598
Vipas39;-0.0922423472308311;0.0000000000276;0.000000000295;-0.119163393442043;-0.0651857707855136
Shb;-0.0922816226552951;0.000000000027;0.00000000029;-0.119202443379833;-0.0652252149802321
Plppr3;-0.0925864571175952;0.0000000000232;0.00000000025;-0.119505524905546;-0.06553136222019
Cct5;-0.0926077827219273;0.000000000023;0.000000000247;-0.119526727690199;-0.0655527798544279
Snrpg;-0.0926211425047233;0.0000000000228;0.000000000246;-0.119540010518036;-0.0655661973036032
Eif1ad;-0.0928267983713971;0.0000000000206;0.000000000223;-0.119744480550823;-0.0657727421009991
Cmpk1;-0.0928913912225432;0.00000000002;0.000000000217;-0.119808700481401;-0.0658376146279036
Dip2b;-0.0929352527969605;0.0000000000195;0.000000000212;-0.119852308696854;-0.0658816662456503
Zswim4;-0.0930632675131942;0.0000000000183;0.000000000199;-0.119979583363781;-0.0660102362267957
Rp2;-0.093098459448493;0.000000000018;0.000000000196;-0.120014571700493;-0.0660455809648288
Ctxn1;-0.0931481110839728;0.0000000000176;0.000000000191;-0.120063935968864;-0.0660954483022539
Tspan6;-0.0931547991819402;0.0000000000175;0.000000000191;-0.120070585348179;-0.0661021654656993
Psma5;-0.0931846547310105;0.0000000000173;0.000000000188;-0.12010026802843;-0.0661321507924438
Fn1;-0.0931889859123079;0.0000000000172;0.000000000188;-0.120104574127437;-0.0661365008048067
Adam11;-0.0932728099963357;0.0000000000165;0.000000000181;-0.120187912578615;-0.0662206895408571
Idh2;-0.0932821768121723;0.0000000000164;0.00000000018;-0.120197225104463;-0.0662300971281956
Ubald1;-0.0933785034531127;0.0000000000157;0.000000000172;-0.120292993162139;-0.0663268433349402
Slco4a1;-0.0934186772203901;0.0000000000154;0.000000000168;-0.120332933819939;-0.0663671922356678
Adamtsl2;-0.093429648809482;0.0000000000153;0.000000000168;-0.120343841730912;-0.066378211669666
Igsf9;-0.0934831141572497;0.0000000000149;0.000000000164;-0.1203969966776;-0.0664319102635522
L3mbtl3;-0.0935576278306767;0.0000000000143;0.000000000158;-0.120471077493328;-0.0665067492691871
