moscot driver genes epsilon progenitors;Eps_progenitors_pull_corr;Eps_progenitors_pull_pval;Eps_progenitors_pull_qval;Eps_progenitors_pull_ci_low;Eps_progenitors_pull_ci_high
Enc1;0.161117064193777;0.000000000000000000000000000000127;0.0000000000000000000000000000441;0.134486626238377;0.187514938712576
Cbfa2t3;0.160343478446268;0.000000000000000000000000000000249;0.0000000000000000000000000000849;0.133706804979979;0.186748646056757
Ppib;0.159461687291467;0.000000000000000000000000000000534;0.000000000000000000000000000176;0.132817946349583;0.185875128927183
Ttc28;0.159461001976925;0.000000000000000000000000000000534;0.000000000000000000000000000176;0.132817255558973;0.185874450026849
Kirrel2;0.159244082655513;0.000000000000000000000000000000644;0.000000000000000000000000000209;0.132598604225109;0.185659559696603
Rps3a1;0.158651927572122;0.00000000000000000000000000000107;0.000000000000000000000000000339;0.132001734226797;0.185072930571241
Map3k15;0.15864140362121;0.00000000000000000000000000000108;0.000000000000000000000000000339;0.131991126655832;0.185062504658948
Rpl37a;0.157993517459751;0.00000000000000000000000000000188;0.000000000000000000000000000581;0.131338104346026;0.18442064259661
Igfbpl1;0.157851079667713;0.00000000000000000000000000000212;0.000000000000000000000000000646;0.131194540473476;0.184279526180185
Rps3;0.157674483026139;0.00000000000000000000000000000247;0.00000000000000000000000000074;0.131016549251751;0.184104566288249
Ppp3ca;0.157648265465734;0.00000000000000000000000000000252;0.000000000000000000000000000746;0.130990124798304;0.184078591577124
Hpca;0.15731696518451;0.00000000000000000000000000000334;0.000000000000000000000000000974;0.130656213360296;0.183750356899452
Jpt1;0.157184377275987;0.00000000000000000000000000000374;0.00000000000000000000000000107;0.130522582149377;0.183618994208035
Insrr;0.156364458561971;0.00000000000000000000000000000749;0.00000000000000000000000000212;0.12969623320927;0.1828066312185
Rps4x;0.156165132017543;0.00000000000000000000000000000886;0.00000000000000000000000000247;0.129495349040418;0.182609136054382
Rpl18a;0.155640768510671;0.0000000000000000000000000000138;0.00000000000000000000000000374;0.128966898383204;0.182089580123914
Rps23;0.154720944995558;0.0000000000000000000000000000297;0.00000000000000000000000000797;0.128039941900745;0.181178154244752
Mtch1;0.153822481094625;0.0000000000000000000000000000628;0.0000000000000000000000000166;0.127134555672199;0.180287849095609
Rps8;0.153433095973663;0.0000000000000000000000000000867;0.0000000000000000000000000226;0.126742184297796;0.179901986424824
Cotl1;0.152818281075235;0.000000000000000000000000000144;0.0000000000000000000000000371;0.126122671296165;0.179292716671552
Neurl1a;0.151761341017426;0.000000000000000000000000000343;0.0000000000000000000000000873;0.125057703304474;0.178245261912102
Mcfd2;0.15172400841105;0.000000000000000000000000000354;0.0000000000000000000000000888;0.1250200882653;0.178208263242287
Cd63;0.151685895209459;0.000000000000000000000000000365;0.0000000000000000000000000905;0.124981686804658;0.178170490882354
Grik2;0.151286402774139;0.000000000000000000000000000505;0.000000000000000000000000122;0.124579177729132;0.177774566361823
Rps9;0.1510800466743;0.000000000000000000000000000598;0.000000000000000000000000143;0.124371266839711;0.177570049894143
Bambi;0.150536629311235;0.00000000000000000000000000093;0.00000000000000000000000022;0.123823766319871;0.177031466064476
Prom1;0.149275340176547;0.00000000000000000000000000257;0.000000000000000000000000595;0.122553062727826;0.17578133455524
Cdc14b;0.147843492721956;0.00000000000000000000000000809;0.00000000000000000000000181;0.121110633918601;0.174362049900292
Gadd45gip1;0.147489230900886;0.0000000000000000000000000107;0.00000000000000000000000237;0.120753771523036;0.174010879311317
Rack1;0.147345048418155;0.000000000000000000000000012;0.0000000000000000000000026;0.120608532600274;0.173867953010492
Kcnh8;0.147161996449449;0.0000000000000000000000000139;0.00000000000000000000000297;0.120424141039846;0.173686494262077
Rps14;0.146811372576428;0.0000000000000000000000000183;0.00000000000000000000000388;0.120070956419264;0.173338917067561
Kcnma1;0.146775022248823;0.0000000000000000000000000189;0.00000000000000000000000395;0.120034340997796;0.173302882221055
Adamts18;0.146156342674533;0.0000000000000000000000000307;0.0000000000000000000000063;0.119411160703789;0.172689561216996
Btbd11;0.145550489252359;0.0000000000000000000000000494;0.00000000000000000000000994;0.118800920290725;0.172088935333433
Rps6;0.145400961508852;0.0000000000000000000000000556;0.0000000000000000000000111;0.118650312924389;0.171940694737371
Miat;0.145129118044504;0.0000000000000000000000000687;0.0000000000000000000000135;0.118376509844072;0.17167118824553
Dbn1;0.14501934008949;0.0000000000000000000000000749;0.0000000000000000000000146;0.118265941694731;0.171562352898935
Eml5;0.1449310142362;0.0000000000000000000000000802;0.0000000000000000000000155;0.118176980543425;0.171474784985246
Tpt1;0.144428842007939;0.000000000000000000000000119;0.0000000000000000000000227;0.117671204521829;0.170976914013665
Setbp1;0.142849612342941;0.000000000000000000000000401;0.000000000000000000000074;0.116080732125878;0.169411122564011
Olfm1;0.142812729674566;0.000000000000000000000000413;0.0000000000000000000000755;0.116043588525665;0.16937455214064
Nkx2-2;0.142699978897979;0.00000000000000000000000045;0.0000000000000000000000815;0.115930040541496;0.16926275544733
Neurog3;0.142580983675124;0.000000000000000000000000493;0.0000000000000000000000885;0.115810204718419;0.169144766406077
Rai14;0.142441190320498;0.000000000000000000000000549;0.0000000000000000000000977;0.11566942483799;0.169006154122069
Rps29;0.142270192595195;0.000000000000000000000000626;0.00000000000000000000011;0.115497221839204;0.168836599674561
Cd40;0.142148694434967;0.000000000000000000000000687;0.00000000000000000000012;0.115374868279974;0.168716126043818
Rpl17;0.141903551853692;0.000000000000000000000000828;0.000000000000000000000143;0.115128002263412;0.168473048203219
