moscot driver genes delta cells;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Luzp2;0.169645215227471;6.14E-35;1.67E-32;0.143085705480117;0.195960560265609
Fgf12;0.16702401383456;6.71E-34;1.80E-31;0.140442276780013;0.193365140518179
Nefm;0.166407015082609;1.17E-33;3.06E-31;0.139820101087634;0.192754156842904
1700017B05Rik;0.16613369234217;1.50E-33;3.86E-31;0.139544491737085;0.192483492176493
Meis2;0.165808590663416;2.01E-33;5.11E-31;0.139216675631305;0.192161546903303
Th;0.165596286485378;2.43E-33;6.10E-31;0.139002601971463;0.191951300920497
Unc5b;0.16554788358583;2.54E-33;6.30E-31;0.138953795998431;0.191903366927045
Rtp4;0.163986159293132;1.02E-32;2.50E-30;0.137379135827117;0.190356704452403
Magee2;0.16324856790616;1.96E-32;4.75E-30;0.136635481670232;0.189626181139203
2600014E21Rik;0.162353244739901;4.32E-32;1.03E-29;0.135732839529133;0.188739398292933
Adcy8;0.161846238250908;6.73E-32;1.57E-29;0.135221708025348;0.188237208959229
Klhdc8b;0.159572290470904;4.85E-31;1.12E-28;0.132929433652811;0.185984696584599
Kcnq5;0.15895592083978;8.25E-31;1.88E-28;0.132308145565376;0.185374089342818
Sult1d1;0.158499110159402;1.22E-30;2.76E-28;0.13184770317347;0.18492153618527
Zfp521;0.157626911723679;2.57E-30;5.74E-28;0.130968602573493;0.184057435604261
Kcnmb2;0.155689197058476;1.32E-29;2.92E-27;0.129015703772255;0.182137565278253
Zdhhc14;0.155669236361878;1.34E-29;2.94E-27;0.128995587738108;0.182117787349504
Insyn2b;0.152807368940139;1.45E-28;3.11E-26;0.126111675964139;0.179281902771882
Khdrbs2;0.150299171362875;1.13E-27;2.38E-25;0.123584529254139;0.176796115250843
Ptk2b;0.149056564732313;3.07E-27;6.43E-25;0.122332663225738;0.175564485743297
Rgs22;0.149022188756991;3.15E-27;6.54E-25;0.122298032303376;0.175530412264011
Gch1;0.147619020552882;9.67E-27;1.98E-24;0.12088451313624;0.174139537222503
Zbtb20;0.147428607900345;1.12E-26;2.28E-24;0.120692704192014;0.173950784621455
Tent5a;0.147403983679918;1.15E-26;2.31E-24;0.12066789954851;0.17392637493707
Dlk1;0.146671106243843;2.05E-26;4.08E-24;0.119929667560595;0.173199867701628
Ica1;0.146018532571814;3.42E-26;6.62E-24;0.119272350941186;0.172552941927058
