moscot driver genes delta cells;Delta_pull_corr;Delta_pull_pval;Delta_pull_qval;Delta_pull_ci_low;Delta_pull_ci_high
Gm4876;0.0161797999377496;0.244090846759226;0.605704054131669;-0.0110453133852419;0.0433809429480213
Zfp949;0.0161796123723412;0.244096314787698;0.605704054131669;-0.0110455009768754;0.04338075568657
Tbcel;0.0161777565030565;0.244150422927733;0.605704054131669;-0.0110473571055417;0.0433789028246916
Tmem18;0.0161741692221935;0.244255034489009;0.605704054131669;-0.0110509448872413;0.0433753213564291
Gm13052;0.0161732431764424;0.244282044756764;0.605704054131669;-0.011051871062168;0.0433743968110699
Eif3j2;0.0161691965013089;0.244400099999439;0.60581691865459;-0.0110559183012309;0.0433703566918672
Cflar;0.0161467540718719;0.245055548573382;0.60696380915448;-0.0110783638419685;0.0433479506047763
Gm26542;0.0161437540242754;0.245143260626199;0.60696380915448;-0.0110813643033969;0.04334495541326
Myrf;0.0161433339428521;0.245155544256489;0.60696380915448;-0.0110817844427279;0.0433445360117698
Ssbp3;0.0161414008144188;0.245212076564041;0.60700632621191;-0.0110837178375164;0.0433426060121259
Bdh2;0.0161366073583394;0.245352295582833;0.607278650344951;-0.0110885119531818;0.0433378203134315
Zfp612;0.0161353994939673;0.245387637110201;0.607291354035008;-0.0110897199835603;0.0433366144035833
Gm10658;0.016126607534692;0.245644993139155;0.607629050950712;-0.0110985131487894;0.0433278366687617
Eif2ak2;0.0161245972049585;0.245703865575686;0.607699902764273;-0.0111005237536794;0.0433258295909377
Dram2;0.0161107567358204;0.246109451681801;0.608328821733586;-0.0111143661112059;0.0433120115041837
Gm16168;0.0161067460185588;0.24622707080985;0.6085447263942;-0.0111183773737383;0.0433080072709868
Slc25a28;0.0161038289324122;0.246312642620415;0.608681383478574;-0.0111212948559224;0.0433050949002994
D6Ertd527e;0.0161021776574686;0.246361091488875;0.60872628099814;-0.0111229463548454;0.0433034462944308
Macrod2;0.0160950984885947;0.246568871942221;0.608799625560263;-0.0111300264822568;0.0432963785664503
Pgrmc2;0.0160930532499696;0.246628924520899;0.608799625560263;-0.0111320719973041;0.0432943366327003
Rxylt1;0.0160881534937286;0.24677283350432;0.608909713034043;-0.0111369724148401;0.0432894447929885
Gm15688;0.016069457679751;0.247322481777482;0.609977162455247;-0.0111556707400812;0.0432707791738282
Ttll3;0.0160507554367965;0.247873175844509;0.611138866958427;-0.0111743754761132;0.0432521071170745
Wipf3;0.0160503640404466;0.247884709803463;0.611138866958427;-0.0111747669244341;0.0432517163522517
Gsto1;0.016048802979767;0.24793071603661;0.611173853157227;-0.011176328192314;0.0432501578102967
Crb3;0.0160478194502223;0.247959704837603;0.611173853157227;-0.0111773118523348;0.0432491758675796
Nudt11;0.0160444315399566;0.24805957912058;0.611174401101689;-0.0111807002116413;0.043245793422969
Fbxo24;0.0160302375219106;0.248478319163827;0.611851990464284;-0.0111948961041952;0.0432316222971001
Tlk1;0.0160290937427917;0.248512083483827;0.611860185459323;-0.0111960400338875;0.0432304803621969
Tsr2;0.0160194615364392;0.248796553144942;0.612335591071594;-0.0112056735054497;0.043220863683878
Arpc4;0.0160135374666149;0.248971622755598;0.612541492137535;-0.0112115983509025;0.0432149491617148
Gm45151;0.0160087795986892;0.249112290801862;0.612737597209083;-0.0112163568403836;0.043210198960534
Gm45441;0.0160063241091351;0.249184909942306;0.612835259365958;-0.0112188126502341;0.0432077474272315
Gpr85;0.0160036473112301;0.249264090951236;0.612847371164873;-0.0112214897969289;0.043205074941774
Usp38;0.016003148040781;0.249278861563705;0.612847371164873;-0.0112219891323904;0.0432045764756299
Atxn7l1os1;0.0160016783579464;0.24932234478583;0.612879322233988;-0.0112234590065204;0.0432031091603183
Chkb;0.0159915635376008;0.249621753768655;0.613465295355902;-0.01123357514023;0.0431930106308278
Fbxl21;0.0159871067774514;0.249753758085389;0.613611116085569;-0.011238032477301;0.0431885610469393
Ints3;0.0159722826990277;0.250193181671424;0.614189456480587;-0.0112528584668971;0.0431737608304351
Kif1c;0.0159713131815656;0.250221939440681;0.614189456480587;-0.0112538281089358;0.0431727928731632
Car9;0.0159652272739362;0.250402511977593;0.614482629185248;-0.0112599147973945;0.0431667167580778
Adck1;0.0159605226178875;0.250542164269808;0.614675265842806;-0.0112646200556736;0.043162019670688
Ms4a6d;0.015930761912052;0.251426836018346;0.616018962748361;-0.0112943845431616;0.0431323068147999
Mir142hg;0.0159307587283488;0.251426930774028;0.616018962748361;-0.0112943877272669;0.0431323036362129
Ifi207;0.0159307587283488;0.251426930774028;0.616018962748361;-0.0112943877272669;0.0431323036362129
Stxbp6;0.0159260977445268;0.251565681057589;0.61620871040584;-0.0112990492989833;0.0431276501420688
6330403L08Rik;0.0159248958380921;0.251601468611296;0.616221286975256;-0.0113002513568237;0.0431264501667714
Gm45692;0.0159203718125187;0.251736206271235;0.616266406990978;-0.011304775951589;0.0431219334093752
Gm50145;0.015919745439802;0.25175486530065;0.616266406990978;-0.0113054024030252;0.0431213080428843
Fance;0.0159173364878133;0.251826634604121;0.616266406990978;-0.0113078116575599;0.0431189029605171
Qpctl;0.0159111611079126;0.252010681291939;0.616395498665229;-0.0113139878115976;0.0431127374990016
AK157302;0.0159107324524259;0.252023460117937;0.616395498665229;-0.0113144165207429;0.043112309531909
Ipo9;0.0159043449990558;0.25221393263874;0.616744518651819;-0.0113208047725007;0.0431059323352104
Dcaf1;0.015880797339218;0.252916985398666;0.618087789626718;-0.0113443553564353;0.0430824224679461
Ano6;0.0158784508744714;0.25298711753055;0.618184031082612;-0.011346702110906;0.0430800797674833
Gm21885;0.0158744837519046;0.253105719369894;0.618313094798228;-0.0113506697226214;0.0430761190084381
Galc;0.0158735979204338;0.253132207640124;0.618313094798228;-0.0113515556631987;0.0430752345977815
Wrnip1;0.0158677538351498;0.253307006756375;0.618467606651985;-0.0113574004672185;0.04306939988495
Gm49086;0.0158572538943495;0.253621275602952;0.618962893875577;-0.0113679016946818;0.043058916778769
Vdac3;0.0158551351693267;0.253684723064793;0.618962893875577;-0.011370020678605;0.0430568014499849
Pnpla3;0.0158551000774576;0.253685774020916;0.618962893875577;-0.0113700557747602;0.0430567664143646
Men1;0.0158538457754424;0.253723340734674;0.618962893875577;-0.0113713102299289;0.0430555141228322
Gm11077;0.0158531672524773;0.25374366431023;0.618962893875577;-0.0113719888357076;0.0430548366874155
Serinc4;0.0158512613987465;0.253800755780968;0.618968408766809;-0.0113738949219136;0.0430529338882862
Slc45a1;0.0158478230035156;0.253903778445304;0.619144548530561;-0.011377333736058;0.0430495010034341
Card9;0.0158455087726081;0.253973134799079;0.619163464572629;-0.0113796482485549;0.0430471904809559
Rab33b;0.0158388117240853;0.254173916285296;0.61950269630011;-0.0113863461103129;0.04304050416245
Piezo2;0.0158288993951315;0.254471296397532;0.61992686275807;-0.0113962596384557;0.0430306077105658
Tubgcp5;0.0158272355588234;0.25452123691238;0.619973394601912;-0.0113979236755293;0.0430289465387838
Smap1;0.0158177272175245;0.254806763214598;0.620593695287505;-0.0114074331612519;0.0430194534215917
Elovl6;0.0158128736284998;0.254952597618333;0.620723273576524;-0.011412287332556;0.0430146076019086
Arhgap22;0.0157989373213633;0.255371660289972;0.62148116093219;-0.011426225304483;0.0430006935960848
Gm48984;0.0157966735766295;0.255439775916631;0.62148116093219;-0.0114284893186383;0.0429984334728697
Gm16596;0.0157963545178716;0.255449377345803;0.62148116093219;-0.0114288084153468;0.0429981149245168
H2-Ke6;0.015793207175531;0.255544103696391;0.621485980717221;-0.0114319561317526;0.0429949726167491
Gpr87;0.0157852426762512;0.255783922232776;0.621725009739246;-0.0114399215752117;0.0429870208552912
Egr2;0.0157815724787206;0.25589448792057;0.62177918308068;-0.0114435922066757;0.0429833565264388
Pde4dip;0.0157805143090674;0.25592637172981;0.62177918308068;-0.0114446505013016;0.0429823000486724
Uchl5;0.0157682041764549;0.256297492245348;0.622414651680145;-0.0114569620832936;0.0429700095940191
Chad;0.0157628504009472;0.256459012063818;0.622731672849249;-0.0114623164865725;0.0429646643740448
Acp2;0.0157605662586159;0.256527944606446;0.622823824930361;-0.0114646008962619;0.0429623838813844
Gm14764;0.0157579245908703;0.256607682853052;0.622911633448823;-0.0114672428728594;0.042959746434221
Gm13830;0.0157568022382165;0.256641566064509;0.622911633448823;-0.0114683653566186;0.0429586258746309
Gm49745;0.0157557933218663;0.256672027346343;0.622911633448823;-0.0114693743907647;0.0429576185700609
Gm36445;0.0157552624959756;0.256688055090784;0.622911633448823;-0.0114699052786097;0.0429570885921614
Pgam2;0.0157431297001902;0.257054581827085;0.623424811010965;-0.0114820394862655;0.0429449751742722
Slc10a7;0.0157338533797838;0.25733506045311;0.623954495270639;-0.0114913168807308;0.042935713664147
Gm17160;0.0157312523394629;0.257413743543252;0.624070005601785;-0.0114939182213718;0.0429331167757261
Golga3;0.0157210454689776;0.257722668938836;0.624668291979434;-0.0115041262667977;0.0429229261943645
Gm17135;0.0157150469288202;0.257904343138835;0.624882609391346;-0.0115101254948159;0.0429169372246243
Ctnnd2;0.015701305986782;0.258320841404391;0.625489251534468;-0.0115238680051594;0.0429032181983101
Kri1;0.0156999886204771;0.258360796237719;0.625489251534468;-0.01152518552128;0.0429019029325622
Ift20;0.0156997131037074;0.258369153017346;0.625489251534468;-0.0115254610693705;0.0429016278550955
Ncln;0.0156996021392553;0.258372518765468;0.625489251534468;-0.0115255720464359;0.0429015170675716
C2;0.0156940423725215;0.258541195224631;0.625664826345099;-0.0115311324442883;0.0428959661647995
1700034P13Rik;0.015690022502462;0.258663200634667;0.625740833015489;-0.0115351527696156;0.0428919527025915
Slc26a9;0.0156842438339479;0.258838656478711;0.625930349199673;-0.0115409320910473;0.0428861832439933
Trim17;0.0156772250771891;0.259051875570762;0.626125778199033;-0.0115479516383918;0.042879175671136
Sardhos;0.0156742788763781;0.259141412878908;0.626219476271751;-0.0115508981702602;0.0428762341640939
Klhl23;0.0156543655785732;0.259747155233298;0.627456988903508;-0.011570813693277;0.04285635257899
Cpeb4;0.0156488014580035;0.259916585167117;0.62772582017208;-0.0115763784317486;0.0428507973156477
Lmbrd2;0.0156357283409246;0.260314968248008;0.628254071416562;-0.0115894529939765;0.0428377450023493
Babam2;0.0156353292688306;0.260327135994626;0.628254071416562;-0.011589852110039;0.0428373465651688
Gm15904;0.0156318222994208;0.260434080749613;0.628263175859058;-0.0115933594654618;0.0428338451748859
Gigyf2;0.0156313127065889;0.26044962327094;0.628263175859058;-0.011593869114329;0.0428333363926935
Gm38811;0.0156300817609049;0.260487169615741;0.628263175859058;-0.0115951001953105;0.0428321074050896
Nppa;0.0156262250097368;0.260604832602084;0.628396179656915;-0.0115989573698532;0.0428282567883688
Eml2;0.0156201130928823;0.260791372164;0.628619778730563;-0.0116050699559834;0.0428221545913141
Vps9d1;0.0156150902295872;0.260944742220155;0.62883866612944;-0.011610093367776;0.0428171397143742
Hgsnat;0.0156096651717067;0.261110463074053;0.628895735276608;-0.01161551901653;0.0428117232807988
Fxyd6;0.0155958955835485;0.261531413377781;0.629497845202771;-0.0116292900972132;0.0427979755752048
Naglu;0.0155895202550781;0.261726472375914;0.629634471941867;-0.0116356661132259;0.0427916103748874
Bcor;0.0155837830420204;0.261902093548145;0.629689170576741;-0.0116414039431162;0.0427858822743541
Rilpl1;0.0155827338294852;0.261934219675003;0.629689170576741;-0.0116424532682629;0.0427848347281096
Gstm6;0.0155825308940142;0.261940433726072;0.629689170576741;-0.011642656225508;0.0427846321149205
2700097O09Rik;0.015581653593175;0.26196729857105;0.629689170576741;-0.0116435336204517;0.0427837562072976
Gm26916;0.0155789967439148;0.262048668637184;0.629762628286111;-0.0116461907544457;0.0427811035770483
Nmt2;0.0155748562835525;0.262175511353814;0.629988345145844;-0.0116503316577735;0.04277696969087
Pbx4;0.0155727144924684;0.262241141611154;0.629999243524025;-0.0116524736776299;0.0427748313001361
Gm44698;0.0155688397280055;0.262359903673162;0.630000789822063;-0.0116563488553351;0.0427709626866932
Tiam1;0.0155677935658755;0.262391975051421;0.630000789822063;-0.0116573951288977;0.0427699181851603
Twf2;0.0155675014913495;0.262400929436178;0.630000789822063;-0.0116576872345236;0.0427696265742402
Gdf11;0.0155670637439965;0.26241435023552;0.630000789822063;-0.0116581250284788;0.042769189521709
Ctsl;0.0155421133090972;0.263180083492647;0.631123609501692;-0.0116830781023325;0.0427442786725946
Cpxm2;0.0155377276377857;0.263314839659116;0.631301279699538;-0.0116874642340032;0.042739899955993
Smim24;0.0155345279993943;0.263413183254497;0.631456620911658;-0.0116906642075962;0.042736705390865
4930412F09Rik;0.0155287291822733;0.263591479367401;0.631613807859447;-0.0116964636307937;0.0427309157667799
2410131K14Rik;0.0155247461537323;0.263713993672399;0.631725740561992;-0.0117004470745688;0.0427269390515932
Sp140;0.0155060307866002;0.264290186896717;0.632905254202567;-0.0117191643812245;0.0427082533379715
Gm40617;0.0154869594343037;0.264878231882272;0.633464564472623;-0.0117382376903099;0.0426892121836483
Zfp472;0.0154856846689624;0.26491757003368;0.633464564472623;-0.0117395125857403;0.0426879394360922
Sgk3;0.0154840493580563;0.264968040200356;0.633464564472623;-0.0117411480633994;0.042686306713538
Gm49768;0.0154839484419289;0.264971154964969;0.633464564472623;-0.0117412489898124;0.0426862059571348
Mllt11;0.0154831026721898;0.264997260541652;0.633464564472623;-0.011742094845733;0.042685361526009
Mxra8;0.0154810969004276;0.265059177888504;0.633464564472623;-0.0117441008217219;0.0426833589286585
Scn11a;0.0154801825837173;0.265087405774114;0.633464564472623;-0.0117450152314547;0.0426824460589086
Nkd2;0.0154797229854442;0.2651015958269;0.633464564472623;-0.0117454748764701;0.0426819871879598
Rsad1;0.0154750057233046;0.265247271084885;0.633559522696479;-0.0117501926177022;0.0426772773903273
Nudt9;0.0154696401761139;0.265413033233013;0.633700049121288;-0.0117555587083527;0.0426719203320083
I830077J02Rik;0.0154648604457839;0.26556075732654;0.633700049121288;-0.0117603389214863;0.0426671481624075
Hmgcs1;0.0154623174906812;0.265639373890098;0.633700049121288;-0.0117628821329473;0.0426646092293261
Snx9;0.0154600851765343;0.265708400056708;0.633784523770764;-0.0117651146718462;0.042662380445591
Fam83b;0.0154573000516481;0.265794537186698;0.633914768188894;-0.0117679000767614;0.0426595997250088
Gm28192;0.0154510102530078;0.265989136046354;0.633929075641371;-0.011774190506252;0.0426533198712966
Tmbim4;0.0154405010290426;0.266314497598985;0.634552606996848;-0.0117847007794564;0.0426428272588825
Rbm47;0.015438048465264;0.266390467421376;0.634583193100122;-0.0117871535872328;0.0426403785709194
Gm50139;0.0154322263144835;0.26657087217587;0.634862485884554;-0.0117929763159286;0.0426345656196437
Cyb5b;0.0154232105396603;0.266850400113789;0.635114053855798;-0.0118019929820278;0.042625564086895
Atxn2l;0.0154227056304968;0.266866060434757;0.635114053855798;-0.0118024979409743;0.0426250599751978
Ecd;0.015414206058559;0.267129778996878;0.635666423671194;-0.0118109983488694;0.0426165738256196
Gm42902;0.0154068711344119;0.267357505672558;0.635940814058671;-0.0118183339912641;0.0426092504814878
Nck1;0.0154013917822634;0.267527709624611;0.636161526683649;-0.0118238138780474;0.0426037797779619
Lipa;0.0153918106090833;0.267825506467984;0.636643745598425;-0.0118333959821579;0.0425942137238085
Zc3h8;0.0153899181499166;0.267884353782236;0.636668616307805;-0.0118352886246092;0.0425923242503398
N6amt1;0.015387480306935;0.267960173269588;0.636737986198407;-0.0118377267034084;0.0425898902532114
Ankrd42;0.0153821002360874;0.268127551302361;0.636932942832738;-0.0118431072935359;0.0425845186686269
Ppwd1;0.0153749227344595;0.268350960526154;0.637041494795684;-0.0118502854854754;0.0425773524859939
Rccd1;0.015373733674513;0.268387983926279;0.637041494795684;-0.0118514746595113;0.0425761653009371
Stk16;0.0153723021782447;0.268432560645449;0.637041494795684;-0.0118529062930285;0.042574736061726
Gm44709;0.015372176411353;0.268436477262808;0.637041494795684;-0.0118530320719731;0.0425746104931272
Rab39b;0.0153638376652131;0.268696249035083;0.637293696529144;-0.0118613716153387;0.0425662848925177
B230312C02Rik;0.015360129020279;0.268811837564608;0.637330389263041;-0.011865080613621;0.0425625820928249
Slc6a4;0.0153446072108981;0.269295981088097;0.638017662870398;-0.0118806038937423;0.0425470847394516
Acpp;0.0153427102786216;0.269355189636015;0.638017662870398;-0.0118825010048593;0.042545190795065
Zkscan2;0.0153426966893328;0.26935561382784;0.638017662870398;-0.0118825145954286;0.0425451772271802
Tmco6;0.0153390740831694;0.269468710404008;0.63821035405888;-0.0118861375425795;0.0425415603264989
Mtdh;0.0153348799059768;0.269599691922208;0.638394292138811;-0.0118903321136676;0.0425373727541026
Tent5d;0.0153333236266899;0.269648304651865;0.638394292138811;-0.0118918885388685;0.0425358189253292
Dusp18;0.0153312800081834;0.269712149286335;0.638394292138811;-0.0118939323487806;0.0425337785244996
Unc119b;0.0153241803576469;0.26993402985122;0.638635259750391;-0.0119010326625038;0.0425266900505976
Sema3c;0.0153132420108699;0.270276123474095;0.639143737230883;-0.011911972025671;0.042515768918168
B3gntl1;0.0152971416402168;0.270780198298408;0.640109869049023;-0.0119280738805134;0.0424996938738296
Ubxn2b;0.0152834816300476;0.271208374385264;0.640670029408574;-0.0119417351388394;0.0424860553401788
Rab40c;0.0152732927865925;0.271528047723119;0.641048542968628;-0.0119519249066624;0.0424758825092092
Tubgcp4;0.0152610246321752;0.271913301294278;0.641408336549646;-0.0119641941665871;0.0424636336275764
Atxn2;0.0152585348440294;0.271991533087434;0.641408336549646;-0.0119666841780918;0.042461147749791
Fgfbp1;0.0152533538982525;0.272154373287181;0.6415477680807;-0.0119718655875692;0.0424559749399179
Ccser1;0.0152495327017806;0.272274518494526;0.641661773801478;-0.0119756871251057;0.0424521597431315
Ppp3r1;0.015249459858505;0.272276809168963;0.641661773801478;-0.0119757599748753;0.0424520870142198
Vps35l;0.0152471556322928;0.27234927608841;0.641661773801478;-0.0119780644063599;0.0424497864054957
Scn7a;0.0152470187964202;0.272353579932524;0.641661773801478;-0.0119782012544135;0.0424496497844376
Sin3a;0.0152467406089987;0.272362329793961;0.641661773801478;-0.0119784794665957;0.0424493720337311
Xbp1;0.015230585718835;0.272870781302758;0.642332706853555;-0.0119946357874341;0.0424332424972483
Ildr2;0.0152230273395121;0.273108892951577;0.642632710114074;-0.0120021948312448;0.0424256959752686
Urgcp;0.0152224814891636;0.273126094374703;0.642632710114074;-0.0120027407294607;0.0424251509811125
Fchsd1;0.0152091710834785;0.2735457754262;0.643394258031227;-0.0120160522973569;0.0424118614484245
Gpr156;0.015201175956728;0.273798075891412;0.643761721595914;-0.0120240481175707;0.0424038788547753
Dsc3;0.0151885204256668;0.274197768625666;0.644465748401277;-0.0120367047392014;0.0423912431553308
Tlcd2;0.0151834543045336;0.274357880794895;0.644550248640853;-0.0120417712944542;0.0423861849705303
Gm17344;0.0151759950032872;0.274593744379241;0.644727638782513;-0.012049231232349;0.0423787373521151
Zfp81;0.0151658263447424;0.274915500936396;0.645257012880839;-0.0120594007539031;0.042368584614954
Slc20a2;0.0151644447117935;0.274959238395122;0.645284329845568;-0.012060782503676;0.0423672051448371
Gpr137;0.0151571894458232;0.275188991588227;0.645672770529662;-0.0120680383814085;0.0423599612346826
Lgr5;0.0151470574546684;0.275510061446015;0.645907248131405;-0.0120781712220927;0.0423498450971578
Tigd2;0.015140062848183;0.275731860618829;0.646116982634379;-0.012085166411787;0.0423428614319502
Preb;0.0151268253728766;0.276151954562885;0.646875173919561;-0.0120984049835378;0.042329644656022
Anxa5;0.0151120142358382;0.276622505929624;0.647851317677437;-0.0121132173360515;0.0423148566678033
Cacnb1;0.0151116801882159;0.276633124953644;0.647851317677437;-0.0121135514109496;0.0423145231421376
Krt25;0.0151088364647131;0.276723535192289;0.647987562955222;-0.0121163953664034;0.0423116838617696
Ptp4a3;0.0151016147310773;0.276953225576772;0.648272973792248;-0.0121236176871072;0.0423044734096524
Zfp410;0.0151010294414336;0.276971846656411;0.648272973792248;-0.0121242030242057;0.0423038890342019
Als2cl;0.0151009488616417;0.276974410381615;0.648272973792248;-0.0121242836105295;0.0423038085802702
Tpte;0.0150968260126229;0.277105604443677;0.648353580788086;-0.0121284067932789;0.0422996921703901
1500032F14Rik;0.0150850704305696;0.27747991370328;0.648927257465919;-0.0121401633218232;0.0422879549433425
B3gnt3;0.0150820757592195;0.277575321967387;0.649053043477269;-0.0121431582330839;0.0422849649466315
Lncbate6;0.0150725687222189;0.27787835790869;0.649405792727088;-0.01215266602848;0.0422754727467504
Gm10851;0.0150668627103927;0.278060344604091;0.649697091351062;-0.0121583724931222;0.0422697756376307
Plekha4;0.015061095801524;0.278244355930823;0.649697091351062;-0.0121641398578377;0.0422640177246847
Rhbdd2;0.0150610308853646;0.278246427756074;0.649697091351062;-0.012164204779118;0.0422639529097791
Gm26636;0.0150548813444881;0.278442740411521;0.649775985031442;-0.0121703548040692;0.0422578129596884
Prpf40b;0.0150544362698104;0.278456952248215;0.649775985031442;-0.012170799913702;0.0422573685790667
Gm48435;0.0150526759171118;0.278513167527036;0.649831732450789;-0.0121725604045487;0.0422556109713825
Gm17509;0.0150450005638326;0.278758363226029;0.650177442386921;-0.0121802363581985;0.0422479475847342
Lef1;0.0150380069130247;0.278981909141207;0.650246181967037;-0.0121872305532598;0.0422409648349292
Csk;0.0150330841183701;0.27913933502847;0.650386885961675;-0.012192153729414;0.0422360497118404
Gm48249;0.0150296001877442;0.27925078401611;0.65042040448104;-0.0121956379292349;0.0422325712096933
Cfap157;0.0150188328014741;0.279595417837169;0.650921445834465;-0.0122064061432963;0.0422218205964335
Mrpl10;0.0150131706838096;0.279776762237697;0.65126820880783;-0.0122120686937281;0.0422161672964658
2610021A01Rik;0.0150014455020475;0.28015254644634;0.651840841776261;-0.0122237947661179;0.0422044603689583
Tbc1d24;0.01499933096507;0.280220352405361;0.651847922287085;-0.0122259094629157;0.0422023491231855
Phf11c;0.0149961591011251;0.280322084115263;0.651933694697957;-0.0122290815661386;0.0421991821956833
Gorasp2;0.014989505349209;0.280535572463676;0.652242641945055;-0.0122357358182179;0.0421925387973738
Slc12a5;0.0149877673883971;0.280591353823214;0.652258092727576;-0.0122374739092752;0.0421908035405291
Farp2;0.0149762723556157;0.280960486465518;0.652814223233507;-0.0122489697993697;0.0421793263879025
Gm43915;0.0149664575125387;0.281275924961475;0.653143687433411;-0.0122587853687533;0.0421695268058171
Senp6;0.0149609174001571;0.281454084261163;0.653281544383116;-0.0122643258887912;0.0421639953053843
Gm15728;0.0149547339537659;0.28165302231622;0.653516933012809;-0.0122705097882027;0.0421578214690171
Trabd2b;0.0149321209270416;0.282381355973438;0.654954546230876;-0.0122931244539006;0.0421352435687141
Cnn2;0.0149098513340543;0.283099874613963;0.656041127304266;-0.0123153956337495;0.0421130085415141
Tufm;0.0149046720829099;0.283267158202077;0.656229887230448;-0.0123205752500796;0.0421078373254912
Armc2;0.0149041062469804;0.283285438077767;0.656229887230448;-0.0123211411258173;0.0421072723673146
Lman2l;0.0149032870865293;0.283311903261854;0.656229887230448;-0.0123219603438678;0.0421064544775554
2810021J22Rik;0.0149006812343793;0.283396103466048;0.656349293545849;-0.0123245663790057;0.0421038526673928
Rbm33;0.0148934190586303;0.283630848038328;0.656780403817763;-0.0123318290627669;0.0420966017541978
Echdc1;0.0148918936672722;0.283680171932409;0.656780403817763;-0.0123333545604659;0.0420950787281306
Dennd3;0.0148804356692719;0.28405085464135;0.657271238070317;-0.0123448133531961;0.0420836384930033
Zfp874a;0.0148802847660556;0.284055738763115;0.657271238070317;-0.0123449642668313;0.0420834878236786
Nt5c2;0.0148516315646764;0.284984155957662;0.658922190693;-0.0123736194240696;0.0420548790107456
Pctp;0.0148514871349481;0.284988840941062;0.658922190693;-0.0123737638635434;0.0420547348046493
Cpa1;0.0148511838439191;0.284998679205871;0.658922190693;-0.0123740671750333;0.0420544319832263
1700011D18Rik;0.0148486589290049;0.285080592227827;0.658960002938487;-0.012376592260092;0.0420519109776138
Zfp607a;0.0148406254864525;0.285341318188396;0.659193399048242;-0.0123846262416781;0.0420438899708598
Faf2;0.014840496107633;0.285345518505586;0.659193399048242;-0.0123847556291499;0.0420437607922906
Plxnb1;0.0148378721695631;0.285430714358852;0.659314449127429;-0.0123873797425026;0.0420411409153083
Bex1;0.0148268109505808;0.285790046700498;0.659765423612783;-0.0123984416962677;0.0420300968117406
Mettl6;0.0148241902545276;0.285875226821061;0.6598862882976;-0.012401062565434;0.0420274801698088
D830035M03Rik;0.0148159795362605;0.286142209688001;0.660123576010774;-0.0124092738236474;0.042019282150808
Irf2bpl;0.0148137551075566;0.286214569046077;0.660178065493454;-0.0124114983980002;0.0420170611619292
Setd2;0.0148118899719557;0.286275250334134;0.660178065493454;-0.0124133636555168;0.0420151989103404
Dnaja3;0.0148101777773687;0.286330963407592;0.660178065493454;-0.0124150759618557;0.0420134893631102
Rdh16f2;0.014807945706212;0.286403603729242;0.660178065493454;-0.0124173081784559;0.0420112607428927
Zfp97;0.0148061704275144;0.286461387121295;0.660178065493454;-0.0124190835726383;0.0420094882087077
Tlcd1;0.0147996062761513;0.286675111466454;0.660566210558735;-0.0124256481495194;0.042002934203783
Gm31266;0.014793877751561;0.28686171629951;0.660691229045542;-0.0124313770435409;0.0419972145320606
Gm20110;0.014792244037001;0.286914949041963;0.660691229045542;-0.0124330108631312;0.0419955833419179
Adal;0.0147887464332161;0.28702893692078;0.660723819014453;-0.0124365086912858;0.0419920911421464
Unc5cl;0.0147885306595121;0.28703597004634;0.660723819014453;-0.0124367244788097;0.0419918757018043
Tsc22d2;0.0147821993130742;0.287242391513643;0.661068551413711;-0.0124430562296314;0.0419855541359219
Lnx2;0.0147796395700166;0.28732587547419;0.661184990230958;-0.0124456161355604;0.0419829983464931
Iqch;0.0147740246709435;0.287509058216658;0.661455092392938;-0.0124512313906481;0.0419773921186168
Celsr3;0.0147680902930316;0.287702749369683;0.661637386162444;-0.0124571661429649;0.0419714669034168
Anxa6;0.0147638946906296;0.287839742010607;0.661824177571427;-0.0124613620089135;0.0419672777778932
Slf2;0.014757340269271;0.288053841601724;0.662109991797841;-0.012467916840069;0.041960733472879
Nrip2;0.0147524922452942;0.28821227092741;0.662316504162864;-0.0124727651656497;0.0419558929300259
Rsph9;0.0147478635378901;0.288363587970348;0.662586948104686;-0.0124773941598188;0.0419512713641202
Gm17133;0.0147449120292252;0.288460103670567;0.662732967324505;-0.0124803458507311;0.0419483244086445
Gm21992;0.0147422768281414;0.288546294358875;0.662795781737643;-0.0124829812141303;0.0419456932723934
Mapk1ip1;0.0147286529052341;0.28899217478959;0.663121964213282;-0.0124966059701712;0.0419320903585502
Tmprss11d;0.014726292713651;0.28906946570087;0.663121964213282;-0.012498966305058;0.0419297338055264
Fbxo21;0.0147251618036783;0.289106505365902;0.663121964213282;-0.0125000972835886;0.0419286046388994
Tbc1d10c;0.0147248433133776;0.289116937165645;0.663121964213282;-0.0125004157931842;0.0419282866395526
Alg6;0.0147233528199247;0.289165760009558;0.663121964213282;-0.0125019063768614;0.0419267984436266
Sv2c;0.0147220010787931;0.289210042660741;0.663121964213282;-0.0125032581997135;0.0419254487860373
Eme2;0.0147195868877907;0.289289142225065;0.663121964213282;-0.01250567253642;0.0419230383159659
Gm2a;0.0147119149674763;0.289540604926437;0.663308159704175;-0.0125133449176521;0.0419153782180837
Plekhh3;0.0147091158017801;0.289632389869544;0.663308159704175;-0.0125161442507199;0.0419125833651067
Rad9a;0.0146963057795636;0.290052681757117;0.663945274708062;-0.0125289550334455;0.0418997930740633
Grm5;0.0146958881916502;0.290066389558837;0.663945274708062;-0.0125293726459999;0.0418993761292071
Gm960;0.0146948907844912;0.290099132355549;0.663945274708062;-0.0125303701119755;0.0418983802579495
