Differential motif activity beta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
0;M08835_2.00;44.736942;5.2192674;0;0;M08835_2.00;Mafg;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
1;M08809_2.00;44.736942;5.2192674;0;0;M08809_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
2;M08834_2.00;44.41785;5.101277;0;0;M08834_2.00;Maff;['Maff']
3;M08839_2.00;44.235657;5.0195646;0;0;M08839_2.00;Maf;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
4;M08817_2.00;44.006714;4.805994;0;0;M08817_2.00;Mafk;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
5;M08807_2.00;43.88215;5.070042;0;0;M08807_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
6;M07841_2.00;43.857246;4.741556;0;0;M07841_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
7;M08810_2.00;43.764027;4.962303;0;0;M08810_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
8;M06500_2.00;43.355476;5.5917816;0;0;M06500_2.00;;['Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
9;M07840_2.00;43.26837;4.462584;0;0;M07840_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
10;M04040_2.00;43.258896;4.5133705;0;0;M04040_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
11;M02856_2.00;43.06246;4.858722;0;0;M02856_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
12;M08075_2.00;42.921;4.507348;0;0;M08075_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
13;M10074_2.00;42.74041;4.2605824;0;0;M10074_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
14;M02835_2.00;42.670033;4.447584;0;0;M02835_2.00;;['Mafa', 'Maf', 'Mafb']
15;M02854_2.00;42.61781;4.6163316;0;0;M02854_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
16;M08808_2.00;42.610928;4.099029;0;0;M08808_2.00;;['Maff']
17;M08811_2.00;42.4171;4.1442895;0;0;M08811_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
18;M08847_2.00;42.4171;4.1442895;0;0;M08847_2.00;Mafb;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
19;M04039_2.00;42.416897;4.1895676;0;0;M04039_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
20;M02869_2.00;42.399044;4.3265243;0;0;M02869_2.00;Mafb;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
21;M04348_2.00;42.344498;4.2028008;0;0;M04348_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
22;M08074_2.00;42.296978;4.288587;0;0;M08074_2.00;;['Maff']
23;M04365_2.00;42.254787;4.401031;0;0;M04365_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
24;M04280_2.00;42.128197;4.4468417;0;0;M04280_2.00;;['Mafa', 'Maf', 'Mafb']
25;M04351_2.00;42.079845;4.3641987;0;0;M04351_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
26;M07839_2.00;42.06776;4.207678;0;0;M07839_2.00;;['Maff']
27;M04372_2.00;42.032017;4.051314;0;0;M04372_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
28;M04279_2.00;41.925625;4.2255697;0;0;M04279_2.00;;['Mafa', 'Maf', 'Mafb']
29;M04357_2.00;41.914997;3.9850376;0;0;M04357_2.00;;['Maff']
30;M04345_2.00;41.90526;4.126864;0;0;M04345_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
31;M02855_2.00;41.899265;4.0196733;0;0;M02855_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
32;M04356_2.00;41.86954;4.3315682;0;0;M04356_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
33;M02857_2.00;41.690533;4.0707307;0;0;M02857_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
34;M04368_2.00;41.63607;4.227635;0;0;M04368_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
35;M02853_2.00;41.58573;3.9945807;0;0;M02853_2.00;;['Maff']
36;M01814_2.00;41.577377;3.9014087;0;0;M01814_2.00;Mafg;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
37;M00195_2.00;41.555233;4.076906;0;0;M00195_2.00;Cic;['Cic', 'Bbx']
38;M09497_2.00;41.55008;3.9453573;0;0;M09497_2.00;Mafa;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
39;M04361_2.00;41.484825;3.9366033;0;0;M04361_2.00;;['Maff']
40;M04359_2.00;41.455704;3.9603004;0;0;M04359_2.00;;['Maff']
41;M06276_2.00;41.44727;4.6001763;0;0;M06276_2.00;;['Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
42;M02858_2.00;41.429474;3.853393;0;0;M02858_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
43;M04278_2.00;41.377758;4.140985;0;0;M04278_2.00;;['Mafa', 'Maf', 'Mafb']
44;M04366_2.00;41.363068;3.8612015;0;0;M04366_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
45;M00126_2.00;41.337154;3.9582717;0;0;M00126_2.00;Mafb;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
46;M03784_2.00;41.222507;4.1269784;0;0;M03784_2.00;;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Tlx1', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Tlx3', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
47;M02870_2.00;41.222412;3.7622886;0;0;M02870_2.00;Mafb;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
48;M04277_2.00;41.200436;4.093183;0;0;M04277_2.00;;['Mafa', 'Maf', 'Mafb']
49;M04352_2.00;41.139977;3.7605798;0;0;M04352_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
50;M09491_2.00;41.12609;3.6385088;0;0;M09491_2.00;Mafk;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
51;M03792_2.00;41.113117;4.37832;0;0;M03792_2.00;;['Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Rax', 'Tlx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Hoxa1', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Tlx3', 'Hesx1', 'Prrxl1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
52;M04354_2.00;41.111744;3.771721;0;0;M04354_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
53;M04369_2.00;41.033703;3.8573165;0;0;M04369_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
54;M04349_2.00;40.79809;3.847962;0;0;M04349_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
55;M05277_2.00;40.76987;3.9696176;0;0;M05277_2.00;;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Hesx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
56;M05381_2.00;40.76987;3.9696176;0;0;M05381_2.00;;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Hesx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
57;M05386_2.00;40.76987;3.9696176;0;0;M05386_2.00;;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Hesx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
58;M04374_2.00;40.71614;3.6264613;0;0;M04374_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
59;M04346_2.00;40.6854;3.7482288;0;0;M04346_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
60;M04343_2.00;40.541378;3.8219275;0;0;M04343_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
61;M04371_2.00;40.499874;3.5417368;0;0;M04371_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
62;M04363_2.00;40.49273;3.6656895;0;0;M04363_2.00;;['Maff']
63;M09128_2.00;40.15542;5.063495;0;0;M09128_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
64;M09209_2.00;40.15542;5.063495;0;0;M09209_2.00;Isl1;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
65;M04373_2.00;40.10169;3.4952857;0;0;M04373_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
66;M06270_2.00;40.01339;4.0534945;0;0;M06270_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
67;M09488_2.00;39.894047;3.7734792;0;0;M09488_2.00;;['Bach1', 'Bach2']
68;M03794_2.00;39.71187;4.2627764;0;0;M03794_2.00;;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Lhx1', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Lhx5', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
69;M03785_2.00;39.61223;3.708442;0;0;M03785_2.00;;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Tlx1', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Tlx3', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
70;M05103_2.00;39.610996;3.8340101;0;0;M05103_2.00;;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
71;M05161_2.00;39.610996;3.8340101;0;0;M05161_2.00;;['Hoxb6', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Hoxd8', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
72;M05274_2.00;39.610996;3.8340101;0;0;M05274_2.00;;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Hesx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
73;M05163_2.00;39.610996;3.8340101;0;0;M05163_2.00;;['Hoxb6', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Hoxd8', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
74;M03806_2.00;39.610996;3.8340101;0;0;M03806_2.00;;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
75;M04344_2.00;39.55734;3.478522;0;0;M04344_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
76;M00278_2.00;39.546997;3.6503282;0;0;M00278_2.00;;['A1JVI6_MOUSE', 'Lhx2', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Lhx1', 'Lhx9', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Dlx2', 'Rax', 'Lbx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Lhx5', 'Pdx1', 'Nobox', 'Dlx6', 'Isx', 'Barx2', 'Isl2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Gsx2', 'Alx1', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Dlx1', 'Isl1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Noto', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Lhx8']
77;M06274_2.00;39.503185;3.9534476;0;0;M06274_2.00;;['Hoxb6', 'Hoxa10', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8']
78;M06230_2.00;39.503185;3.9534476;0;0;M06230_2.00;;['A1JVI6_MOUSE', 'Lhx2', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Lhx1', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Dlx2', 'Rax', 'Lbx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Lhx5', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Hoxb2', 'Hoxd3', 'Hoxa3']
79;M05102_2.00;39.49399;3.6147327;0;0;M05102_2.00;;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
