Differential motif activity beta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
1265;M06255_2.00;18.50827;1.2572644;1.77E-76;6.11E-76;M06255_2.00;;['A1JVI6_MOUSE', 'Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Lbx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Gsx2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Lmx1b', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Lhx8', 'Hoxd4']
1266;M06491_2.00;18.50827;1.2572644;1.77E-76;6.11E-76;M06491_2.00;;['A1JVI6_MOUSE', 'Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Lbx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Gsx2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Lmx1b', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Lhx8', 'Hoxd4']
1267;M06309_2.00;18.50827;1.2572644;1.77E-76;6.11E-76;M06309_2.00;;['A1JVI6_MOUSE', 'Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Mnx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Lhx9', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Esx1', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'En1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Lhx8', 'Hoxd4']
1268;M07820_2.00;18.500948;1.7770106;2.03E-76;7.00E-76;M07820_2.00;;['Jun', 'Junb', 'Jund']
1269;M00263_2.00;18.492561;1.1874557;2.37E-76;8.16E-76;M00263_2.00;;['Lhx2', 'Sebox', 'Phox2a', 'Phox2b', 'Alx3', 'Lhx9', 'Vsx2', 'Otp', 'Rax', 'Lhx4', 'Mixl1', 'Prrx1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Isx', 'Vsx1', 'Gbx2', 'Arx', 'Alx1', 'En2', 'Prrx2', 'Alx4', 'Hesx1', 'Prrxl1', 'Prop1', 'Nkx1-2', 'En1', 'Gbx1']
1270;M05884_2.00;18.486471;1.0599607;2.65E-76;9.12E-76;M05884_2.00;Pparg;['Pparg', 'Rarg', 'Ppard', 'Nr2f6', 'Nr2c2', 'Nr2c1', 'Rxrg', 'Rxra', 'Rarb', 'Nr1d2', 'Ppara', 'Nr4a1', 'Rorc', 'Nr2f2', 'Rora', 'Rorb', 'Rara', 'Rxrb', 'Thra', 'Nr2f1']
1271;M04898_2.00;18.480831;1.0796008;2.95E-76;1.01E-75;M04898_2.00;;['Hoxa10', 'Hoxc11', 'Hoxd12', 'Hoxb9', 'Hoxc10', 'Hoxc9', 'Hoxa11', 'Hoxa9', 'Hoxd11', 'Hoxd9', 'Hoxc12', 'Hoxd10']
1272;M08069_2.00;18.455454;1.7424216;4.71E-76;1.62E-75;M08069_2.00;;['Fosb', 'Fos', 'Fosl1', 'Fosl2']
1273;M06238_2.00;18.443926;1.2551159;5.83E-76;2.00E-75;M06238_2.00;;['A1JVI6_MOUSE', 'Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Lmx1b', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Lhx8', 'Hoxd4']
1274;M04146_2.00;18.431747;0.97896427;7.31E-76;2.50E-75;M04146_2.00;;['Usf1']
1275;M02832_2.00;18.429081;1.5468851;7.68E-76;2.62E-75;M02832_2.00;;['Nfe2l2', 'Nfe2l3', 'Nfe2l1', 'Nfe2']
1276;M02788_2.00;18.408644;1.006697;1.12E-75;3.83E-75;M02788_2.00;;['Bhlhe40', 'Bhlhe41']
1277;M00276_2.00;18.371075;1.2885355;2.24E-75;7.65E-75;M00276_2.00;;['Pbx4', 'Pbx2', 'Pbx3', 'Pbx1']
1278;M05419_2.00;18.361397;1.032162;2.68E-75;9.13E-75;M05419_2.00;;['Pax3', 'Pax7']
1279;M00534_2.00;18.354998;1.0861058;3.01E-75;1.03E-74;M00534_2.00;Lhx8;['A1JVI6_MOUSE', 'Lhx2', 'Sebox', 'Phox2a', 'Phox2b', 'Alx3', 'Lhx9', 'Vsx2', 'Otp', 'Rax', 'Lhx4', 'Mixl1', 'Prrx1', 'Lmx1a', 'Lhx6', 'Lhx3', 'Shox2', 'Uncx', 'Isx', 'Vsx1', 'Arx', 'Alx1', 'Lmx1b', 'En2', 'Prrx2', 'Alx4', 'Prrxl1', 'Prop1', 'En1', 'Lhx8']
1280;M00475_2.00;18.312027;1.0629942;6.64E-75;2.26E-74;M00475_2.00;Hoxa9;['Hoxb6', 'Hoxa10', 'Hoxc11', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Hoxc9', 'Hoxa11', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb5', 'Hoxd11', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8']
1281;M01805_2.00;18.309124;1.2361395;7.00E-75;2.38E-74;M01805_2.00;Fosl1;['Fosb', 'Fos', 'Fosl1', 'Fosl2']
1282;M05164_2.00;18.255562;0.9936972;1.87E-74;6.35E-74;M05164_2.00;;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Nanog', 'Hoxa2', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Rax', 'Tlx1', 'Lbx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Barx2', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Meox2', 'Hmx3', 'Tlx3', 'Dlx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxb2']
