Differentiable motif activity delta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
3684;M10588_2.00;-0.3221033;-0.049565308;0.747374454935051;0.79201937832236;M10588_2.00;;['Gata6', 'Gata2', 'Gata3', 'Gata5', 'Gata4', 'Gata1']
3685;M03743_2.00;-0.32253262;-0.022222819;0.747049234641883;0.791814257514326;M03743_2.00;;['Foxa1', 'Foxa2', 'Foxa3', 'Foxb2', 'Foxb1']
3686;M02977_2.00;-0.32307494;-0.0061820205;0.746638494434356;0.791518403935874;M02977_2.00;;['Spdef', 'Elf4', 'Elf1', 'Elf2']
3687;M02856_2.00;-0.3273457;-0.368046;0.743406438593693;0.788370009116993;M02856_2.00;;['Mafk', 'Mafa', 'Mafg', 'Maf', 'Mafb']
3688;M03728_2.00;-0.33231694;-0.037127085;0.739649947748717;0.784939965724507;M03728_2.00;;['Spdef', 'Elf4', 'Elf1', 'Elf2']
3689;M04511_2.00;-0.33355975;-0.06899371;0.73871179067548;0.78422113135434;M04511_2.00;;['Klf15']
3690;M01558_2.00;-0.3345088;0.011264185;0.737995641588026;0.783599185824574;M01558_2.00;;['Srf']
3691;M04882_2.00;-0.3384858;-0.04785639;0.734997114657053;0.781057353194772;M04882_2.00;;['Gcm2', 'Gcm1']
3692;M02249_2.00;-0.34085846;-0.0468626;0.733210139171231;0.779481311114687;M02249_2.00;;['Hsf2', 'Hsf1', 'Hsf4']
3693;M08269_2.00;-0.34628165;-0.04819278;0.729131062697785;0.775418958632092;M08269_2.00;;['Zbtb12']
3694;M00044_2.00;-0.34648502;-0.013631634;0.728978245548268;0.775393556548866;M00044_2.00;;['Foxp3']
3695;M00463_2.00;-0.34747925;-0.010497014;0.728231294590832;0.774873143253585;M00463_2.00;Hdx;['Hdx']
3696;M02408_2.00;-0.35039422;-0.020561878;0.726042859707101;0.77281801031478;M02408_2.00;;['Hnf4g', 'Hnf4a', 'Nr2e1']
3697;M03781_2.00;-0.35215676;-0.05014703;0.724720702787484;0.771547230760122;M03781_2.00;;['Hoxc13', 'Cdx1', 'Cdx2', 'Cdx4', 'Hoxa13']
3698;M04706_2.00;-0.35378373;-0.010891848;0.723500978323878;0.770539531724418;M04706_2.00;;['E2f7', 'E2f8']
3699;M03591_2.00;-0.3571732;0.0032810387;0.720962143199154;0.76863434305969;M03591_2.00;;['Srebf1', 'Srebf2']
