Differentiable motif activity delta cells;names;scores;logfoldchanges;pvals;pvals_adj;Motif_ID;direct_TF;TF_name
0;M09209_2.00;17.140167;3.7560358;7.44E-66;4.43E-64;M09209_2.00;Isl1;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
1;M09128_2.00;17.140167;3.7560358;7.44E-66;4.43E-64;M09128_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
2;M00381_2.00;15.560575;2.6682448;1.35E-54;4.31E-53;M00381_2.00;Hoxb6;['Hoxb6', 'Hoxa10', 'Hoxa4', 'Mnx1', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8', 'Hoxc4', 'Hoxd4']
3;M06271_2.00;15.059449;2.2583969;2.99E-51;8.57E-50;M06271_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
4;M06270_2.00;14.99419;2.5317478;8.01E-51;2.26E-49;M06270_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
5;M05204_2.00;14.9076;2.4748006;2.94E-50;8.08E-49;M05204_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
6;M04908_2.00;14.497901;2.3695168;1.25E-47;3.25E-46;M04908_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
7;M04910_2.00;14.44324;2.3230362;2.77E-47;7.05E-46;M04910_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
8;M04909_2.00;14.44324;2.3230362;2.77E-47;7.05E-46;M04909_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
9;M10788_2.00;13.89943;2.2083583;6.38E-44;1.53E-42;M10788_2.00;;['Hoxb6', 'Hoxa10', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8']
10;M09565_2.00;13.84242;2.284583;1.41E-43;3.37E-42;M09565_2.00;Nanog;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Nanog', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Msx3', 'Barhl1', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Barx2', 'Barhl2', 'Gbx2', 'Meox2', 'Dlx1', 'Hoxd1', 'Msx1', 'Hoxb3', 'Hmx2', 'Bsx', 'Gbx1', 'Hoxb2', 'Hoxd3', 'Hoxa3']
11;M05012_2.00;13.751129;2.1404462;5.01E-43;1.18E-41;M05012_2.00;;['Nkx3-1', 'Nkx3-2']
12;M03812_2.00;13.677668;2.0885906;1.38E-42;3.18E-41;M03812_2.00;;['Nkx3-1', 'Nkx3-2']
13;M05256_2.00;13.669352;2.0944564;1.55E-42;3.54E-41;M05256_2.00;;['Nkx3-1', 'Nkx3-2']
14;M05255_2.00;13.661195;2.0670164;1.73E-42;3.93E-41;M05255_2.00;;['Nkx3-1', 'Nkx3-2']
15;M00413_2.00;13.497369;2.178458;1.62E-41;3.53E-40;M00413_2.00;Barx1;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Mixl1', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
16;M05015_2.00;13.436177;2.0448918;3.71E-41;8.00E-40;M05015_2.00;;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Nanog', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Msx3', 'Barhl1', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Barx2', 'Barhl2', 'Gbx2', 'Meox2', 'Hmx3', 'Dlx1', 'Hoxd1', 'Msx1', 'Hoxb3', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Hoxb2', 'Hoxd3', 'Hoxa3']
17;M00436_2.00;13.436177;2.0448918;3.71E-41;8.00E-40;M00436_2.00;Hoxd8;['Hoxb6', 'Hoxa10', 'Hoxa4', 'Mnx1', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8', 'Hoxc4', 'Hoxd4']
18;M05013_2.00;13.351395;2.0095003;1.16E-40;2.46E-39;M05013_2.00;;['Nkx3-1', 'Nkx3-2']
19;M09138_2.00;13.271493;1.845732;3.39E-40;7.07E-39;M09138_2.00;;['Nkx3-1', 'Nkx3-2']
20;M09212_2.00;13.271493;1.845732;3.39E-40;7.07E-39;M09212_2.00;Nkx3-2;['Nkx3-1', 'Nkx3-2']
21;M02119_2.00;13.171639;1.9076134;1.28E-39;2.62E-38;M02119_2.00;;['Nkx3-1', 'Nkx3-2']
22;M05393_2.00;13.069932;2.0214138;4.89E-39;9.87E-38;M05393_2.00;;['Hoxa4', 'Meox1', 'Mnx1', 'Vax1', 'Msx2', 'Hoxc5', 'Dlx2', 'Tlx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Pdx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Gsx2', 'Meox2', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Hmx3', 'Tlx3', 'Hesx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxc4', 'Hoxd3', 'Hoxa3', 'Hoxd4']
23;M03260_2.00;12.97202;1.6793127;1.76E-38;3.51E-37;M03260_2.00;Barhl1;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Nanog', 'Hoxa2', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Rax', 'Tlx1', 'Lbx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Barx2', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Meox2', 'Hmx3', 'Tlx3', 'Dlx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxb2']
24;M00420_2.00;12.949899;1.9571033;2.35E-38;4.67E-37;M00420_2.00;Nkx3-1;['Nkx3-1', 'Nkx3-2']
25;M00560_2.00;12.947661;1.8906938;2.42E-38;4.79E-37;M00560_2.00;;['Nkx3-1', 'Nkx3-2']
26;M03162_2.00;12.917404;1.6999264;3.59E-38;7.08E-37;M03162_2.00;;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Nanog', 'Hoxa2', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Rax', 'Tlx1', 'Lbx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Barx2', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Meox2', 'Hmx3', 'Tlx3', 'Dlx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxb2']
27;M05392_2.00;12.89874;2.0631132;4.58E-38;8.99E-37;M05392_2.00;;['Hoxa4', 'Meox1', 'Mnx1', 'Vax1', 'Msx2', 'Hoxc5', 'Dlx2', 'Tlx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Pdx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Gsx2', 'Meox2', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Hmx3', 'Tlx3', 'Hesx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxc4', 'Hoxd3', 'Hoxa3', 'Hoxd4']
28;M09559_2.00;12.893001;2.035138;4.93E-38;9.66E-37;M09559_2.00;;['Nkx3-1', 'Nkx3-2']
29;M09578_2.00;12.836847;1.8920693;1.02E-37;1.95E-36;M09578_2.00;Isl1;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
30;M00301_2.00;12.795405;1.7223277;1.74E-37;3.29E-36;M00301_2.00;;['Nkx2-1', 'Nkx2-5', 'Nkx2-2', 'Nkx2-6', 'Nkx2-3', 'Nkx2-4', 'Nkx2-9']
31;M04911_2.00;12.795405;1.7223277;1.74E-37;3.29E-36;M04911_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
32;M09573_2.00;12.742213;1.9604871;3.44E-37;6.47E-36;M09573_2.00;Nkx6-1;['Nkx6-1', 'Nkx6-2', 'Nkx6-3']
33;M00517_2.00;12.741445;1.9731429;3.48E-37;6.52E-36;M00517_2.00;Hoxb8;['Hoxb6', 'Hoxa10', 'Hoxa4', 'Mnx1', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc10', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxd10', 'Hoxb8', 'Hoxc4', 'Hoxd4']
34;M00506_2.00;12.729808;1.7496892;4.04E-37;7.52E-36;M00506_2.00;Nkx3-2;['Nkx3-1', 'Nkx3-2']
35;M03830_2.00;12.660775;1.9570409;9.75E-37;1.80E-35;M03830_2.00;;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Nanog', 'Hoxa2', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Dlx2', 'Rax', 'Tlx1', 'Lbx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Meox2', 'Hmx3', 'Tlx3', 'Prrxl1', 'Dlx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxb2']
36;M00170_2.00;12.65899;1.8040639;9.98E-37;1.84E-35;M00170_2.00;Nkx3-1;['Nkx3-1', 'Nkx3-2']
37;M00302_2.00;12.545058;1.6470228;4.23E-36;7.66E-35;M00302_2.00;;['Nkx2-1', 'Nkx2-5', 'Nkx2-2', 'Nkx2-6', 'Nkx2-3', 'Nkx2-4', 'Nkx2-9']
38;M09181_2.00;12.524449;1.488206;5.49E-36;9.88E-35;M09181_2.00;Barx1;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Mixl1', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
39;M05373_2.00;12.484092;1.8459668;9.12E-36;1.64E-34;M05373_2.00;;['Hoxa4', 'Meox1', 'Mnx1', 'Vax1', 'Nanog', 'Msx2', 'Hoxc5', 'Tlx1', 'Msx3', 'Barhl1', 'Pdx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Meox2', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hmx3', 'Tlx3', 'Hesx1', 'Emx2', 'Msx1', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxc4', 'Hoxd4']
40;M03792_2.00;12.460298;1.9937326;1.23E-35;2.20E-34;M03792_2.00;;['Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Rax', 'Tlx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Hoxa1', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Tlx3', 'Hesx1', 'Prrxl1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
41;M00503_2.00;12.401411;1.8456931;2.57E-35;4.58E-34;M00503_2.00;Nkx1-2;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Tlx1', 'Msx3', 'Mixl1', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Tlx3', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
42;M06504_2.00;12.121213;1.6524758;8.15E-34;1.41E-32;M06504_2.00;;['Nkx3-1', 'Nkx3-2']
43;M03848_2.00;12.107972;1.8071254;9.58E-34;1.65E-32;M03848_2.00;;['Hoxa4', 'Vax1', 'Hoxc5', 'Tlx1', 'Barhl1', 'Nkx1-1', 'Pdx1', 'Nobox', 'Emx1', 'Barhl2', 'Vax2', 'Nkx6-1', 'Gsx2', 'Meox2', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Hmx3', 'Tlx3', 'Nkx6-2', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Nkx6-3', 'Hmx1', 'Tlx2', 'Hoxc4', 'Hoxd3', 'Hoxa3', 'Hoxd4']
44;M00442_2.00;12.098798;1.7519796;1.07E-33;1.84E-32;M00442_2.00;Nkx1-1;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Tlx1', 'Msx3', 'Mixl1', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Tlx3', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
45;M05168_2.00;12.097125;1.9478679;1.09E-33;1.86E-32;M05168_2.00;;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Nanog', 'Hoxa2', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Rax', 'Tlx1', 'Lbx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Barx2', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Meox2', 'Hmx3', 'Tlx3', 'Dlx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxb2']
46;M03857_2.00;12.097125;1.9478679;1.09E-33;1.86E-32;M03857_2.00;;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Dlx2', 'Rax', 'Tlx1', 'Msx3', 'Mixl1', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Alx4', 'Tlx3', 'Hesx1', 'Prrxl1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
47;M05205_2.00;12.054825;1.7964041;1.83E-33;3.09E-32;M05205_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
48;M03177_2.00;12.054825;1.7964041;1.83E-33;3.09E-32;M03177_2.00;;['Sebox', 'Shox2', 'Isl2', 'Vsx1', 'Isl1', 'Noto']
49;M00476_2.00;12.029697;1.869385;2.48E-33;4.18E-32;M00476_2.00;Hoxa7;['Hoxb6', 'Hoxa4', 'Hoxc8', 'Hoxc6', 'Hoxb9', 'Hoxc5', 'Hoxd8', 'Pdx1', 'Hoxc9', 'Hoxa9', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'Hoxa6', 'Hoxd9', 'Hoxb3', 'Hoxb8', 'Hoxc4', 'Hoxd3', 'Hoxa3', 'Hoxd4']
50;M00462_2.00;12.008682;1.7698228;3.20E-33;5.37E-32;M00462_2.00;Gbx2;['A1JVI6_MOUSE', 'Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Esx1', 'Rax', 'Lbx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Hesx1', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
51;M00283_2.00;11.983012;1.8032061;4.36E-33;7.29E-32;M00283_2.00;;['Lhx2', 'Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Lhx9', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Tlx1', 'Msx3', 'Lhx4', 'Mixl1', 'Prrx1', 'Barhl1', 'Lhx3', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Nobox', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Hmx3', 'Alx4', 'Tlx3', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
52;M03145_2.00;11.947288;1.738221;6.71E-33;1.12E-31;M03145_2.00;;['Hoxa4', 'Sebox', 'Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Phox2a', 'Nanog', 'Phox2b', 'Alx3', 'Hoxa2', 'Hoxb1', 'Dlx4', 'Vsx2', 'Barx1', 'Msx2', 'Otp', 'Hoxc5', 'Dlx2', 'Rax', 'Msx3', 'Mixl1', 'Prrx1', 'Barhl1', 'Shox2', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Hoxa1', 'Isx', 'Barx2', 'Vsx1', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Arx', 'Gsx2', 'Meox2', 'Alx1', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'En2', 'Prrx2', 'Alx4', 'Prrxl1', 'Dlx1', 'Hoxd1', 'Emx2', 'Prop1', 'Msx1', 'Nkx1-2', 'Hoxb3', 'Gsx1', 'Bsx', 'En1', 'Gbx1', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
53;M09204_2.00;11.887723;1.6552342;1.37E-32;2.27E-31;M09204_2.00;Hoxb4;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Hesx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
54;M09162_2.00;11.887723;1.6552342;1.37E-32;2.27E-31;M09162_2.00;;['Hoxb6', 'Hoxa4', 'Meox1', 'Mnx1', 'Hoxc6', 'Evx2', 'Evx1', 'Vax1', 'Hoxa2', 'Hoxb1', 'Barx1', 'Otp', 'Hoxc5', 'Hoxd8', 'Nkx1-1', 'Pdx1', 'Hoxa1', 'Isx', 'Barx2', 'Emx1', 'Gbx2', 'Vax2', 'Gsx2', 'Meox2', 'Hoxa7', 'Hoxa5', 'Hoxb4', 'Hoxb5', 'Hoxb7', 'En2', 'Hmx3', 'Hesx1', 'Hoxd1', 'Hoxa6', 'Emx2', 'Nkx1-2', 'Hoxb3', 'Hmx2', 'Gsx1', 'Bsx', 'Hoxb8', 'En1', 'Hmx1', 'Gbx1', 'Noto', 'Tlx2', 'Hoxc4', 'Hoxb2', 'Hoxd3', 'Hoxa3', 'Hoxd4']
55;M03159_2.00;11.883362;1.4854714;1.44E-32;2.38E-31;M03159_2.00;;['Meox1', 'Dlx3', 'Mnx1', 'Evx2', 'Evx1', 'Vax1', 'Nanog', 'Hoxa2', 'Dlx4', 'Barx1', 'Msx2', 'Dlx2', 'Rax', 'Tlx1', 'Lbx1', 'Msx3', 'Barhl1', 'Nkx1-1', 'Uncx', 'Pdx1', 'Dlx6', 'Dlx5', 'Barx2', 'Emx1', 'Barhl2', 'Gbx2', 'Vax2', 'Lbx2', 'Arx', 'Meox2', 'Hmx3', 'Tlx3', 'Dlx1', 'Emx2', 'Msx1', 'Nkx1-2', 'Hmx2', 'Bsx', 'Hmx1', 'Gbx1', 'Tlx2', 'Hoxb2']
