Thomas_ID;Progressive_ID;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0;Infill;Putative;_EL_mean;_EL_median;_EL_min;_EL_max;X;Y
7121;290;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;-1466.83798882682;-1828;-2156;358.5;-115.393;1.354
7122;291;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;-1875.10600242522;-2056;-3074;49.5;-102.81;17.494
7123;292;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;-812.201149425287;-810.5;-868.5;-770.5;-107.626;18.983
7124;293;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;-994.724671307038;-1001.5;-1128.5;-771;-112.432;15.021
7127;294;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;-323.276272577997;-488.25;-775;828;-135.134;-29.159
7128;295;0;0;1;0;0;1;1;1;0;1;1;0;0;1;1;0;0;0;-2031.05104266049;-2381;-3084;-145;-124.422;-21.821
7130;296;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;891.919201520913;985;331.5;1340.5;-70.807;16.227
7131;297;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;-405.511224398533;-347.5;-1296.5;371.5;-86.001;14.157
7133;298;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;-2145.62120498941;-2258.5;-3107;-806;-76.701;-21.31
7134;299;0;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;-642.55410654828;-595.5;-1284;-163;-131.886;0.985
7135;300;0;0;1;0;0;1;1;0;1;1;1;0;1;1;1;0;1;1;-1140.39283004552;-1174.75;-2596.5;678.5;-120.589;-19.204
7137;301;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;-1381.97822644497;-1372.5;-1815;-1072;-95.272;25.118
7138;302;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;-397.924830261882;-402;-806.5;158;-67.571;22.197
