id;X;Y;Diameter;Delta elev;_min;_max;Degrad_class;1;2;3;4;5;Crater Unit;c1;c2;c3;Contact Unit;c1.1;c2.1;c3.1;icp;imp;sp;cfh (c1);cfh (c2);cfh (c3);cfs (c1);cfs (c2);cfs (c3);cre;bip;NF;OF;CMF
1075;-45.621;37.673;44;2921;-2340;581;;;;;;;c3;;;1;icp;;;;;;;;;;;;;;;;;
1075;-44.857;36.595;5;130;-2220;-2090;3;;;1;;;;;;;cfs (c3);;;;;;;;;;;;1;;;;;
1076;-3.718;25.585;13;294;-726;-432;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1076;4.882;25.168;7;164;-761.5;-597.5;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1076;1.902;22.056;7;163;-689;-526;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1076;-2.208;51.156;6;123;-810;-687;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1076;7.034;25.443;6;87.5;-846.5;-759;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1077;0.371;24.129;10;226.5;-1866.5;-1640;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
1078;1.97;-3.699;11;320;6.5;326.5;;;;;;;c2;;1;;c1, icp;1;;;1;;;;;;;;;;;;;
1079;2.335;-6.242;7;114;701.5;815.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1082;6.495;23.985;22;1278.5;-28;1250.5;;;;;;;;;;;c1 (icp);1;;;1;;;;;;;;;;;;;
1082;6.435;23.533;10;538;439;977;;;;;;;;;;;c2 (icp);;1;;1;;;;;;;;;;;;;
1083;-1.224;26.855;35;1566;-609.5;956.5;;;;;;;c2;;1;;c1 (icp);1;;;1;;;;;;;;;;;;;
2003;1.439;30.486;45;3845.5;-1002;2843.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;10.213;28.381;40;2449.5;-492.5;1957;;;;;;;c3;;;1;icp;;;;;;;;;;;;;;;;;
2005;-3.094;17.524;67;2859;-316;2543;5;;;;;1;c3;;;1;icp;;;;;;;;;;;;;;;;;
2008;-2.261;17.51;14;189;-823;-634;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
2009;-6.192;-2.592;95;2772.5;-467;2305.5;1;1;;;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
2010;3.906;28.757;6;371;1062.5;1433.5;;;;;;;;;;;c3;;;1;;;;;;;;;;;;;;
2011;-9.471;-26.276;68;2955;352;3307;2;;1;;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
2012;0.52;46.806;12;212.5;1739.5;1952;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
2013;-6.476;-48.538;27;732;1925.5;2657.5;;;;;;;c2;;1;;c2, icp;;1;;1;;;;;;;;;;;;;
2013;-4.923;-23.384;25;868;1709.5;2577.5;;;;;;;c2;;1;;c2, icp;;1;;1;;;;;;;;;;;;;
2020;0.815;-10.963;12;192;1193;1385;;;;;;;;;;;c3;;;1;;;;;;;;;;;;;;
2024;-6.77;-38.185;18;470;-130.5;339.5;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
2027;-0.601;12.213;22;453;579;1032;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
2031;5.515;37.885;15;1092.5;-624.5;468;;;;;;;;;;;cfs (c2);;;;;;;;;;;1;;;;;;
2031;7.217;34.666;9;254;-23.5;230.5;;;;;;;;;;;cfs (c2);;;;;;;;;;;1;;;;;;
2032;87.91;-40.866;86;2999;232;3231;4;;;;1;;c3;;;1;icp;;;;;;;;;;;;;;;;;
2035;83.347;-5.16;53;2798.5;-1011;1787.5;1;1;;;;;c2;;1;;imp, icp;;;;1;1;;;;;;;;;;;;
2036;82.7;52.466;152;2902.5;320.5;3223;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;
2037;93.702;15.783;167;7010;-4050.5;2959.5;4;;;;1;;c3;;;1;icp;;;;;;;;;;;;;;;;;
2040;166.362;25.576;135;3684;-1867.5;1816.5;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
2042;163.287;30.554;6;79;907;986;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
2043;160.381;58.853;10;440;964.5;1404.5;;;;;;;;;;;c1;1;;;;;;;;;;;;;;;;
2044;167.848;60.966;58;2882;-335;2547;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;
2047;169.597;7.818;37;872.5;577.5;1450;;;;;;;c3;;;1;icp;;;;;;;;;;;;;;;;;
2047;166.659;36.59;19;737;1021;1758;;;;;;;;;;;c3 (icp);;;1;1;;;;;;;;;;;;;
2047;177.907;21.71;18;1217;-51.5;1165.5;;;;;;;;;;;c1 (icp);1;;;1;;;;;;;;;;;;;
2047;179.335;25.488;16;1073;375;1448;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
2047;179.317;23.333;12;229;1675.5;1904.5;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
2047;175.53;38.473;10;46;1492.5;1538.5;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
2047;166.943;13.928;8;96.5;372.5;469;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
2047;166.811;13.807;8;24;354;378;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
2047;166.705;14.278;6;23.5;1515;1538.5;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
2048;166.725;14.207;66;5802.5;-2758;3044.5;3;;;1;;;c2;;1;;imp;;;;;1;;;;;;;;;;;;
2051;166.767;14.157;18;849;-1281;-432;;;;;;;;;;;sp;;;;;;1;;;;;;;;;;;
2052;178.826;21.528;31;2206;-2070.5;135.5;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
3001;167.432;29.477;23;826;-1021;-195;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3003;179.304;-40.76;84;3386;-2091;1295;3;;;1;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
3004;33.163;7.684;33;2552.5;-2457;95.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3007;19.698;-8.948;82;3373;-3356;17;3;;;1;;;c2;;1;;sp, icp;;;;1;;1;;;;;;;;;;;
3007;34.833;27.149;8;267;-3006;-2739;;;;;;;;;;;cfs (c2);;;;;;;;;;;1;;;;;;
3009;21.609;-2.293;5;67.5;-132.5;-65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3010;12.746;3.517;233;3720.5;-3569;151.5;4;;;;1;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
3013;16.165;25.258;88;2957;-1128;1829;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
4002;22.68;35.597;18;702.5;831.5;1534;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4003;26.814;-13.729;100;3818;-2079;1739;4;;;;1;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4004;57.374;27.821;43;2353;-2231;122;4;;;;1;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4005;24.224;26.978;94;4206;-4031.5;174.5;3;;;1;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4006;13.799;19.504;9;55.5;392;447.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4006;18.622;-18.588;7;135;456;591;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4006;72.311;14.354;6;17;396;413;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4007;79;29.001;98;3677;-3405.5;271.5;3;;;1;;;c2;;1;;sp;;;;;;1;;;;;;;;;;;
4008;69.11;27.405;15;559.5;-653;-93.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4009;59.17;15.166;215;3087;-386;2701;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
4022;59.722;-11.686;42;2826;-630;2196;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4023;44.739;27.342;8;82.5;1304.5;1387;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4024;72.301;-21.035;56;2317;-620;1697;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4026;50.268;3.359;30;1974;3.5;1977.5;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4030;57.945;17.117;40;2163;-834.5;1328.5;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4033;65.37;3.419;9;237.5;733;970.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4033;59.141;-8.805;6;43;864;907;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4033;57.28;-8.23;6;138.5;434.5;573;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4033;54.994;-7.994;4;34.5;421;455.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4033;54.275;-3.188;3;23;428;451;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4035;47.825;-19.438;6;63;1487;1550;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4036;21.39;32.538;34;1242.5;-1328;-85.5;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
4047;24.148;31.196;74;3402;-1720.5;1681.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5001;14.053;33.275;64;2373.5;-2314.5;59;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
5002;19.075;32.827;168;4560;-2092.5;2467.5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
5004;13.59;35.964;36;1236.5;-236.5;1000;;;;;;;c1;1;;;imp;;;;;1;;;;;;;;;;;;
5005;12.441;32.845;83;2715.5;498.5;3214;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
5006;31.567;36.757;22;1675.5;-246;1429.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5007;43.305;66.046;21;1343.5;-871;472.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5008;23.545;38.996;77;2595.5;-1235.5;1360;3;;;1;;;c2;;1;;imp;;;;;1;;;;;;;;;;;;
5009;57.99;-31.916;22;1283;-2532.5;-1249.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5011;45.486;-37.51;5;44;-618.5;-574.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5015;41.213;-36.409;296;5402;-5382;20;4;;;;1;;c3;;;1;imp, sp;;;;;1;1;;;;;;;;;;;
5017;35.605;-32.798;16;703;-730;-27;;;;;;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5018;24.19;-30.497;35;845;-251.5;593.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5021;17.471;-56.029;104;3026.5;-407.5;2619;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
5025;18.2;-23.332;38;2333.5;281;2614.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5027;10.956;-52.892;27;780;-1633;-853;;;;;;;c2;;1;;c1 (icp);1;;;1;;;;;;;;;;;;;
5028;21.575;-57.931;42;2022;-1942.5;79.5;4;;;;1;;c3;;;1;c1 (icp);1;;;1;;;;;;;;;;;;;
5029;23.021;-57.907;35;1723;-736;987;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5033;49.75;-34.114;111;3021;-1777;1244;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;
5035;49.136;-29.882;27;1742.5;-430.5;1312;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5036;14.977;-25.597;123;3161;-547;2614;2;;1;;;;c2;;1;;imp, icp;;;;1;1;;;;;;;;;;;;
5036;55.195;36.359;22;1385.5;419.5;1805;;;;;;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5038;17.043;-12.416;80;2508;-1532;976;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;
5038;13.008;19.518;36;2183.5;-2141.5;42;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
5040;13.56;22.354;114;2740.5;-1472;1268.5;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;
5043;15.765;30.693;45;2714.5;-1423;1291.5;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
5044;17.52;0.361;92;2278.5;-1071;1207.5;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;
5045;33.266;47.589;142;3243.5;-1849;1394.5;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;
5046;19.015;37.469;25;2191.5;873.5;3065;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5048;17.817;37.35;22;1609.5;739;2348.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5049;26.381;34.902;7;635.5;1985.5;2621;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5050;27.046;36.706;12;300.5;1064.5;1365;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5051;27.398;36.811;36;2437.5;-2003;434.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5052;134.751;46.118;34;1847.5;-2687.5;-840;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5054;159.064;43.786;27;1693.5;-120;1573.5;;;;;;;c2;;1;;imp;;;;;1;;;;;;;;;;;;
5056;154.572;42.448;49;2613;-1375;1238;1;1;;;;;c1;1;;;imp;;;;;1;;;;;;;;;;;;
5057;157.293;53.818;52;2326.5;-696;1630.5;3;;;1;;;c2;;1;;c1;1;;;;;;;;;;;;;;;;
5058;152.83;40.498;121;3706;-1749.5;1956.5;1;1;;;;;c2;;1;;c1, imp;1;;;;1;;;;;;;;;;;;
5059;145.782;47.442;69;3208;-2039;1169;1;1;;;;;c3;;;1;sp, imp;;;;;1;1;;;;;;;;;;;
5060;153.337;66.425;32;1696.5;-844.5;852;;;;;;;c2;;1;;c1, imp;1;;;;1;;;;;;;;;;;;
5062;145.255;35.885;8;96;465;561;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
5064;112.617;61.711;70;2077.5;-1307;770.5;3;;;1;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
5065;125.744;-52.632;5;237;205.5;442.5;;;;;;;;;;;imp;;;;;1;;;;;;;;;;;;
5068;142.793;32.882;41;1726.5;-668.5;1058;4;;;;1;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5068;143.414;32.685;32;2066.5;118.5;2185;;;;;;;c3;;;1;c2, icp, sp;;1;;1;;;;;;;;;;;;;
5069;125.793;39.632;64;2710;-424.5;2285.5;4;;;;1;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5071;127.49;40.885;99;3222.5;-732;2490.5;4;;;;1;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5073;122.959;41.644;93;2554.5;-147;2407.5;4;;;;1;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5074;125.886;57.169;22;1354.5;359;1713.5;;;;;;;c3;;;1;c2, sp;;1;;;;1;;;;;;;;;;;
5075;123.838;41.242;101;3596.5;-895.5;2701;3;;;1;;;c3;;;1;icp, c1;1;;;;;;;;;;;;;;;;
5076;104.538;71.746;55;2160;-29.5;2130.5;4;;;;1;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5078;156.576;-35.471;11;483;-750;-267;;;;;;;;;;;c1;1;;;;;;;;;;;;;;;;
5079;117.771;-26.411;90;3174.5;-1629;1545.5;3;;;1;;;c3;;;1;icp;;;;;;;;;;;;;;;;;
5079;114.222;10.696;14;359.5;361.5;721;;;;;;;;;;;c3 (icp);;;1;1;;;;;;;;;;;;;
5080;119.107;27.157;10;406;1196.5;1602.5;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
5081;103.012;7.725;56;1917.5;-233;1684.5;2;;1;;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
5089;147.618;14.26;27;1757.5;900.5;2658;;;;;;;c3;;;1;c1, icp;1;;;1;;;;;;;;;;;;;
5099;140.767;-26.015;23;1727.5;-2258.5;-531;;;;;;;c2;;1;;icp;;;;;;;;;;;;;;;;;
5101;145.289;22.379;10;348;731.5;1079.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5105;155.628;4.716;17;345;621.5;966.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5106;159.14;15.154;8;67;521;588;;;;;;;;;;;icp;;;;;;;;;;;;;;;;;
5107;159.633;14.977;145;3330.5;-1411.5;1919;1;1;;;;;c1;1;;;imp;;;;;1;;;;;;;;;;;;
5108;159.739;15.143;37;2144;-264.5;1879.5;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;
5109;146.068;27.364;4;158.5;369.5;528;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5110;143.451;-29.88;119;2831;-2498;333;;;;;;;c2;;1;;sp;;;;;;1;;;;;;;;;;;
5111;139.358;-52.13;73;2417.5;-1411;1006.5;3;;;1;;;c2;;1;;icp, sp;;;;;;;;;;;;;;;;;
5111;104.892;-44.07;31;1614;-943.5;670.5;;;;;;;c3;;;1;c2, imp, sp;;1;;;1;1;;;;;;;;;;;
5112;147.548;-37.761;64;2278;-1167.5;1110.5;2;;1;;;;c1;1;;;imp;;;;;1;;;;;;;;;;;;
5113;134.763;-45.205;9;130.5;-491;-360.5;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
5113;108.575;-39.171;9;32.5;-391.5;-359;;;;;;;;;;;cfh (c1);;;;;;;1;;;;;;;;;;
6001;122.792;-44.651;41;1620;-1142;478;;;;;;;c3;;;1;cre;;;;;;;;;;;;;1;;;;
6003;123.442;-44.66;91;3310.5;-896.5;2414;3;;;1;;;c2;;1;;sp;;;;;;1;;;;;;;;;;;
6004;144.263;45.308;57;2252;-247;2005;3;;;1;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
6005;120.657;33.732;86;2509.5;-2594;-84.5;4;;;;1;;c3;;;1;sp, NF;;;;;;1;;;;;;;;;1;;
6006;109.735;39.6;63;2299.5;-199;2100.5;3;;;1;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
6008;120.853;-34.111;118;3490.5;-1279.5;2211;4;;;;1;;c3;;;1;cre;;;;;;;;;;;;;1;;;;
6010;138.547;-6.836;28;434.5;-636;-201.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6011;115.088;57.355;42;1825;-1644.5;180.5;;;;;;;c3;;;1;sp;;;;;;1;;;;;;;;;;;
