INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
111 (UE 355 INV 1);36;4.5;3;2;2;0.0498;
PAÑO (UE 175  INV: 23) ;23;4.9;1.8;1.6;1.5;0.0499;
111 (UE 355 INV 1);9;5;2;2;1.1;0.0499;
101 y 102 (UE 94 y 95  INV 94 y 95);61;4.8;2.5;2.2;1.9;0.0499;
114 (UE 167  INV 6);7;5.8;3.2;2;1.6;0.0499;
101 y 102 (UE 94 y 95  INV 94 y 95);59;5;2.1;2;1.2;0.05;
PAÑO (UE 175  INV: 23) ;60;5;2.1;2;1.5;0.0501;
PAÑO (UE 374  INV: 1);80;5.1;1.5;1.4;1;0.0502;
111 (UE 355 INV 1);24;4.5;2;1.8;1;0.0502;
PAÑO (UE 339  INV: 2);30;4.8;2;1.9;1.1;0.0502;
101 y 102 (UE 94 y 95  INV 94 y 95);69;4.1;2.7;2.1;2;0.0502;
108 (UE 95  INV 8);16;4.9;2.2;2;1.3;0.0503;
PAÑO (UE 374  INV: 1);58;4.8;3;2.7;2;0.0503;
 102 (UE 94  INVs: 89, 93, 90 y 88);69;4.4;2;1.2;1.7;0.0504;
110 (UE 361  INV 15);27;4.9;2.5;2.1;1.9;0.0504;
356 (UE 357);75;4.8;2.5;2.4;1.5;0.0504;
PAÑO (UE 175  INV: 23) ;17;4.9;3;2.1;2;0.0504;
PAÑO (UE 374  INV: 1);82;4.5;2;2;1.2;0.0506;
111 (UE 355 INV 1);3;5.1;2.1;2.1;1.1;0.0506;
 102 (UE 94  INVs: 89, 93, 90 y 88);85;4.5;2;1.8;1.8;0.0507;
PAÑO (UE 175  INV: 23) ;22;5;2.6;2.5;1.8;0.0507;
110 (UE 361  INV 15);45;4.9;4.2;2.8;2;0.0507;
111 (UE 355 INV 1);95;5;1.5;1.5;1.2;0.0508;
101 y 102 (UE 94 y 95  INV 94 y 95);42;5;2.9;2.3;1.5;0.0508;
105 (UE 105  INV: 3);45;5.5;2.9;2.1;1.9;0.0508;
101 y 102 (UE 94 y 95  INV 94 y 95);74;5;3.1;2.8;1.9;0.0508;
108 (UE 95  INV 8);34;4.5;1.9;2.3;2.1;0.0509;
101 y 102 (UE 94 y 95  INV 94 y 95);31;4.9;2;2;1.7;0.0509;
PAÑO (UE 175  INV: 23) ;30;5.1;3;2;1.7;0.051;
101 y 102 (UE 94 y 95  INV 94 y 95);44;4.5;2;1.9;1.8;0.0511;
 102 (UE 94  INVs: 89, 93, 90 y 88);39;5;2.8;1.9;1.4;0.0511;
PAÑO (UE 175  INV: 23) ;61;4.8;3.1;2.5;2;0.0511;
 102 (UE 94  INVs: 89, 93, 90 y 88);19;5;2.2;2.1;1.7;0.0512;
101 y 102 (UE 94 y 95  INV 94 y 95);85;5;2.2;2;1.5;0.0512;
PAÑO (UE 339  INV: 2);86;4.8;2.5;2;1.7;0.0512;
PAÑO (UE 339  INV: 2);88;5;2.5;2;1.4;0.0512;
105 (UE 105  INV: 3);60;5.8;3;2;1.8;0.0513;
111 (UE 355 INV 1);22;4.2;2;1.8;1.5;0.0514;
PAÑO (UE 175  INV: 23) ;93;4.5;2.2;2;1.7;0.0514;
111 (UE 355 INV 1);55;4.8;2.8;2.7;1.9;0.0514;
 102 (UE 94  INVs: 89, 93, 90 y 88);36;5.8;2;1.8;1.9;0.0516;
356 (UE 357);54;5.1;2.4;2.1;1.2;0.0516;
114 (UE 167  INV 6);51;6;1.2;1.2;1;0.0517;
356 (UE 357);47;5;1.2;1.1;1;0.0517;
104 (UE 104  INV: 3);45;5.7;3.5;2.5;1.8;0.0517;
PAÑO (UE 374  INV: 1);37;4.6;1.9;1.9;1.3;0.0518;
103 (UE 163  INV 16);8;5.3;2.1;2.1;1.8;0.0518;
PAÑO (UE 175  INV: 23) ;40;4.7;2.1;2;1.5;0.0518;
103 (UE 163  INV 16);54;5.2;3;1.9;1.2;0.0518;
PAÑO (UE 339  INV: 2);47;5;3;2.6;1.8;0.0518;
PAÑO (UE 374  INV: 1);5;4.8;2;2;1.8;0.0519;
356 (UE 357);76;5;2.3;2.2;1.2;0.0519;
101 y 102 (UE 94 y 95  INV 94 y 95);65;5;3;2.3;1.4;0.052;
PAÑO (UE 374  INV: 1);27;5.6;2;2;1.9;0.0521;
110 (UE 361  INV 15);62;5.5;2.5;1.2;1.1;0.0521;
PAÑO (UE 339  INV: 2);65;4.9;2.5;2.1;1.5;0.0521;
356 (UE 357);67;5.7;3;2.5;1.5;0.0521;
PAÑO (UE 339  INV: 2);33;5;2.8;2.8;1.9;0.0522;
103 (UE 163  INV 16);84;5.2;3.1;2.1;1.8;0.0525;
110 (UE 361  INV 15);99;4.8;1.8;1.7;1.1;0.0527;
104 (UE 104  INV: 3);19;5;2.5;2;1.2;0.0527;
 102 (UE 94  INVs: 89, 93, 90 y 88);56;5;1.8;1.7;1.3;0.0528;
 102 (UE 94  INVs: 89, 93, 90 y 88);29;5.9;2.4;2.1;1.9;0.0528;
110 (UE 361  INV 15);61;4.9;2.5;2.1;2;0.0529;
105 (UE 105  INV: 3);70;5;1.2;1.2;1;0.053;
PAÑO (UE 175  INV: 24) ;59;4.9;2;2;2;0.053;
PAÑO (UE 175  INV: 24) ;76;4.8;1.2;1.2;1.2;0.0531;
110 (UE 361  INV 15);75;6;1.4;1.1;1;0.0531;
110 (UE 361  INV 15);84;4.5;1.8;1.7;1.5;0.0531;
108 (UE 95  INV 8);38;4.5;2.9;2.8;1.8;0.0531;
PAÑO (UE 175  INV: 23) ;21;4.5;3;2.3;2.2;0.0531;
114 (UE 167  INV 6);79;5.8;1.8;1.4;1.1;0.0532;
110 (UE 361  INV 15);21;5.8;2;2;1.5;0.0532;
101 y 102 (UE 94 y 95  INV 94 y 95);12;4.9;2.5;2.1;1.7;0.0532;
114 (UE 167  INV 6);78;5.1;1.5;1.2;1.1;0.0533;
PAÑO (UE 339  INV: 2);8;4.5;1.9;1.8;1.8;0.0533;
PAÑO (UE 374  INV: 1);52;5.2;2;1.8;1.8;0.0533;
356 (UE 357);1;5.9;2.8;2.5;1.8;0.0533;
104 (UE 104  INV: 3);70;5;2.1;2;1.5;0.0534;
108 (UE 95  INV 8);61;4.9;2.8;2.4;1.7;0.0535;
356 (UE 357);93;4.5;1.8;1.5;1.1;0.0536;
110 (UE 361  INV 15);58;5;2.2;2.1;1.9;0.0536;
110 (UE 361  INV 15);68;5.2;2.2;2.1;1.9;0.0536;
104 (UE 104  INV: 3);48;5.8;2.5;2.1;1;0.0537;
PAÑO (UE 339  INV: 2);87;4.9;2.5;2.2;1.1;0.0537;
114 (UE 167  INV 6);89;5.1;1.3;1.2;1.3;0.0538;
101 y 102 (UE 94 y 95  INV 94 y 95);18;5.2;2.5;2.1;1.9;0.0538;
PAÑO (UE 339  INV: 2);79;5.1;2;2;1.1;0.0539;
101 y 102 (UE 94 y 95  INV 94 y 95);14;4.9;2.1;2;1.8;0.0539;
PAÑO (UE 374  INV: 1);96;4.7;2.2;2;2.3;0.0539;
105 (UE 105  INV: 3);66;5;2.8;2;3.1;0.054;
PAÑO (UE 175  INV: 23) ;54;5.1;2.9;2.1;1.2;0.054;
PAÑO (UE 374  INV: 1);72;5.9;1.3;1.3;1;0.0541;
PAÑO (UE 175  INV: 23) ;49;5;3;2.7;1.8;0.0541;
PAÑO (UE 175  INV: 23) ;66;5;3;2.1;1.9;0.0543;
114 (UE 167  INV 6);16;5.7;1.5;1.5;1.1;0.0544;
110 (UE 361  INV 15);65;5;3;2.6;1.1;0.0544;
343 (UE 344  INV 1);26;5;1;1;1.1;0.0545;
PAÑO (UE 374  INV: 1);2;5;1.2;1.2;1.1;0.0545;
114 (UE 167  INV 6);50;5.2;2;1.8;1.2;0.0545;
108 (UE 95  INV 8);98;5;3.8;2.2;1.9;0.0546;
105 (UE 105  INV: 3);98;5;2;1.5;1.2;0.0547;
PAÑO (UE 175  INV: 23) ;9;5.2;2.9;2.3;1.4;0.0547;
105 (UE 105  INV: 3);50;5.8;2.8;2.5;1.5;0.0548;
PAÑO (UE 374  INV: 1);28;5.8;2.2;2.1;1.3;0.0549;
PAÑO (UE 175  INV: 23) ;56;4.9;3;2.3;1.8;0.0549;
PAÑO (UE 175  INV: 24) ;15;4.9;3;2;2;0.055;
356 (UE 357);49;4.1;2;1.8;1.8;0.0551;
104 (UE 104  INV: 3);61;5.5;2.5;2;1.5;0.0551;
PAÑO (UE 175  INV: 23) ;62;5.1;2.7;2.5;1.7;0.0551;
104 (UE 104  INV: 3);36;5.4;4;2.1;1.6;0.0551;
103 (UE 163  INV 16);39;4.9;3;2.9;1.9;0.0552;
PAÑO (UE 374  INV: 1);19;6;2.1;2;1.2;0.0553;
114 (UE 167  INV 6);15;5.5;2.5;2;2;0.0553;
104 (UE 104  INV: 3);34;6;2.8;2.4;1.9;0.0554;
105 (UE 105  INV: 3);37;6;3;2;1.7;0.0554;
103 (UE 163  INV 16);7;5;3.1;2.2;2.2;0.0554;
110 (UE 361  INV 15);93;4.5;1.5;1.2;1.5;0.0555;
111 (UE 355 INV 1);20;5;1.6;1.5;1;0.0555;
PAÑO (UE 175  INV: 23) ;78;5;2.1;2;1.1;0.0555;
PAÑO (UE 374  INV: 1);12;5;2.5;2;1.8;0.0555;
PAÑO (UE 374  INV: 1);47;4.1;2;2;1.8;0.0556;
104 (UE 104  INV: 3);23;4.8;2.2;2.2;1.8;0.0556;
343 (UE 344  INV 1);41;4.5;1.3;1.2;1.2;0.0557;
114 (UE 167  INV 6);27;5;3;2;1.1;0.0558;
343 (UE 344  INV 1);93;5;1.2;1.1;1;0.0559;
101 y 102 (UE 94 y 95  INV 94 y 95);35;5;3;2;2.1;0.0559;
103 (UE 163  INV 16);9;5;3.1;2.9;1.8;0.0559;
PAÑO (UE 175  INV: 24) ;10;6;3.7;2;1.7;0.0559;
PAÑO (UE 374  INV: 1);25;5.8;2;1.8;1.1;0.0561;
104 (UE 104  INV: 3);1;5.5;3;2;1.2;0.0561;
110 (UE 361  INV 15);26;5.5;2.7;2.5;1.7;0.0562;
104 (UE 104  INV: 3);47;4.9;2.8;2.5;1.8;0.0562;
PAÑO (UE 175  INV: 23) ;82;5;2;1.5;1.2;0.0563;
110 (UE 361  INV 15);87;5.3;2.8;2.1;1.7;0.0564;
103 (UE 163  INV 16);53;5.1;3;2.1;1.8;0.0564;
103 (UE 163  INV 16);73;4.9;3.2;3;2.1;0.0564;
114 (UE 167  INV 6);34;5.5;2;1.8;2;0.0566;
343 (UE 344  INV 1);56;5.1;3;3;1.9;0.0566;
343 (UE 344  INV 1);79;4.5;1.5;1.5;1.5;0.0567;
PAÑO (UE 339  INV: 2);73;5;2.1;2;2;0.0567;
PAÑO (UE 175  INV: 23) ;2;4.1;2;1.9;2.1;0.0569;
PAÑO (UE 175  INV: 23) ;5;4.8;2.6;2.4;1.5;0.0569;
103 (UE 163  INV 16);37;6;3.1;2;1.1;0.057;
105 (UE 105  INV: 3);77;5.5;1.2;1.2;1.6;0.0571;
111 (UE 355 INV 1);42;5;2.3;2.2;1.8;0.0571;
 102 (UE 94  INVs: 89, 93, 90 y 88);60;5.9;2;1.9;2;0.0572;
PAÑO (UE 175  INV: 24) ;29;4.2;2.5;2;1.8;0.0572;
PAÑO (UE 374  INV: 1);89;5;2;2;1.5;0.0573;
PAÑO (UE 339  INV: 2);81;5.2;2.9;2.8;1.5;0.0573;
 102 (UE 94  INVs: 89, 93, 90 y 88);42;4.5;1.4;1.2;1.7;0.0574;
111 (UE 355 INV 1);13;5.5;2.5;1.2;1.2;0.0575;
103 (UE 163  INV 16);52;6;2.8;2;1.9;0.0576;
103 (UE 163  INV 16);100;5.2;3;2;1.2;0.0576;
PAÑO (UE 374  INV: 1);61;5.2;3;2.6;1.7;0.0576;
PAÑO (UE 339  INV: 2);43;5.1;2.1;2;1.3;0.0577;
101 y 102 (UE 94 y 95  INV 94 y 95);6;4.8;2.2;2;1.7;0.0577;
111 (UE 355 INV 1);46;5;2.7;2.5;1.1;0.0577;
356 (UE 357);56;5;2.7;2.5;1.4;0.0578;
PAÑO (UE 175  INV: 24) ;51;4.8;2.8;2.1;1.9;0.0578;
356 (UE 357);42;4.5;1.8;1.5;1.1;0.0579;
111 (UE 355 INV 1);34;4.9;2.9;2.7;2;0.0579;
PAÑO (UE 175  INV: 24) ;43;5.9;3.5;2.1;1.8;0.0579;
356 (UE 357);35;5;2;1.8;1.3;0.058;
PAÑO (UE 339  INV: 2);70;5;2.2;2;1.2;0.058;
110 (UE 361  INV 15);86;5;2.2;2.1;2;0.0581;
PAÑO (UE 374  INV: 1);6;5.1;1.2;1.2;1;0.0582;
PAÑO (UE 374  INV: 1);44;5.5;1.7;1.3;1;0.0582;
114 (UE 167  INV 6);42;5.1;3;2;1.8;0.0582;
PAÑO (UE 374  INV: 1);24;5.1;2.7;2.4;1.7;0.0583;
356 (UE 357);68;5.2;3.7;2.9;2.1;0.0583;
103 (UE 163  INV 16);41;5.9;3.8;2.1;1.8;0.0584;
105 (UE 105  INV: 3);7;5;2.5;1.5;1.1;0.0585;
103 (UE 163  INV 16);36;5.9;3;2.1;1.9;0.0585;
111 (UE 355 INV 1);90;4.8;2.2;2;1.5;0.0586;
PAÑO (UE 339  INV: 2);20;5.9;2.8;2.7;1.8;0.0586;
103 (UE 163  INV 16);80;5.9;3;2.9;1.5;0.0586;
110 (UE 361  INV 15);46;5.8;3;2.5;1.4;0.0586;
104 (UE 104  INV: 3);68;5.5;1.7;1.7;1;0.0587;
110 (UE 361  INV 15);7;5.7;3;2.4;1.8;0.0587;
101 y 102 (UE 94 y 95  INV 94 y 95);34;4.9;2;2;1.9;0.0588;
PAÑO (UE 175  INV: 24) ;72;6;2;2;1.1;0.0588;
111 (UE 355 INV 1);80;4.5;2.3;2.1;2;0.0588;
114 (UE 167  INV 6);32;5.5;2;1.5;1;0.0589;
104 (UE 104  INV: 3);56;6;3;2.8;1.3;0.0589;
PAÑO (UE 175  INV: 24) ;81;5.1;1.8;1.5;1.1;0.0591;
111 (UE 355 INV 1);44;5;2.4;2.2;1.9;0.0593;
101 y 102 (UE 94 y 95  INV 94 y 95);24;5;1.9;1.2;1.4;0.0594;
114 (UE 167  INV 6);23;5;2;1.1;1.1;0.0594;
PAÑO (UE 374  INV: 1);70;5;2.5;2.5;1.8;0.0594;
PAÑO (UE 339  INV: 2);25;4.9;2.7;2.5;2.1;0.0594;
PAÑO (UE 339  INV: 2);45;5.8;2.9;2.3;1.5;0.0594;
PAÑO (UE 339  INV: 2);17;4.5;2;2;1.2;0.0595;
110 (UE 361  INV 15);83;5;2;1.9;1.1;0.0596;
104 (UE 104  INV: 3);16;5;2;1.5;2.8;0.0596;
343 (UE 344  INV 1);83;5;2;1.5;1.5;0.0597;
 102 (UE 94  INVs: 89, 93, 90 y 88);25;4.8;2.4;2;2;0.0597;
PAÑO (UE 175  INV: 24) ;98;4.9;2.5;2;2;0.0597;
PAÑO (UE 175  INV: 23) ;38;4.9;3.1;2.8;2;0.0597;
105 (UE 105  INV: 3);13;6;1.8;1.8;1.1;0.0598;
PAÑO (UE 339  INV: 2);18;4.2;2;2;1.8;0.0598;
356 (UE 357);32;4;2.5;1.8;2;0.0598;
PAÑO (UE 175  INV: 24) ;61;5;3.4;2.5;1.8;0.0598;
PAÑO (UE 175  INV: 23) ;100;4;2.2;2;2.1;0.0599;
111 (UE 355 INV 1);77;5;2.5;2.1;1.9;0.0599;
111 (UE 355 INV 1);73;4.5;1.8;1.5;1.1;0.06;
103 (UE 163  INV 16);28;5.8;2.4;2.1;1.3;0.06;
103 (UE 163  INV 16);59;6;2.5;2;1.2;0.06;
111 (UE 355 INV 1);32;5;2;2;1.2;0.0601;
104 (UE 104  INV: 3);41;6;3;2;1.8;0.0601;
356 (UE 357);15;5.1;2.9;2;1.1;0.0602;
105 (UE 105  INV: 3);80;5;3.5;2;1.2;0.0602;
111 (UE 355 INV 1);75;5;2.1;2;1.8;0.0603;
PAÑO (UE 339  INV: 2);48;5.2;2.2;2.1;1.5;0.0604;
103 (UE 163  INV 16);90;5.8;3.2;2.8;1.9;0.0605;
103 (UE 163  INV 16);89;6;3.9;2.5;1.6;0.0605;
PAÑO (UE 339  INV: 2);85;5.7;4.8;2.5;1.9;0.0605;
343 (UE 344  INV 1);33;5;1.2;1.2;1.2;0.0606;
104 (UE 104  INV: 3);10;5.3;2.9;1.1;1.2;0.0606;
PAÑO (UE 175  INV: 24) ;35;4.8;2.1;2.1;1.8;0.0607;
111 (UE 355 INV 1);47;4.8;2.4;2.1;2;0.0607;
PAÑO (UE 175  INV: 23) ;50;5.8;2.4;2;1.1;0.0607;
110 (UE 361  INV 15);31;5.7;2.8;2;1.2;0.0607;
101 y 102 (UE 94 y 95  INV 94 y 95);25;4.8;2;1.9;1.9;0.0608;
PAÑO (UE 175  INV: 23) ;7;5.1;2;1.7;1.2;0.0608;
104 (UE 104  INV: 3);14;5.5;2;1.5;1;0.0609;
108 (UE 95  INV 8);19;4.9;2.1;2;1.7;0.0609;
PAÑO (UE 374  INV: 1);65;5.9;3.6;2;1.4;0.0609;
PAÑO (UE 339  INV: 2);42;5.2;4;3;1.9;0.0609;
356 (UE 357);11;5.7;2.3;2.1;1.6;0.061;
103 (UE 163  INV 16);46;5.3;3.1;2.5;1.7;0.061;
105 (UE 105  INV: 3);16;5.2;1.8;1.8;1.1;0.0611;
108 (UE 95  INV 8);5;6.1;2.8;2;1.5;0.0611;
111 (UE 355 INV 1);67;4.8;3;2.9;2;0.0612;
PAÑO (UE 175  INV: 23) ;89;5.5;2;1.8;1.1;0.0613;
101 y 102 (UE 94 y 95  INV 94 y 95);19;4.8;2.5;2.3;2.1;0.0613;
343 (UE 344  INV 1);66;5.1;2.5;2;1.7;0.0613;
114 (UE 167  INV 6);58;5.6;2;1.8;1.5;0.0614;
343 (UE 344  INV 1);22;5.8;2;2;1.2;0.0614;
PAÑO (UE 175  INV: 24) ;50;5.5;2.1;2;1.2;0.0614;
114 (UE 167  INV 6);45;6;2.8;1.6;1.2;0.0614;
111 (UE 355 INV 1);78;5;2.2;2.1;1.5;0.0616;
PAÑO (UE 339  INV: 2);7;5;1.8;1.8;1.2;0.0617;
110 (UE 361  INV 15);98;4.6;2;1.9;2;0.0617;
PAÑO (UE 374  INV: 1);57;5.8;3;2.4;2;0.0617;
105 (UE 105  INV: 3);76;5.1;1.5;1.5;1.1;0.0618;
PAÑO (UE 339  INV: 2);6;4.8;2.5;2;1.8;0.0618;
 102 (UE 94  INVs: 89, 93, 90 y 88);81;5;2.8;2.2;2;0.0618;
PAÑO (UE 374  INV: 1);87;5;2;1.5;1.3;0.0619;
PAÑO (UE 339  INV: 2);90;4.9;2.8;2;2;0.0619;
110 (UE 361  INV 15);34;5.8;3;2.1;1.8;0.0619;
105 (UE 105  INV: 3);95;5.1;2;1.5;1;0.062;
111 (UE 355 INV 1);12;4.5;1.5;1.2;1.1;0.0621;
101 y 102 (UE 94 y 95  INV 94 y 95);77;4.9;1.9;1.5;1.5;0.0621;
104 (UE 104  INV: 3);62;5;2;1.8;1;0.0621;
343 (UE 344  INV 1);99;4.5;2.1;1.8;1.5;0.0621;
356 (UE 357);70;4.9;2.1;2.1;1.7;0.0622;
111 (UE 355 INV 1);79;4.9;2.5;2.1;1.9;0.0622;
110 (UE 361  INV 15);3;4.9;2.7;2;1.8;0.0622;
108 (UE 95  INV 8);83;6.2;2.8;2.7;1.2;0.0622;
PAÑO (UE 175  INV: 23) ;94;4.5;2;1.5;2;0.0623;
101 y 102 (UE 94 y 95  INV 94 y 95);80;5.2;2.5;2.2;1.7;0.0623;
 102 (UE 94  INVs: 89, 93, 90 y 88);51;5.9;1.4;1.2;1;0.0624;
PAÑO (UE 175  INV: 24) ;65;4;1.8;1.8;2.1;0.0624;
111 (UE 355 INV 1);27;5;1.9;1.7;1.2;0.0624;
111 (UE 355 INV 1);91;5;2.3;2;2;0.0624;
343 (UE 344  INV 1);49;5.9;2.5;2.1;1;0.0624;
105 (UE 105  INV: 3);48;5.8;3;2;3;0.0624;
103 (UE 163  INV 16);18;5.5;2.2;2;1.2;0.0625;
111 (UE 355 INV 1);17;4.5;2;1.8;1.1;0.0626;
114 (UE 167  INV 6);81;6;1.5;1.2;1;0.0628;
343 (UE 344  INV 1);38;5;1.8;1.8;1.9;0.0628;
356 (UE 357);31;5;2;1.8;1.2;0.0628;
PAÑO (UE 339  INV: 2);69;4.9;2;1.8;1.2;0.0628;
PAÑO (UE 374  INV: 1);88;4.8;2;2;1.3;0.0628;
PAÑO (UE 339  INV: 2);31;5;2.1;2;2;0.0628;
104 (UE 104  INV: 3);67;5.1;2.2;1.5;1.3;0.0628;
110 (UE 361  INV 15);54;5.9;3;2.6;1.5;0.0628;
343 (UE 344  INV 1);42;5;1.8;1.8;1.3;0.0629;
343 (UE 344  INV 1);60;5.9;2;2;1;0.0629;
PAÑO (UE 339  INV: 2);56;4.2;2;1.8;1.2;0.0629;
104 (UE 104  INV: 3);35;5.8;2.3;2.1;1.8;0.0629;
PAÑO (UE 339  INV: 2);54;5;2.3;2;1.3;0.0629;
PAÑO (UE 175  INV: 24) ;49;5;2.3;2;2;0.063;
PAÑO (UE 374  INV: 1);45;5;1.9;1.8;1.5;0.0631;
111 (UE 355 INV 1);65;4.8;2.1;2;1.9;0.0631;
104 (UE 104  INV: 3);30;5.9;3.1;2;1.9;0.0631;
356 (UE 357);55;6;2.3;2.1;1.1;0.0632;
PAÑO (UE 339  INV: 2);49;4.9;2.7;2;1.8;0.0632;
114 (UE 167  INV 6);17;5.2;1.8;1.7;1.1;0.0633;
PAÑO (UE 339  INV: 2);95;5;2.5;2.5;1.3;0.0634;
114 (UE 167  INV 6);56;5.8;2.6;1.7;1.8;0.0634;
PAÑO (UE 175  INV: 24) ;23;5.9;2.6;2.2;1.9;0.0635;
105 (UE 105  INV: 3);75;5.3;1.2;1.2;1.2;0.0638;
105 (UE 105  INV: 3);96;5.1;2;1.5;1.1;0.0638;
PAÑO (UE 374  INV: 1);15;5.4;2.5;2.4;1.7;0.0638;
PAÑO (UE 374  INV: 1);93;5.9;2.5;2.3;1.9;0.0639;
PAÑO (UE 339  INV: 2);78;5.1;2;2;1.8;0.064;
PAÑO (UE 175  INV: 23) ;74;5;4;3.5;2.4;0.064;
103 (UE 163  INV 16);15;5.5;2;2;1.9;0.0641;
PAÑO (UE 175  INV: 24) ;22;5.8;2.9;2;1.3;0.0641;
PAÑO (UE 374  INV: 1);22;5;2;2;1.8;0.0642;
343 (UE 344  INV 1);82;4.5;1.8;1.5;1.5;0.0643;
PAÑO (UE 374  INV: 1);40;4.8;2.2;2;1.8;0.0643;
104 (UE 104  INV: 3);54;6.1;4;2;2;0.0643;
 102 (UE 94  INVs: 89, 93, 90 y 88);73;6.1;1.4;1.2;1.2;0.0644;
104 (UE 104  INV: 3);59;5.8;2.9;2.4;1.9;0.0644;
PAÑO (UE 175  INV: 23) ;64;5.5;3;2.5;1.7;0.0645;
PAÑO (UE 339  INV: 2);1;5;1.8;1.8;1.5;0.0646;
PAÑO (UE 175  INV: 23) ;39;5;2.9;2.6;2;0.0646;
PAÑO (UE 339  INV: 2);77;5;2.2;2;2;0.0647;
PAÑO (UE 175  INV: 23) ;13;5.1;3;2.1;1.9;0.0647;
103 (UE 163  INV 16);35;5.1;3.2;2.3;1.9;0.0647;
108 (UE 95  INV 8);20;6;2.2;1.8;1.3;0.0648;
104 (UE 104  INV: 3);33;5.8;3.7;2.2;1.9;0.0648;
PAÑO (UE 374  INV: 1);36;5.3;1.2;1.2;1.1;0.0649;
PAÑO (UE 175  INV: 24) ;79;5.5;2;1;1.1;0.065;
108 (UE 95  INV 8);21;5.9;3;2;1.5;0.0651;
PAÑO (UE 374  INV: 1);26;6;3;3;1.8;0.0651;
PAÑO (UE 339  INV: 2);15;4.8;2;2;1.8;0.0652;
105 (UE 105  INV: 3);65;6;2;1.5;1;0.0653;
PAÑO (UE 339  INV: 2);11;5;2;1.5;1.2;0.0653;
110 (UE 361  INV 15);52;5.8;3;2.8;2;0.0653;
PAÑO (UE 374  INV: 1);55;5.2;3.1;3;1.9;0.0654;
111 (UE 355 INV 1);58;4.9;2.7;2.4;2;0.0655;
114 (UE 167  INV 6);44;5.4;1.5;1.1;1;0.0656;
114 (UE 167  INV 6);5;5.6;1.8;1.6;2;0.0656;
356 (UE 357);88;5;2.7;2.3;1.9;0.0657;
105 (UE 105  INV: 3);74;5.2;2;1.8;1.2;0.0658;
105 (UE 105  INV: 3);43;6;3.1;2.1;2;0.0658;
PAÑO (UE 339  INV: 2);74;5;2;1.1;1.6;0.0659;
101 y 102 (UE 94 y 95  INV 94 y 95);79;4.9;2.3;2.2;2;0.066;
PAÑO (UE 339  INV: 2);4;4;2.5;2.2;2.2;0.066;
101 y 102 (UE 94 y 95  INV 94 y 95);41;4.9;3.8;3;2;0.066;
343 (UE 344  INV 1);81;5.4;1.3;1.1;1;0.0661;
356 (UE 357);85;5.9;2.1;1.9;1.6;0.0664;
103 (UE 163  INV 16);92;5.5;3;2.1;2;0.0664;
105 (UE 105  INV: 3);68;5.5;3;1.2;1.8;0.0664;
114 (UE 167  INV 6);28;5;2;2;1.2;0.0665;
111 (UE 355 INV 1);56;4.8;2.8;2.1;2;0.0665;
356 (UE 357);64;6;2.9;2.8;1.9;0.0665;
114 (UE 167  INV 6);13;6;2;1.2;1;0.0666;
114 (UE 167  INV 6);82;5.1;2;1.2;1.1;0.0666;
356 (UE 357);73;5.9;3;2.5;1.6;0.0666;
 102 (UE 94  INVs: 89, 93, 90 y 88);5;5;2.8;2'1;1.9;0.0666;
104 (UE 104  INV: 3);60;5.9;2;2;2;0.0667;
108 (UE 95  INV 8);56;6;3;2.1;1.7;0.0667;
108 (UE 95  INV 8);72;6;6;2;1.8;0.0667;
PAÑO (UE 374  INV: 1);13;5;2.2;1.9;1.2;0.0668;
111 (UE 355 INV 1);48;5;2.9;2.8;1.8;0.0668;
343 (UE 344  INV 1);11;5.2;3;2.2;1.9;0.0668;
343 (UE 344  INV 1);92;5;1.8;1;1.1;0.0669;
114 (UE 167  INV 6);38;5;2.1;2;1.9;0.0669;
104 (UE 104  INV: 3);51;5.9;2.8;1.9;1.9;0.067;
356 (UE 357);72;5.1;2.9;2.9;1.5;0.067;
111 (UE 355 INV 1);21;5;1.8;1.2;1.1;0.0671;
343 (UE 344  INV 1);54;5.5;2.1;2.1;1.1;0.0671;
356 (UE 357);13;5.8;2.9;2.2;1.1;0.0672;
PAÑO (UE 374  INV: 1);43;5;2.8;2.5;1.5;0.0673;
343 (UE 344  INV 1);96;4.5;1.2;1.1;1.1;0.0674;
PAÑO (UE 374  INV: 1);63;5;3;2.7;2;0.0674;
343 (UE 344  INV 1);48;5.8;3.9;3.2;1.8;0.0675;
 102 (UE 94  INVs: 89, 93, 90 y 88);49;5.8;1.8;1.4;1.2;0.0677;
103 (UE 163  INV 16);50;4.9;3.9;3.2;2.5;0.0677;
111 (UE 355 INV 1);86;5.2;2.2;2.1;1.6;0.0678;
108 (UE 95  INV 8);67;5.5;3.1;2.1;2;0.0678;
356 (UE 357);34;5.1;1.8;1.7;1;0.0679;
PAÑO (UE 339  INV: 2);12;4.8;2;1.5;1.8;0.068;
PAÑO (UE 339  INV: 2);57;5;2.2;2;1.8;0.068;
101 y 102 (UE 94 y 95  INV 94 y 95);54;5.5;2.3;2;1.1;0.068;
PAÑO (UE 175  INV: 24) ;26;5.5;2.8;2;1.9;0.068;
 102 (UE 94  INVs: 89, 93, 90 y 88);76;6;2.9;2.2;1.3;0.068;
