INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
110 (UE 361  INV 15);44;4.5;2.2;1.9;1.3;0.0318;
PAÑO (UE 374  INV: 1);21;5;2.3;2;1.2;0.0318;
114 (UE 167  INV 6);29;4;2.1;2;1.1;0.0322;
PAÑO (UE 374  INV: 1);38;4.1;2;1.5;1.1;0.0323;
108 (UE 95  INV 8);32;5;3.2;2.9;0.9;0.0323;
108 (UE 95  INV 8);8;4.5;2.4;1.9;1;0.0324;
101 y 102 (UE 94 y 95  INV 94 y 95);38;4.9;1.9;1.8;1.1;0.0325;
101 y 102 (UE 94 y 95  INV 94 y 95);75;5;2;2;0.9;0.0326;
101 y 102 (UE 94 y 95  INV 94 y 95);43;4.9;2.1;1.9;1.4;0.0327;
111 (UE 355 INV 1);88;4.5;2.8;2.6;1.3;0.0327;
103 (UE 163  INV 16);47;4.8;3.8;2.8;1.7;0.0327;
110 (UE 361  INV 15);1;5.7;2.2;2;0.9;0.0329;
PAÑO (UE 374  INV: 1);50;5.5;1.2;1.1;1;0.033;
PAÑO (UE 374  INV: 1);42;4.2;2;1.5;1.5;0.033;
108 (UE 95  INV 8);64;4.9;3.8;2.2;1;0.0331;
PAÑO (UE 374  INV: 1);74;4.2;1.3;1.1;1;0.0332;
101 y 102 (UE 94 y 95  INV 94 y 95);62;5;2.1;2;1;0.0334;
111 (UE 355 INV 1);70;4.5;3.1;1.9;1.3;0.0334;
101 y 102 (UE 94 y 95  INV 94 y 95);45;4.1;2.2;1.9;1.2;0.0335;
PAÑO (UE 339  INV: 2);71;4.5;1.3;1.2;1.1;0.0336;
101 y 102 (UE 94 y 95  INV 94 y 95);13;3.5;2.1;2;1.4;0.0336;
104 (UE 104  INV: 3);39;4.2;2.3;2;1;0.0336;
101 y 102 (UE 94 y 95  INV 94 y 95);68;5;2;1.9;0.9;0.0337;
PAÑO (UE 175  INV: 23) ;76;3.5;1.8;1.8;1.5;0.0338;
PAÑO (UE 175  INV: 24) ;56;4.9;3.1;2.8;1.5;0.0338;
103 (UE 163  INV 16);29;4.9;3;3;1.9;0.0339;Se ha roto antes de pesarla
PAÑO (UE 374  INV: 1);60;4.8;2;2;1.9;0.034;
103 (UE 163  INV 16);61;6;3.5;2;2.2;0.034;
 102 (UE 94  INVs: 89, 93, 90 y 88);65;4.9;2;1.9;1;0.0341;
110 (UE 361  INV 15);81;5.1;2;1.8;1;0.0342;
103 (UE 163  INV 16);43;4.9;2.1;2;1.1;0.0342;
111 (UE 355 INV 1);53;4.9;2.5;2.2;1.1;0.0343;
114 (UE 167  INV 6);93;5.8;1.8;1.8;1;0.0344;
PAÑO (UE 175  INV: 23) ;81;4;1.2;1.2;1;0.0345;
PAÑO (UE 175  INV: 23) ;91;4;1;0.9;1;0.0346;
108 (UE 95  INV 8);33;4.9;2.5;2.2;0.9;0.0346;
111 (UE 355 INV 1);76;4.5;2;1.8;1;0.0347;
101 y 102 (UE 94 y 95  INV 94 y 95);36;4.9;3;2.4;1.5;0.0347;
111 (UE 355 INV 1);61;5.9;2.1;2;1.1;0.0349;
110 (UE 361  INV 15);5;4.9;2.9;2.1;1.8;0.0349;
101 y 102 (UE 94 y 95  INV 94 y 95);72;5;1.9;1.8;0.9;0.0351;
110 (UE 361  INV 15);20;5.4;3;2;1.3;0.0352;
101 y 102 (UE 94 y 95  INV 94 y 95);26;4.9;2.3;2;1.3;0.0353;
114 (UE 167  INV 6);35;5.1;1.1;1;1.1;0.0354;
114 (UE 167  INV 6);76;5;2;1.8;1.6;0.0354;
PAÑO (UE 374  INV: 1);31;4.5;2.8;2;1.5;0.0355;
PAÑO (UE 339  INV: 2);9;4.5;2.2;2.2;1.1;0.0356;
101 y 102 (UE 94 y 95  INV 94 y 95);1;6;1.3;1.3;0.9;0.0358;
101 y 102 (UE 94 y 95  INV 94 y 95);78;4.1;2.1;1.7;1.5;0.0359;
PAÑO (UE 374  INV: 1);98;4.1;2.3;2.1;1.7;0.0359;
110 (UE 361  INV 15);16;4.9;2.4;2.2;1.1;0.0359;
103 (UE 163  INV 16);3;5;2.9;2;0.9;0.036;
PAÑO (UE 175  INV: 24) ;9;4.1;3;2.3;1.9;0.0362;
101 y 102 (UE 94 y 95  INV 94 y 95);2;4.2;3.2;3;1.7;0.0363;
101 y 102 (UE 94 y 95  INV 94 y 95);88;4.1;2.1;2;1.2;0.0364;
111 (UE 355 INV 1);92;5;2.2;2;1.2;0.0367;
103 (UE 163  INV 16);48;5;3;2.4;1.2;0.0367;
103 (UE 163  INV 16);94;4.8;3.2;3;2;0.0367;
356 (UE 357);92;4;1.1;1;0.9;0.037;
PAÑO (UE 374  INV: 1);23;6;2;1.9;1.3;0.037;
108 (UE 95  INV 8);25;4.9;2.8;2;1.2;0.037;
PAÑO (UE 374  INV: 1);18;4.5;2.6;2;1.9;0.0372;
110 (UE 361  INV 15);72;4.3;3;2;1.8;0.0372;
PAÑO (UE 175  INV: 23) ;36;4.8;2.5;2.1;1.5;0.0373;
101 y 102 (UE 94 y 95  INV 94 y 95);67;4;2;1.9;1.5;0.0374;
PAÑO (UE 175  INV: 24) ;16;4.8;3;2;1.4;0.0375;
114 (UE 167  INV 6);69;5.6;2.2;2.1;1.6;0.0376;
110 (UE 361  INV 15);29;4.9;2.5;2.2;1.7;0.0376;
110 (UE 361  INV 15);90;4.5;2.8;2;1.2;0.0376;
PAÑO (UE 374  INV: 1);8;5;1.8;1.8;1.1;0.0377;
111 (UE 355 INV 1);52;4.9;2.7;2.2;1.2;0.0377;
108 (UE 95  INV 8);6;5;3;2.2;1.9;0.0378;
110 (UE 361  INV 15);55;4.9;4;3;1.3;0.0378;
105 (UE 105  INV: 3);38;5;2.1;2;1.1;0.0379;
101 y 102 (UE 94 y 95  INV 94 y 95);91;4.1;2.1;1.8;1.9;0.038;
108 (UE 95  INV 8);74;4.9;2.9;2.1;1;0.038;
PAÑO (UE 175  INV: 23) ;26;4.8;2;2;1.2;0.0381;
114 (UE 167  INV 6);91;5.8;2.8;2.2;1.2;0.0381;
110 (UE 361  INV 15);17;4.9;2.4;2;1.1;0.0382;
101 y 102 (UE 94 y 95  INV 94 y 95);52;4.1;2;1.8;1.5;0.0383;
110 (UE 361  INV 15);39;4;2.5;2.1;1.8;0.0385;
PAÑO (UE 374  INV: 1);97;5;2.6;2;1.1;0.0388;
PAÑO (UE 175  INV: 23) ;8;4.5;2.8;2.2;1.3;0.0389;
114 (UE 167  INV 6);14;5.5;1.5;1.3;1;0.039;
103 (UE 163  INV 16);19;5;1.9;1.9;1.1;0.039;
PAÑO (UE 374  INV: 1);94;4.9;2.3;2;1.3;0.039;
110 (UE 361  INV 15);95;5;2.2;2.2;1.2;0.0391;
104 (UE 104  INV: 3);24;4.5;2.2;2;1.3;0.0391;
PAÑO (UE 339  INV: 2);44;4.6;4;2.3;1.9;0.0391;
356 (UE 357);6;5.2;2.5;2;1.7;0.0392;
101 y 102 (UE 94 y 95  INV 94 y 95);9;4.2;3;2.5;1.9;0.0392;
PAÑO (UE 175  INV: 24) ;54;5;2.1;2.1;1;0.0393;
110 (UE 361  INV 15);51;5;3;2.2;1.5;0.0393;
110 (UE 361  INV 15);12;4.9;2.2;2.1;1.7;0.0394;
111 (UE 355 INV 1);64;4.7;3.5;2.2;2.1;0.0394;
110 (UE 361  INV 15);6;4.9;2.1;2;1.3;0.0395;
PAÑO (UE 175  INV: 23) ;48;4.2;2.5;1.9;1.9;0.0396;
PAÑO (UE 175  INV: 23) ;85;4;2.1;2;1.2;0.0397;
PAÑO (UE 175  INV: 23) ;99;4.2;2.5;2;2;0.0397;
PAÑO (UE 175  INV: 23) ;32;4.7;2.9;2.1;1.8;0.0399;
104 (UE 104  INV: 3);44;5;3;2.8;1.3;0.04;
PAÑO (UE 175  INV: 23) ;77;4.5;2;2;1.1;0.0401;
108 (UE 95  INV 8);76;4.2;2.1;1.8;1.2;0.0401;
110 (UE 361  INV 15);38;4.9;3;3;2;0.0401;
110 (UE 361  INV 15);47;5;3.5;2.4;1.5;0.0401;
PAÑO (UE 175  INV: 24) ;68;4;2;2;1.2;0.0402;
PAÑO (UE 175  INV: 24) ;87;5;3;3;1.3;0.0402;
