INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g)
ESTRUC. 10042 (UE: 542);72;4.8;2.2;2;1.5;0.0501
ESTRUC. 10042 (UE: 542);73;5.5;2.5;2;1.5;0.0841
ESTRUC. 10042 (UE: 542);74;5;1.8;1.8;1.2;0.0559
ESTRUC. 10042 (UE: 542);75;3;1;1;1.5;0.0249
ESTRUC. 10042 (UE: 542);76;4.5;2;1.8;1.2;0.0448
ESTRUC. 10042 (UE: 542);77;4.6;2.3;2;1.8;0.0617
ESTRUC. 10042 (UE: 542);78;4.3;2.1;2;2;0.0588
ESTRUC. 10042 (UE: 542);79;5;2;1.8;1;0.0518
ESTRUC. 10042 (UE: 542);80;4.8;2;2;1.8;0.0677
ESTRUC. 10042 (UE: 542);81;5;2;1.9;1.8;0.0713
ESTRUC. 10042 (UE: 542);82;4.6;1.8;1.2;1.2;0.043
ESTRUC. 10042 (UE: 542);83;3.2;1.4;1.4;1.1;0.023
ESTRUC. 10042 (UE: 542);84;5.5;2.1;2.1;1.7;0.0789
ESTRUC. 10042 (UE: 542);85;3.9;2;1.8;2.4;0.0492
ESTRUC. 10042 (UE: 542);86;4.6;2.2;2;2;0.0788
ESTRUC. 10042 (UE: 542);87;5;1.8;1.8;1.1;0.0555
ESTRUC. 10042 (UE: 542);88;5;1.8;1.8;1.2;0.061
ESTRUC. 10042 (UE: 542);89;4.9;2;1.9;1.3;0.07
ESTRUC. 10042 (UE: 542);90;4.8;2.5;2.5;1.9;0.0617
ESTRUC. 10042 (UE: 542);91;4.8;2;2;1.6;0.0486
ESTRUC. 10042 (UE: 542);92;5;2.8;2.8;2;0.0654
ESTRUC. 10042 (UE: 542);93;4.9;2.5;2.5;1.5;0.055
ESTRUC. 10042 (UE: 542);94;5;3;2;2;0.0832
ESTRUC. 10042 (UE: 542);95;4.5;2.5;2.1;1.5;0.0518
ESTRUC. 10042 (UE: 542);96;3.8;1.5;1.5;1.8;0.0355
ESTRUC. 10042 (UE: 542);97;4.8;2;1.8;1.5;0.0593
ESTRUC. 10042 (UE: 542);98;5;2.5;2;2;0.0897
ESTRUC. 10042 (UE: 542);99;5;1.8;1.8;1.2;0.0611
ESTRUC. 10042 (UE: 542);100;4.8;1.9;1.9;1;0.0316
ESTRUC. 10049 (UE: 535);1;4;1.1;1;0.9;0.0258
ESTRUC. 10049 (UE: 535);2;3.1;1.2;1;1.1;0.0219
ESTRUC. 10049 (UE: 535);3;3.9;1.5;1.3;0.8;0.0201
ESTRUC. 10049 (UE: 535);4;4.1;1.5;1;1.2;0.0362
ESTRUC. 10049 (UE: 535);5;3.9;1.7;1.7;1.1;0.0388
ESTRUC. 10049 (UE: 535);6;4.1;1.5;1.4;1.6;0.0492
ESTRUC. 10049 (UE: 535);7;4.2;1.7;1.2;1.2;0.0353
ESTRUC. 10049 (UE: 535);8;3.1;1.2;1.1;1.4;0.0305
ESTRUC. 10049 (UE: 535);9;3.6;2;1.6;0.7;0.0193
ESTRUC. 10049 (UE: 535);10;3.3;1.7;1.1;1;0.0228
ESTRUC. 10049 (UE: 535);11;3.8;1.8;1.8;1.1;0.0272
ESTRUC. 10049 (UE: 535);12;3.7;2.1;2.1;0.8;0.0143
ESTRUC. 10049 (UE: 535);13;3.1;1.8;1.7;1.2;0.0227
ESTRUC. 10049 (UE: 535);14;3.3;1.8;1.8;1;0.0133
ESTRUC. 10049 (UE: 535);15;3.9;2;1.8;2;0.0363
ESTRUC. 10049 (UE: 535);16;3.6;2.2;2.1;0.7;0.0206
ESTRUC. 10049 (UE: 535);17;4.2;1.8;1.7;0.9;0.0367
ESTRUC. 10049 (UE: 535);18;4;2.4;2.3;1.2;0.0308
ESTRUC. 10049 (UE: 535);19;2.9;2;1.9;0.9;0.0121
ESTRUC. 10049 (UE: 535);20;4.1;1.1;1;1.2;0.0412
ESTRUC. 10049 (UE: 535);21;3.2;1.5;1.2;0.9;0.0245
ESTRUC. 10049 (UE: 535);22;3.2;1.4;1.3;1.2;0.027
ESTRUC. 10049 (UE: 535);23;4;2;1.8;1.6;0.0414
ESTRUC. 10049 (UE: 535);24;4.2;3;2.8;1.8;0.0286
ESTRUC. 10049 (UE: 535);25;4.8;2;1.8;1;0.0329
ESTRUC. 10049 (UE: 535);26;4.1;3;2;1.7;0.0294
ESTRUC. 10049 (UE: 535);27;4.4;2;2;1.2;0.0381
ESTRUC. 10049 (UE: 535);28;4.2;1.6;1.3;1.1;0.045
ESTRUC. 10049 (UE: 535);29;3.1;2.4;2.1;1.9;0.0298
ESTRUC. 10049 (UE: 535);30;3.6;1.2;1.1;1.9;0.0334
ESTRUC. 10049 (UE: 535);31;3.4;1.7;1.6;1.2;0.0275
ESTRUC. 10049 (UE: 535);32;3.3;1.2;1.1;0.9;0.0179
ESTRUC. 10049 (UE: 535);33;4;2;1.9;2;0.0494
ESTRUC. 10049 (UE: 535);34;3.2;1.4;1.2;1;0.023
ESTRUC. 10049 (UE: 535);35;3.1;1.1;1;1.7;0.0401
ESTRUC. 10049 (UE: 535);36;4.1;1.4;1.3;1.9;0.0412
ESTRUC. 10049 (UE: 535);37;3.9;1.9;1.5;2;0.0452
ESTRUC. 10049 (UE: 535);38;3.2;1.9;1.8;2;0.0288
ESTRUC. 10049 (UE: 535);39;4;1.9;1.8;1.7;0.0394
ESTRUC. 10049 (UE: 535);40;3.6;1.8;1.7;0.7;0.019
ESTRUC. 10049 (UE: 535);41;4.3;2.1;1.9;1.8;0.0429
ESTRUC. 10049 (UE: 535);42;4.3;2.8;2.1;2.1;0.0486
ESTRUC. 10049 (UE: 535);43;4.5;2.3;2.2;1.2;0.0344
ESTRUC. 10049 (UE: 535);44;4.4;2.5;2;2;0.0503
ESTRUC. 10049 (UE: 535);45;4.1;2;1.8;1.3;0.0419
ESTRUC. 10049 (UE: 535);46;4.7;2.1;1.8;1.5;0.0329
ESTRUC. 10049 (UE: 535);47;3.5;1.9;1.5;2;0.0274
ESTRUC. 10049 (UE: 535);48;4.2;2;1.8;1;0.0218
ESTRUC. 10049 (UE: 535);49;4.1;2;2;1.8;0.0459
ESTRUC. 10049 (UE: 535);50;3.7;2.4;1.6;1.9;0.0325
ESTRUC. 10049 (UE: 535);51;3.6;2;1.2;1.8;0.0308
ESTRUC. 10049 (UE: 535);52;3.7;2.6;2;1.9;0.0334
ESTRUC. 10049 (UE: 535);53;4.1;2.1;2;1.1;0.024
ESTRUC. 10049 (UE: 535);54;4.3;2.8;2.3;1.8;0.0423
ESTRUC. 10049 (UE: 535);55;4;2.3;2.2;0.9;0.0171
ESTRUC. 10049 (UE: 535);56;3.9;2;2;1;0.0182
ESTRUC. 10049 (UE: 535);57;4.7;2.5;1.2;1.9;0.0446
ESTRUC. 10049 (UE: 535);58;4.1;2.7;2.2;1.2;0.0227
ESTRUC. 10049 (UE: 535);59;4.2;2.7;2.1;1.5;0.0324
ESTRUC. 10049 (UE: 535);60;4.1;2.5;2.1;2;0.0371
ESTRUC. 10049 (UE: 535);61;3.9;2.7;2.3;1.9;0.0294
ESTRUC. 10049 (UE: 535);62;3.8;3;2.6;1.3;0.0163
ESTRUC. 10049 (UE: 535);63;4.2;2;2;1.5;0.0347
ESTRUC. 10049 (UE: 535);64;3.6;1.8;1.2;1.1;0.021
ESTRUC. 10049 (UE: 535);65;4;2;1.4;1.8;0.033
ESTRUC. 10049 (UE: 535);66;3.9;2;2;0.8;0.0149
ESTRUC. 10049 (UE: 535);67;3.5;2;2;1.9;0.0325
ESTRUC. 10049 (UE: 535);68;4.1;2;1.9;1;0.0224
ESTRUC. 10049 (UE: 535);69;3.8;1.9;1.4;1.2;0.023
ESTRUC. 10049 (UE: 535);70;4.1;3;2;1.5;0.0375
ESTRUC. 10049 (UE: 535);71;4.1;2.4;2;1.8;0.0325
ESTRUC. 10049 (UE: 535);72;4.5;3;2.8;2.1;0.0504
ESTRUC. 10049 (UE: 535);73;3.9;2.1;2;0.9;0.0168
ESTRUC. 10049 (UE: 535);74;4.7;2.8;2.8;2.2;0.05
ESTRUC. 10049 (UE: 535);75;4.6;2.1;2;1.9;0.0579
ESTRUC. 10049 (UE: 535);76;3.7;2;1.9;1;0.0154
ESTRUC. 10049 (UE: 535);77;3.8;2;2;0.7;0.0125
